Gene	sgRNA	P4_F2.fq|beta	P4_F2.fq|z	P4_F2.fq|p-value	P4_F2.fq|fdr	P4_F2.fq|wald-p-value	P4_F2.fq|wald-fdr	P4_F3.fq|beta	P4_F3.fq|z	P4_F3.fq|p-value	P4_F3.fq|fdr	P4_F3.fq|wald-p-value	P4_F3.fq|wald-fdr	P4_F4.fq|beta	P4_F4.fq|z	P4_F4.fq|p-value	P4_F4.fq|fdr	P4_F4.fq|wald-p-value	P4_F4.fq|wald-fdr
SOX9	6	-0.31026	-1.1211	0	0	0.26223	0.79739	-1.3225	-4.7781	0	0	1.7693e-06	1.7693e-05	-1.3435	-4.8527	0	0	1.2181e-06	1.2181e-05
PROM1	6	-0.0016076	-0.038161	0.3	0.5	0.96956	0.9851	0.022603	0.53656	1	1	0.59157	0.6653	0.029729	0.70572	1	1	0.48036	0.64166
KRT20	6	-0.070658	-0.041946	0.7	0.7	0.96654	0.9851	1.7773	1.0552	0	0	0.29131	0.6653	1.7661	1.0485	0	0	0.2944	0.58881
LRIG1	6	0.034251	0.9499	0	0	0.34217	0.79739	0.022459	0.62287	1	1	0.53337	0.6653	0.016781	0.46537	1	1	0.64166	0.64166
CTRL	10	-0.016932	-0.60682	0.7	0.7	0.54397	0.79739	0.015805	0.56643	0.4	0.57143	0.5711	0.6653	0.013168	0.47189	0.6	0.85714	0.63701	0.64166
ROSA26	10	-0.022652	-0.76865	0.7	0.7	0.4421	0.79739	-0.034915	-1.1847	0.3	0.5	0.23613	0.6653	-0.023562	-0.79946	0.3	0.5	0.42402	0.64166
CCR5	10	-0.054292	-1.4607	0.7	0.7	0.14411	0.79739	-0.019558	-0.52617	0.3	0.5	0.59877	0.6653	-0.064138	-1.7255	0.3	0.5	0.084441	0.28147
AAVS1	10	0.019036	0.58556	0.1	0.25	0.55817	0.79739	-0.064286	-1.9773	0.3	0.5	0.048006	0.24003	-0.0614	-1.8884	0.3	0.5	0.058971	0.28147
EGFP	6	0.069515	0.018679	0	0	0.9851	0.9851	2.4572	0.6604	0	0	0.509	0.6653	2.4156	0.64919	0	0	0.51621	0.64166
mKate2	6	0.017073	0.60307	0.2	0.4	0.54646	0.79739	0.011051	0.39037	1	1	0.69627	0.69627	0.030248	1.0685	1	1	0.28531	0.58881
