Gene	sgRNA	P4_F6.fq|beta	P4_F6.fq|z	P4_F6.fq|p-value	P4_F6.fq|fdr	P4_F6.fq|wald-p-value	P4_F6.fq|wald-fdr	P4_F7.fq|beta	P4_F7.fq|z	P4_F7.fq|p-value	P4_F7.fq|fdr	P4_F7.fq|wald-p-value	P4_F7.fq|wald-fdr	P4_F8.fq|beta	P4_F8.fq|z	P4_F8.fq|p-value	P4_F8.fq|fdr	P4_F8.fq|wald-p-value	P4_F8.fq|wald-fdr
SOX9	6	-0.11373	-1.2848	0	0	0.19885	0.76235	-0.29109	-3.2883	0	0	0.0010079	0.010079	-0.2292	-2.5892	0	0	0.0096196	0.096196
PROM1	6	-0.0025227	-0.085791	0.9	0.9	0.93163	0.93163	-0.014972	-0.50916	0.6	0.75	0.61064	0.67849	-0.0013991	-0.047579	0.7	0.77778	0.96205	0.96205
KRT20	6	0.14797	0.61151	0	0	0.54086	0.76235	0.51796	2.1406	0	0	0.032306	0.16049	0.52499	2.1697	0	0	0.030033	0.1216
LRIG1	6	-0.045058	-1.4822	0	0	0.13828	0.76235	-0.052734	-1.7347	0.4	0.75	0.082791	0.20698	-0.050075	-1.6472	0.3	0.5	0.099508	0.15297
CTRL	10	0.01366	0.94709	0.9	0.9	0.34359	0.76235	-0.009216	-0.63898	0.5	0.75	0.52284	0.65355	-0.017437	-1.209	0.3	0.5	0.22666	0.28333
ROSA26	10	0.0121	0.51024	0.9	0.9	0.60988	0.76235	0.030024	1.2661	0.9	0.9	0.20549	0.41099	0.041062	1.7315	0.8	0.8	0.083362	0.15297
CCR5	10	-0.011391	-0.62668	0.4	0.8	0.53087	0.76235	0.017681	0.97274	0.6	0.75	0.33068	0.4724	0.011299	0.62166	0.5	0.625	0.53417	0.59352
AAVS1	10	0.011775	0.62486	0.8	0.9	0.53206	0.76235	-0.020244	-1.0743	0.3	0.75	0.2827	0.47117	-0.037156	-1.9717	0.2	0.5	0.048639	0.1216
EGFP	6	0.1407	0.5907	0	0	0.55472	0.76235	0.47068	1.9761	0	0	0.048146	0.16049	0.49659	2.0849	0	0	0.03708	0.1216
mKate2	6	0.0080466	0.37254	0.8	0.9	0.70949	0.78832	0.0049423	0.22882	0.9	0.9	0.81901	0.81901	-0.034806	-1.6115	0.4	0.57143	0.10708	0.15297
