Gene	sgRNA	P3_F2.fq|beta	P3_F2.fq|z	P3_F2.fq|p-value	P3_F2.fq|fdr	P3_F2.fq|wald-p-value	P3_F2.fq|wald-fdr	P3_F3.fq|beta	P3_F3.fq|z	P3_F3.fq|p-value	P3_F3.fq|fdr	P3_F3.fq|wald-p-value	P3_F3.fq|wald-fdr	P3_F4.fq|beta	P3_F4.fq|z	P3_F4.fq|p-value	P3_F4.fq|fdr	P3_F4.fq|wald-p-value	P3_F4.fq|wald-fdr
SOX9	6	0.14433	1.2122	0	0	0.22545	0.58813	0.32479	2.7276	0	0	0.0063788	0.063788	0.17806	1.4954	0	0	0.13482	0.1926
PROM1	6	-0.006865	-0.2588	0.5	0.71429	0.79579	0.89927	-0.017381	-0.65524	0.1	0.16667	0.51231	0.73187	0.015013	0.56594	0.8	0.8	0.57144	0.7143
KRT20	6	-0.042809	-1.4229	0	0	0.15476	0.58813	-0.025034	-0.8321	0.1	0.16667	0.40535	0.67559	-0.048672	-1.6178	0.1	0.2	0.1057	0.1926
LRIG1	6	0.0055129	0.21919	0.7	0.77778	0.8265	0.89927	0.0076076	0.30248	0.5	0.625	0.76229	0.84699	0.0045174	0.17961	0.6	0.75	0.85746	0.85746
CTRL	10	0.028175	1.1547	0.7	0.77778	0.24819	0.58813	-0.038033	-1.5588	0	0	0.11905	0.37492	-0.048836	-2.0015	0	0	0.045334	0.1926
ROSA26	10	-0.027537	-1.0493	0	0	0.29406	0.58813	-0.037782	-1.4396	0	0	0.14997	0.37492	-0.040539	-1.5447	0	0	0.12242	0.1926
CCR5	10	-0.0086036	-0.37119	0.5	0.71429	0.71049	0.89927	-0.012304	-0.53084	0.4	0.57143	0.59553	0.74441	-0.03515	-1.5165	0.2	0.33333	0.1294	0.1926
AAVS1	10	-0.002242	-0.12659	0.8	0.8	0.89927	0.89927	0.0026968	0.15226	0.6	0.66667	0.87898	0.87898	0.0039012	0.22027	0.8	0.8	0.82566	0.85746
EGFP	6	0.084727	0.39065	0.1	0.2	0.69605	0.89927	0.50184	2.3138	0	0	0.020677	0.10338	0.34435	1.5877	0	0	0.11235	0.1926
mKate2	6	0.084138	2.2397	0.1	0.2	0.025109	0.25109	0.040744	1.0846	0.9	0.9	0.2781	0.5562	0.068253	1.8169	0.4	0.57143	0.069237	0.1926
