id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	0.99999	1.0	0.999995	9	0	3.6832	4.1512e-06	1.4997e-05	0.000125	1	6	3.6832
KRT20	6	0.99999	1.0	0.999995	10	0	2.6321	6.9543e-06	2.4995e-05	0.000125	2	6	2.6321
mKate2	6	0.65978	0.65838	0.999995	3	0	-0.16778	0.65978	0.65838	0.999995	3	0	-0.16778
LRIG1	6	0.76974	0.76702	0.999995	5	0	-0.11969	0.76974	0.76702	0.999995	4	0	-0.11969
CTRL	10	0.80615	0.80665	0.999995	6	0	-0.14733	0.85853	0.8583	0.999995	5	0	-0.14733
PROM1	6	0.86401	0.86292	0.999995	8	0	-0.20514	0.87831	0.8776	0.999995	6	0	-0.20514
AAVS1	10	0.59101	0.59206	0.999995	2	1	-0.25255	0.8796	0.88022	0.999995	7	0	-0.25255
ROSA26	10	0.73692	0.73683	0.999995	4	0	-0.10759	0.89781	0.8985	0.999995	8	0	-0.10759
CCR5	10	0.85853	0.8583	0.999995	7	0	-0.16485	0.99265	0.99297	0.999995	9	0	-0.16485
SOX9	6	1.4365e-07	4.999e-06	5e-05	1	6	-2.069	1.0	1.0	0.999995	10	0	-2.069
