id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
GFP	10	0.99995	0.99993	0.999925	25	0	3.7935	5.0356e-05	0.00035482	0.008871	1	10	3.7935
hSATB1	3	0.70224	0.70302	0.914407	16	0	-4.7564	0.029314	0.072469	0.90586	2	3	-4.7564
GFPscrm	10	0.84061	0.84125	0.914407	23	0	2.7807	0.030466	0.15626	0.908581	3	9	2.7807
mKatescrm	10	0.63306	0.63401	0.914407	14	1	-1.098	0.047886	0.22483	0.908581	4	8	-1.098
KRT20	10	0.065492	0.14258	0.795027	3	2	-1.2217	0.062486	0.27631	0.908581	5	8	-1.2217
hSMARCC1	3	0.87745	0.87837	0.914964	24	0	2.1306	0.12255	0.26344	0.908581	6	3	2.1306
LGR5	10	0.7057	0.70733	0.914407	17	0	-2.1557	0.15616	0.49967	0.908581	7	8	-2.1557
hSMARCA4	3	0.76724	0.7682	0.914407	21	0	3.0065	0.15997	0.32734	0.908581	8	3	3.0065
MYC	5	0.82306	0.82337	0.914407	22	0	0.20094	0.17694	0.44929	0.908581	9	5	0.20094
hSATB2	3	0.7195	0.72067	0.914407	18	0	2.6188	0.19325	0.38104	0.908581	10	3	2.6188
mKate	10	0.76513	0.76685	0.914407	20	0	-4.2489	0.25957	0.66266	0.908581	11	7	-4.2489
hAPC	4	0.088973	0.11739	0.795027	5	1	-3.0625	0.26946	0.55243	0.908581	12	3	-3.0625
POLRD2scrm	5	0.41596	0.41796	0.914407	11	0	-6.0568	0.2758	0.60692	0.908581	13	3	-6.0568
SOX9scrm	9	0.085389	0.15901	0.795027	4	2	0.11056	0.27795	0.67092	0.908581	14	6	0.11056
hSMARCC2	3	0.19325	0.19508	0.812823	6	1	-6.4362	0.33761	0.58274	0.908581	15	1	-6.4362
CCR5	9	0.53807	0.54231	0.914407	12	1	-0.59593	0.35905	0.76103	0.908581	16	8	-0.59593
TCF4	2	0.62966	0.6278	0.914407	13	0	-1.2716	0.37034	0.52826	0.908581	17	2	-1.2716
SOX9	9	0.00061108	0.0024738	0.061844	1	4	-4.1705	0.52518	0.87527	0.908581	18	4	-4.1705
KRT20scrm	10	0.052271	0.11778	0.795027	2	3	-4.8324	0.54467	0.89355	0.908581	19	7	-4.8324
Prom1	10	0.74665	0.74899	0.914407	19	0	-5.6099	0.57543	0.90858	0.908581	20	8	-5.6099
MYCscrm	1	0.40461	0.40453	0.914407	10	0	-0.66061	0.59539	0.59667	0.908581	21	1	-0.66061
hSMARCB1	2	0.38708	0.38516	0.914407	9	0	-5.6715	0.61292	0.77536	0.908581	22	2	-5.6715
hSMARCD1	4	0.38692	0.38435	0.914407	8	0	-6.2865	0.61797	0.84519	0.908581	23	3	-6.2865
POLRD2	5	0.64591	0.64675	0.914407	15	0	-5.6598	0.62587	0.87621	0.908581	24	4	-5.6598
TCF20	2	0.29639	0.29555	0.914407	7	0	-6.9664	0.661	0.79743	0.908581	25	1	-6.9664
