id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SOX9	6	0.99999	1.0	0.999995	10	0	0.42735	6.9543e-06	2.4995e-05	0.000175	1	6	0.42735
EGFP	6	0.99971	0.99976	0.999995	9	0	0.68463	1.1191e-05	3.4993e-05	0.000175	2	5	0.68463
mKate2	6	0.11273	0.26028	0.650707	4	1	-0.043659	0.62634	0.62596	0.986758	3	0	-0.043659
LRIG1	6	0.27293	0.47085	0.941702	5	3	-0.12324	0.65978	0.65838	0.986758	4	0	-0.12324
KRT20	6	0.11168	0.25875	0.650707	3	2	-0.026891	0.71922	0.71755	0.986758	5	0	-0.026891
PROM1	6	0.54214	0.68724	0.999995	7	2	-0.092258	0.76974	0.76702	0.986758	6	0	-0.092258
ROSA26	10	0.0029728	0.017162	0.171616	1	7	-0.16423	0.85853	0.8583	0.986758	7	0	-0.16423
CCR5	10	0.79755	0.89858	0.999995	8	2	-0.10852	0.93855	0.93887	0.986758	8	0	-0.10852
CTRL	10	0.066906	0.2127	0.650707	2	5	-0.1191	0.95687	0.95742	0.986758	9	0	-0.1191
AAVS1	10	0.45684	0.70536	0.999995	6	3	-0.092183	0.98626	0.98676	0.986758	10	0	-0.092183
