sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
CTRL0004_g4	CTRL	3814.6	3332	3814.6	3332	-0.1951	1.1646e+05	1.0614e+10	1.959	0.025059	0.97494	0.050118	0.10556	False
ROSA26_g9	ROSA26	2963.5	2952.4	2963.5	2952.4	-0.0054263	61.931	8.2456e+09	1.9552	0.025279	0.97472	0.050559	0.10556	False
AAVS1_g9	AAVS1	3096.6	3026.9	3096.6	3026.9	-0.032831	2428.7	8.6158e+09	1.9542	0.02534	0.97466	0.050679	0.10556	False
KRT20_g4	KRT20	3352.8	3297.8	3352.8	3297.8	-0.023879	1515.5	9.3288e+09	1.9349	0.026503	0.9735	0.053006	0.10556	False
CCR5_g3	CCR5	4975.6	4455.8	4975.6	4455.8	-0.15917	1.3512e+05	1.3844e+10	1.8924	0.02922	0.97078	0.05844	0.10556	False
ROSA26_g8	ROSA26	5395.7	4672.3	5395.7	4672.3	-0.20765	2.6169e+05	1.5013e+10	1.89	0.029382	0.97062	0.058764	0.10556	False
CCR5_g1	CCR5	5889.3	4963.3	5889.3	4963.3	-0.24676	4.2876e+05	1.6386e+10	1.8833	0.029829	0.97017	0.059658	0.10556	False
LRIG1_g6	LRIG1	5562.6	4988.5	5562.6	4988.5	-0.15713	1.648e+05	1.5477e+10	1.868	0.03088	0.96912	0.061761	0.10556	False
mKate2_g1	mKate2	5222.9	4961.3	5222.9	4961.3	-0.07413	34228	1.4532e+10	1.856	0.03173	0.96827	0.06346	0.10556	False
CCR5_g6	CCR5	6669.9	5651	6669.9	5651	-0.23911	5.1906e+05	1.8558e+10	1.8544	0.031839	0.96816	0.063678	0.10556	False
ROSA26_g5	ROSA26	7492.2	6197.8	7492.2	6197.8	-0.2736	8.3776e+05	2.0846e+10	1.8402	0.032872	0.96713	0.065743	0.10556	False
mKate2_g3	mKate2	5758.2	5481.9	5758.2	5481.9	-0.070941	38184	1.6021e+10	1.8339	0.033334	0.96667	0.066667	0.10556	False
AAVS1_g7	AAVS1	5752.3	5523.2	5752.3	5523.2	-0.058625	26244	1.6005e+10	1.8303	0.033603	0.9664	0.067206	0.10556	False
CCR5_g5	CCR5	5679.8	5509.1	5679.8	5509.1	-0.044016	14569	1.5803e+10	1.8285	0.033738	0.96626	0.067476	0.10556	False
CTRL0005_g5	CTRL	6421.6	5906.8	6421.6	5906.8	-0.12054	1.3252e+05	1.7867e+10	1.8258	0.033943	0.96606	0.067886	0.10556	False
CTRL0009_g9	CTRL	6154.5	6018.6	6154.5	6018.6	-0.032209	9234.6	1.7124e+10	1.8073	0.035357	0.96464	0.070714	0.10556	False
PROM1_g1	PROM1	7066.2	6521.1	7066.2	6521.1	-0.11581	1.4858e+05	1.9661e+10	1.8035	0.035657	0.96434	0.071314	0.10556	False
AAVS1_g2	AAVS1	7082.1	6533.1	7082.1	6533.1	-0.11638	1.5067e+05	1.9705e+10	1.8032	0.035682	0.96432	0.071363	0.10556	False
CCR5_g10	CCR5	6885.4	6464.7	6885.4	6464.7	-0.090959	88524	1.9158e+10	1.8013	0.035828	0.96417	0.071657	0.10556	False
AAVS1_g3	AAVS1	6846.7	6544.2	6846.7	6544.2	-0.06518	45749	1.905e+10	1.7944	0.036376	0.96362	0.072752	0.10556	False
ROSA26_g6	ROSA26	9457.7	8316.5	9457.7	8316.5	-0.18549	6.5118e+05	2.6315e+10	1.7617	0.039063	0.96094	0.078126	0.10556	False
ROSA26_g2	ROSA26	7817	7682.1	7817	7682.1	-0.025115	9102.2	2.175e+10	1.7523	0.039857	0.96014	0.079714	0.10556	False
CCR5_g8	CCR5	8477.4	8028.5	8477.4	8028.5	-0.078494	1.0079e+05	2.3587e+10	1.7515	0.039929	0.96007	0.079859	0.10556	False
KRT20_g2	KRT20	9774.5	8844.1	9774.5	8844.1	-0.14429	4.328e+05	2.7196e+10	1.7411	0.040832	0.95917	0.081665	0.10556	False
