id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SOX9	6	0.9999	0.99994	0.999935	10	0	0.17611	0.03883	0.038527	0.385273	1	1	0.17611
LRIG1	6	0.46388	0.70405	0.973299	7	2	0.07754	0.11273	0.11272	0.563612	2	0	0.07754
EGFP	6	0.99658	0.99641	0.999935	9	0	0.13941	0.18183	0.18276	0.609195	3	0	0.13941
CTRL	10	0.063876	0.23596	0.786526	3	6	-0.01108	0.37591	0.3758	0.9395	4	0	-0.01108
KRT20	6	0.24639	0.49643	0.919374	6	3	-0.0062911	0.59021	0.58945	0.957424	5	0	-0.0062911
mKate2	6	0.22661	0.46945	0.919374	4	3	-0.0040045	0.71922	0.71755	0.957424	6	0	-0.0040045
ROSA26	10	0.042122	0.17333	0.786526	2	8	-0.047376	0.73692	0.73683	0.957424	7	0	-0.047376
PROM1	6	0.56645	0.77864	0.973299	8	3	-0.0029601	0.89134	0.89044	0.957424	8	0	-0.0029601
AAVS1	10	0.23969	0.55162	0.919374	5	5	-0.0024714	0.92698	0.92732	0.957424	9	0	-0.0024714
CCR5	10	0.016186	0.082449	0.786526	1	8	-0.073329	0.95687	0.95742	0.957424	10	0	-0.073329
