sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
ROSA26_g1	ROSA26	16208	9632.9	16208	9632.9	-0.75065	2.1619e+07	8.3592e+11	2.396	0.0082885	0.99171	0.016577	0.061164	False
LRIG1_g1	LRIG1	7967.1	3837.2	7967.1	3837.2	-1.0538	8.5283e+06	1.1185e+11	2.3664	0.008982	0.99102	0.017964	0.061164	False
CTRL0010_g10	CTRL	8877.5	4991.1	8877.5	4991.1	-0.83067	7.552e+06	1.5196e+11	2.3251	0.010032	0.98997	0.020064	0.061164	False
PROM1_g6	PROM1	13915	9435.1	13915	9435.1	-0.56051	1.0036e+07	5.4268e+11	2.3239	0.010067	0.98993	0.020133	0.061164	False
CTRL0003_g3	CTRL	13946	9501.5	13946	9501.5	-0.55353	9.8747e+06	5.4603e+11	2.3224	0.010106	0.98989	0.020213	0.061164	False
KRT20_g2	KRT20	8826	4999.3	8826	4999.3	-0.8199	7.3217e+06	1.4947e+11	2.3214	0.010131	0.98987	0.020263	0.061164	False
LRIG1_g5	LRIG1	11098	7013.8	11098	7013.8	-0.66195	8.3402e+06	2.8596e+11	2.3155	0.010294	0.98971	0.020587	0.061164	False
PROM1_g1	PROM1	6192	3372.9	6192	3372.9	-0.8762	3.9735e+06	5.4779e+10	2.2815	0.011259	0.98874	0.022517	0.061164	False
AAVS1_g3	AAVS1	6119.3	3457.3	6119.3	3457.3	-0.82354	3.5431e+06	5.2977e+10	2.2657	0.011734	0.98827	0.023467	0.061164	False
ROSA26_g2	ROSA26	6970.5	4254.4	6970.5	4254.4	-0.71217	3.6886e+06	7.661e+10	2.2565	0.012021	0.98798	0.024041	0.061164	False
AAVS1_g2	AAVS1	6320.7	3762.5	6320.7	3762.5	-0.74823	3.2721e+06	5.8067e+10	2.2508	0.012201	0.9878	0.024401	0.061164	False
KRT20_g1	KRT20	5819.3	3399	5819.3	3399	-0.77555	2.9289e+06	4.595e+10	2.2451	0.012381	0.98762	0.024763	0.061164	False
mKate2_g3	mKate2	5095.3	2949.7	5095.3	2949.7	-0.78839	2.3018e+06	3.1541e+10	2.2276	0.012953	0.98705	0.025906	0.061164	False
ROSA26_g3	ROSA26	8236.8	5897.2	8236.8	5897.2	-0.48198	2.7368e+06	1.2291e+11	2.2211	0.013173	0.98683	0.026345	0.061164	False
mKate2_g1	mKate2	4843.9	2805.7	4843.9	2805.7	-0.78761	2.0772e+06	2.7329e+10	2.2194	0.013229	0.98677	0.026458	0.061164	False
PROM1_g5	PROM1	5645.2	3522.9	5645.2	3522.9	-0.68008	2.2519e+06	4.216e+10	2.2146	0.013393	0.98661	0.026787	0.061164	False
LRIG1_g3	LRIG1	4079	2242.1	4079	2242.1	-0.86305	1.687e+06	1.6797e+10	2.2126	0.013462	0.98654	0.026923	0.061164	False
KRT20_g5	KRT20	9312.2	7202.6	9312.2	7202.6	-0.37055	2.2251e+06	1.7399e+11	2.2105	0.013535	0.98647	0.02707	0.061164	False
CCR5_g3	CCR5	4342.5	2534.7	4342.5	2534.7	-0.77647	1.6341e+06	2.0056e+10	2.1991	0.013936	0.98606	0.027872	0.061164	False
CCR5_g7	CCR5	9236.4	7354.1	9236.4	7354.1	-0.32874	1.7715e+06	1.7001e+11	2.1979	0.01398	0.98602	0.027959	0.061164	False
CTRL0006_g6	CTRL	7793	5804.6	7793	5804.6	-0.4249	1.9767e+06	1.0507e+11	2.1968	0.014018	0.98598	0.028035	0.061164	False
CCR5_g9	CCR5	3851.8	2156.3	3851.8	2156.3	-0.83667	1.4373e+06	1.4281e+10	2.1964	0.014032	0.98597	0.028065	0.061164	False
PROM1_g3	PROM1	5649.7	3772.2	5649.7	3772.2	-0.58263	1.7624e+06	4.2257e+10	2.1883	0.014325	0.98568	0.02865	0.061164	False
mKate2_g6	mKate2	6634.2	4736.6	6634.2	4736.6	-0.486	1.8006e+06	6.66e+10	2.1876	0.014348	0.98565	0.028696	0.061164	False
KRT20_g6	KRT20	4584.9	2883.3	4584.9	2883.3	-0.66899	1.4477e+06	2.339e+10	2.1784	0.014687	0.98531	0.029375	0.061164	False
PROM1_g4	PROM1	8033.8	6380.1	8033.8	6380.1	-0.33245	1.3673e+06	1.1452e+11	2.1764	0.014761	0.98524	0.029522	0.061164	False
ROSA26_g7	ROSA26	7462.8	5768.1	7462.8	5768.1	-0.37156	1.436e+06	9.2943e+10	2.1753	0.014805	0.9852	0.02961	0.061164	False
LRIG1_g4	LRIG1	7909.6	6267.4	7909.6	6267.4	-0.33569	1.3484e+06	1.0958e+11	2.1748	0.014822	0.98518	0.029644	0.061164	False
CTRL0008_g8	CTRL	5557.3	3855.1	5557.3	3855.1	-0.52751	1.4488e+06	4.0329e+10	2.1705	0.014983	0.98502	0.029966	0.061164	False
CCR5_g10	CCR5	4969.6	3296.8	4969.6	3296.8	-0.59193	1.3992e+06	2.9386e+10	2.1702	0.014995	0.98501	0.02999	0.061164	False
mKate2_g5	mKate2	4363.8	2773.6	4363.8	2773.6	-0.65364	1.2643e+06	2.0335e+10	2.1663	0.015146	0.98485	0.030291	0.061164	False
mKate2_g2	mKate2	3700.3	2206.3	3700.3	2206.3	-0.74575	1.116e+06	1.2747e+10	2.1651	0.015191	0.98481	0.030381	0.061164	False
AAVS1_g8	AAVS1	7455.2	5979.3	7455.2	5979.3	-0.31822	1.0891e+06	9.2676e+10	2.1604	0.015369	0.98463	0.030738	0.061164	False
AAVS1_g1	AAVS1	6937.2	5618	6937.2	5618	-0.30423	8.7004e+05	7.5577e+10	2.1449	0.015981	0.98402	0.031963	0.061164	False
