id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	0.99888	0.99884	0.998835	10	0	0.078088	0.03883	0.039037	0.390372	1	1	0.078088
AAVS1	10	0.41148	0.73301	0.998835	7	4	-0.31123	0.18073	0.18033	0.901645	2	0	-0.31123
KRT20	6	0.089663	0.25692	0.513847	5	5	-0.53452	0.36283	0.36269	0.923737	3	0	-0.53452
CTRL	10	0.115	0.35119	0.585325	6	5	-0.49826	0.37591	0.3758	0.923737	4	0	-0.49826
mKate2	6	0.048041	0.15726	0.513847	2	5	-0.69969	0.5512	0.55044	0.923737	5	0	-0.69969
SOX9	6	0.99388	0.99363	0.998835	9	0	-0.379	0.59021	0.58945	0.923737	6	0	-0.379
ROSA26	10	0.063876	0.23596	0.513847	3	4	-0.36151	0.64619	0.64662	0.923737	7	0	-0.36151
LRIG1	6	0.086997	0.25067	0.513847	4	4	-0.49882	0.81245	0.8112	0.987707	8	0	-0.49882
CCR5	10	0.53992	0.82145	0.998835	8	5	-0.36572	0.89781	0.8985	0.987707	9	0	-0.36572
PROM1	6	0.012271	0.053764	0.513847	1	6	-0.57157	0.98773	0.98771	0.987707	10	0	-0.57157
