id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ROSA26	10	0.37591	0.51833	0.796922	4	2	0.1624	0.063876	0.16522	0.596068	1	2	0.1624
AAVS1	10	0.45684	0.59364	0.796922	5	1	0.15153	0.067943	0.174	0.596068	2	3	0.15153
SOX9	6	0.792	0.79028	0.878085	9	0	0.19119	0.11273	0.20901	0.596068	3	2	0.19119
KRT20	6	0.5512	0.559	0.796922	8	1	0.025389	0.1383	0.23843	0.596068	4	2	0.025389
EGFP	6	0.89134	0.89044	0.890437	10	0	0.10435	0.22661	0.34068	0.681354	5	2	0.10435
LRIG1	6	0.03883	0.091567	0.796922	1	1	0.025317	0.41517	0.48966	0.816095	6	1	0.025317
PROM1	6	0.46388	0.49279	0.796922	6	1	0.10347	0.59021	0.60472	0.863892	7	1	0.10347
mKate2	6	0.086997	0.16168	0.796922	2	2	0.0072817	0.792	0.79028	0.938867	8	0	0.0072817
CCR5	10	0.5282	0.63754	0.796922	7	1	-0.074328	0.85853	0.85864	0.938867	9	1	-0.074328
CTRL	10	0.18073	0.33557	0.796922	3	3	-0.06601	0.93855	0.93887	0.938867	10	0	-0.06601
