id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	0.99971	0.99976	0.999995	9	0	0.52337	5.1537e-05	0.00018496	0.00185	1	5	0.52337
SOX9	6	0.99999	1.0	0.999995	10	0	0.28673	0.010265	0.02658	0.132898	2	3	0.28673
mKate2	6	0.03883	0.062962	0.618114	1	1	-0.075438	0.65978	0.65838	0.997705	3	0	-0.075438
KRT20	6	0.18183	0.18656	0.618114	3	1	-0.11634	0.71922	0.71755	0.997705	4	0	-0.11634
ROSA26	10	0.85853	0.8583	0.999995	8	0	-0.061583	0.77391	0.77465	0.997705	5	0	-0.061583
LRIG1	6	0.24639	0.24725	0.618114	4	1	-0.040951	0.84834	0.84736	0.997705	6	0	-0.040951
CCR5	10	0.83419	0.83493	0.999995	7	0	-0.024159	0.85853	0.8583	0.997705	7	0	-0.024159
PROM1	6	0.41517	0.41486	0.761689	5	0	-0.092836	0.87831	0.8776	0.997705	8	0	-0.092836
AAVS1	10	0.18073	0.20975	0.618114	2	1	-0.11804	0.92698	0.92732	0.997705	9	0	-0.11804
CTRL	10	0.45684	0.45701	0.761689	6	0	-0.13012	0.99764	0.99771	0.997705	10	0	-0.13012
