sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
EGFP_g1	EGFP	4436.8	10361	4436.8	10361	1.2234	1.7547e+07	2.3472e+06	3.8667	0.99994	5.5268e-05	0.00011054	0.0084008	True
EGFP_g2	EGFP	7020.7	10855	7020.7	10855	0.62859	7.3505e+06	3.7142e+06	1.9895	0.97667	0.023327	0.046655	0.99703	True
EGFP_g5	EGFP	6469.7	10135	6469.7	10135	0.64744	6.716e+06	3.4227e+06	1.981	0.9762	0.023802	0.047603	0.99703	True
SOX9_g2	SOX9	3908.8	5290.2	3908.8	5290.2	0.43649	9.5408e+05	2.0679e+06	0.96059	0.83107	0.16893	0.33787	0.99703	True
EGFP_g3	EGFP	4142.1	5535	4142.1	5535	0.41815	9.7014e+05	2.1913e+06	0.94098	0.8262	0.1738	0.34761	0.99703	True
SOX9_g6	SOX9	8682.6	10625	8682.6	10625	0.29128	1.8872e+06	4.5935e+06	0.90647	0.81765	0.18235	0.3647	0.99703	True
SOX9_g1	SOX9	4922.5	6339.7	4922.5	6339.7	0.36494	1.0041e+06	2.6042e+06	0.87816	0.80985	0.19015	0.38029	0.99703	True
EGFP_g4	EGFP	4918	6102.6	4918	6102.6	0.3113	7.0164e+05	2.6018e+06	0.73441	0.76838	0.23162	0.46323	0.99703	True
mKate2_g3	mKate2	5323.8	4141.9	5323.8	4141.9	-0.36208	6.9842e+05	2.8165e+06	0.70609	0.24007	0.75993	0.48014	0.99703	False
AAVS1_g8	AAVS1	9559.5	8193.8	9559.5	8193.8	-0.22238	9.3257e+05	5.0574e+06	0.60731	0.27182	0.72818	0.54365	0.99703	False
SOX9_g5	SOX9	6089.6	7154.2	6089.6	7154.2	0.23241	5.6672e+05	3.2216e+06	0.59315	0.72336	0.27664	0.55327	0.99703	True
KRT20_g2	KRT20	9037.1	7749.2	9037.1	7749.2	-0.22178	8.2926e+05	4.781e+06	0.58902	0.27792	0.72208	0.55585	0.99703	False
LRIG1_g5	LRIG1	13397	11897	13397	11897	-0.17131	1.1252e+06	7.0874e+06	0.56348	0.28655	0.71345	0.57311	0.99703	False
CTRL0007_g7	CTRL	6418.3	5428.5	6418.3	5428.5	-0.2416	4.8985e+05	3.3955e+06	0.53765	0.29541	0.70459	0.59082	0.99703	False
CTRL0006_g6	CTRL	11025	9850.4	11025	9850.4	-0.16251	6.8987e+05	5.8327e+06	0.48637	0.31335	0.68665	0.6267	0.99703	False
PROM1_g5	PROM1	6404.5	5521.8	6404.5	5521.8	-0.21391	3.8959e+05	3.3883e+06	0.48003	0.3156	0.6844	0.63121	0.99703	False
SOX9_g4	SOX9	2564.6	3118.8	2564.6	3118.8	0.28217	1.5358e+05	1.3568e+06	0.47581	0.67844	0.32156	0.64311	0.99703	True
ROSA26_g10	ROSA26	7178.6	8070.9	7178.6	8070.9	0.169	3.9808e+05	3.7978e+06	0.45786	0.67644	0.32356	0.64712	0.99703	True
AAVS1_g5	AAVS1	6374.2	5543.8	6374.2	5543.8	-0.20135	3.4483e+05	3.3722e+06	0.45271	0.32538	0.67462	0.65075	0.99703	False
CTRL0005_g5	CTRL	5937.2	5230.9	5937.2	5230.9	-0.18268	2.494e+05	3.141e+06	0.39922	0.34487	0.65513	0.68973	0.99703	False
AAVS1_g2	AAVS1	6547.8	5849	6547.8	5849	-0.1628	2.4417e+05	3.464e+06	0.37584	0.35352	0.64648	0.70703	0.99703	False
mKate2_g1	mKate2	4828.9	4237.4	4828.9	4237.4	-0.18846	1.7491e+05	2.5547e+06	0.37223	0.35486	0.64514	0.70972	0.99703	False
CTRL0002_g2	CTRL	4717.8	4158.4	4717.8	4158.4	-0.18204	1.5646e+05	2.4959e+06	0.35649	0.36074	0.63926	0.72147	0.99703	False
SOX9_g3	SOX9	4762.8	5326.4	4762.8	5326.4	0.16133	1.5885e+05	2.5197e+06	0.35509	0.63825	0.36175	0.7235	0.99703	True
