id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
KRT20	6	0.99999	1.0	0.999995	10	0	0.64015	6.9543e-06	2.4995e-05	0.00025	1	6	0.64015
EGFP	6	0.99979	0.99983	0.999995	9	0	0.73139	0.00016403	0.00062488	0.003124	2	5	0.73139
PROM1	6	0.59021	0.58945	0.999995	4	0	-0.090159	0.65978	0.65838	0.999995	3	0	-0.090159
mKate2	6	0.62634	0.62596	0.999995	5	0	-0.13662	0.74552	0.743	0.999995	4	0	-0.13662
ROSA26	10	0.9135	0.9138	0.999995	7	0	-0.045304	0.80615	0.80723	0.999995	5	1	-0.045304
CTRL	10	0.64619	0.64662	0.999995	6	0	-0.073707	0.9135	0.9138	0.999995	6	0	-0.073707
AAVS1	10	0.45684	0.45701	0.999995	2	0	-0.1014	0.92698	0.92732	0.999995	7	0	-0.1014
LRIG1	6	0.5512	0.55044	0.999995	3	0	-0.13432	0.94754	0.94743	0.999995	8	0	-0.13432
CCR5	10	0.93855	0.93887	0.999995	8	0	-0.014622	0.94844	0.94928	0.999995	9	0	-0.014622
SOX9	6	6.2594e-05	0.00016497	0.00165	1	4	-0.36891	1.0	1.0	0.999995	10	0	-0.36891
