,Seq1,Vec,SOX9_g1,SOX9_g2,SOX9_g3,SOX9_g4,SOX9_g5,SOX9_g6,PROM1_g1,PROM1_g2,PROM1_g3,PROM1_g4,PROM1_g5,PROM1_g6,KRT20_g1,KRT20_g2,KRT20_g3,KRT20_g4,KRT20_g5,KRT20_g6,LRIG1_g1,LRIG1_g2,LRIG1_g3,LRIG1_g4,LRIG1_g5,LRIG1_g6,CTRL0001_g1,CTRL0002_g2,CTRL0003_g3,CTRL0004_g4,CTRL0005_g5,CTRL0006_g6,CTRL0007_g7,CTRL0008_g8,CTRL0009_g9,CTRL0010_g10,ROSA26_g1,ROSA26_g2,ROSA26_g3,ROSA26_g4,ROSA26_g5,ROSA26_g6,ROSA26_g7,ROSA26_g8,ROSA26_g9,ROSA26_g10,CCR5_g1,CCR5_g2,CCR5_g3,CCR5_g4,CCR5_g5,CCR5_g6,CCR5_g7,CCR5_g8,CCR5_g9,CCR5_g10,AAVS1_g1,AAVS1_g2,AAVS1_g3,AAVS1_g4,AAVS1_g5,AAVS1_g6,AAVS1_g7,AAVS1_g8,AAVS1_g9,AAVS1_g10,EGFP_g1,EGFP_g2,EGFP_g3,EGFP_g4,EGFP_g5,EGFP_g6,mKate2_g1,mKate2_g2,mKate2_g3,mKate2_g4,mKate2_g5,mKate2_g6
20210204_MNSC501_SS8614_S1_R1_001_F1,1121,325644,2714,1956,1020,1099,1709,3222,4468,7705,3788,7103,3222,2663,2883,4713,3842,2039,6964,2572,5218,3198,3400,6784,9150,2757,4589,4152,15106,2490,5185,7651,5506,5268,5085,8369,7478,6819,5788,4922,3777,6779,5396,4100,1609,4622,3077,5631,2887,1975,4092,3350,2770,4139,2835,3933,4878,5220,3179,1952,3926,1445,3067,5393,1588,2677,1068,1661,1053,903,1307,3385,3371,4390,4268,1758,2447,6636
20210204_MNSC501_SS8614_S1_R1_001_F2,5470,300673,1169,850,471,546,1098,1502,1155,1767,1224,2142,1072,775,984,1403,1001,512,1793,873,1268,807,920,1555,2513,874,1044,1036,3219,543,1132,2317,1359,1221,1093,1905,2196,1611,1860,1269,1099,1666,1457,1072,438,1067,762,1524,754,552,876,1053,652,998,716,1013,1533,1268,1047,602,1036,444,766,1915,529,654,1611,2225,1256,1029,1977,2159,678,747,713,289,544,1013
20210204_MNSC501_SS8614_S1_R1_001_F3,293,227475,4065,4120,1049,2065,4641,2991,1934,3888,1579,3110,1419,1111,1393,2324,1761,890,3494,1286,2422,1154,1736,2889,4074,1069,2219,2306,6773,1226,2478,3615,2717,2525,2414,4320,2984,2850,2426,2192,1731,2963,2299,1933,725,1931,1324,2697,1493,936,1889,1254,1374,1904,1201,1938,1991,2314,1375,941,1719,675,1314,2427,667,1135,10383,15697,8596,6233,13358,10931,1790,2350,2040,892,1102,3162
20210204_MNSC501_SS8614_S1_R1_001_F4,200291,200291,3931,3867,1248,2127,4804,3688,1761,3295,1453,2644,1307,998,1276,2124,1748,917,3078,1306,2142,1035,1571,2496,3476,1012,1877,1909,5946,1055,2049,3050,2318,2288,2220,3467,2704,2792,2146,1884,1546,2688,2203,1822,641,1789,1226,2374,1315,734,1732,1225,1162,1760,1027,1579,2038,2204,1248,877,1661,616,1234,2338,589,1054,8363,12271,6911,5553,10444,10604,1504,2036,1705,759,1145,2749
20210204_MNSC501_SS8614_S1_R1_001_F5,110474,110474,578,179,259,158,422,621,955,2107,768,1700,538,722,581,1121,832,570,1658,579,1188,704,776,1611,1986,607,1226,927,3075,455,1024,2097,1305,1353,1405,2072,1501,957,1173,1039,802,1348,1131,915,517,1045,591,1165,949,414,751,730,580,736,628,900,793,1180,775,372,719,269,627,1269,393,579,161,291,193,191,195,619,662,1026,985,466,445,1751
20210204_MNSC501_SS8614_S1_R1_001_F6,161037,161037,1345,1306,404,563,1603,1322,985,1815,862,1493,724,574,628,1207,931,462,1399,571,1337,674,755,1326,1993,653,990,832,2910,721,1104,1834,1352,1231,938,1836,1494,1289,1274,984,1099,1634,1078,829,463,1040,654,1322,669,379,807,673,732,1021,581,654,1021,1117,833,422,936,337,578,1134,301,459,3138,4180,2108,1584,3743,3072,822,1017,876,350,575,1494
20210204_MNSC501_SS8614_S1_R1_001_F7,109133,109133,990,1174,351,566,1244,932,633,1235,478,967,441,229,460,755,542,308,997,414,666,433,346,812,1092,286,646,642,1852,272,803,1471,807,987,743,1399,777,754,602,606,446,671,827,597,238,643,390,511,484,296,514,339,375,600,379,643,505,766,449,325,431,284,377,611,255,455,2640,4612,1858,1883,3665,2954,450,781,705,217,399,1169
20210204_MNSC501_SS8614_S1_R1_001_F8,124546,124546,1202,1084,379,533,1271,1307,525,1237,456,840,502,450,365,721,659,232,845,396,583,287,360,706,1068,331,488,579,1803,333,739,1129,860,719,771,934,860,757,838,512,444,950,576,464,292,634,370,704,446,381,539,421,290,572,293,527,649,587,525,263,451,202,314,655,152,427,2074,3245,1889,1481,2816,2996,530,604,428,261,350,842
20210204_MNSC501_SS8614_S1_R1_001_unknown,18672,58010,734,645,259,332,732,689,548,992,435,866,434,320,398,663,511,275,900,317,721,347,455,813,1223,332,583,568,1909,315,646,989,716,669,670,1059,880,954,743,610,487,819,666,452,227,621,355,774,374,280,471,409,327,570,338,477,591,639,405,259,464,181,404,720,210,310,1294,2028,1137,883,1632,1611,444,585,561,239,310,865
20210204_MNSC502_SS8614_S2_R1_001_F1,867,146368,885,654,492,470,964,2206,1797,3059,1780,3177,1631,1235,1547,2122,1528,846,2848,1314,2172,1197,1275,2338,3632,1237,1608,1611,4739,821,2006,3509,1977,1891,1951,2988,3069,2144,2831,1972,1707,2549,1915,1545,717,1721,1270,1974,1288,904,1305,1294,1118,1722,1082,1816,1884,1752,1365,913,1359,752,1068,2183,628,1002,1990,2677,1599,1484,2127,2693,1104,1338,1254,531,973,1860
