,Seq1,Vec,SOX9_g1,SOX9_g2,SOX9_g3,SOX9_g4,SOX9_g5,SOX9_g6,PROM1_g1,PROM1_g2,PROM1_g3,PROM1_g4,PROM1_g5,PROM1_g6,KRT20_g1,KRT20_g2,KRT20_g3,KRT20_g4,KRT20_g5,KRT20_g6,LRIG1_g1,LRIG1_g2,LRIG1_g3,LRIG1_g4,LRIG1_g5,LRIG1_g6,CTRL0001_g1,CTRL0002_g2,CTRL0003_g3,CTRL0004_g4,CTRL0005_g5,CTRL0006_g6,CTRL0007_g7,CTRL0008_g8,CTRL0009_g9,CTRL0010_g10,ROSA26_g1,ROSA26_g2,ROSA26_g3,ROSA26_g4,ROSA26_g5,ROSA26_g6,ROSA26_g7,ROSA26_g8,ROSA26_g9,ROSA26_g10,CCR5_g1,CCR5_g2,CCR5_g3,CCR5_g4,CCR5_g5,CCR5_g6,CCR5_g7,CCR5_g8,CCR5_g9,CCR5_g10,AAVS1_g1,AAVS1_g2,AAVS1_g3,AAVS1_g4,AAVS1_g5,AAVS1_g6,AAVS1_g7,AAVS1_g8,AAVS1_g9,AAVS1_g10,EGFP_g1,EGFP_g2,EGFP_g3,EGFP_g4,EGFP_g5,EGFP_g6,mKate2_g1,mKate2_g2,mKate2_g3,mKate2_g4,mKate2_g5,mKate2_g6
20210204_MNSC501_SS8614_S1_R1_001_F1,1,325644,2705,1939,1014,1094,1703,3207,4444,7666,3766,7000,3206,2632,2868,4689,3822,2026,6922,2559,5169,3182,3364,6738,9105,2746,4557,4132,14997,2469,5163,7618,5487,5232,5051,8169,7441,6780,5748,4901,3757,6702,5360,4077,1602,4583,3067,5612,2866,1961,4068,3319,2761,4120,2817,3914,4848,5188,3159,1939,3906,1439,3050,5367,1582,2651,1059,1642,1047,899,1288,3367,3261,4360,4249,1749,2329,6409
20210204_MNSC501_SS8614_S1_R1_001_F2,3315,300673,1166,845,469,537,1090,1491,1148,1752,1209,2117,1063,772,975,1392,993,509,1783,870,1260,802,910,1541,2487,871,1034,1030,3183,540,1123,2298,1352,1210,1085,1852,2176,1602,1849,1263,1088,1644,1445,1068,432,1060,760,1517,750,548,867,1046,645,986,706,1005,1523,1259,1036,594,1024,443,760,1907,523,642,1597,2202,1248,1016,1960,2147,649,741,709,283,524,970
20210204_MNSC501_SS8614_S1_R1_001_F3,0,227475,4034,4099,1041,2052,4588,2968,1926,3876,1570,3073,1412,1084,1379,2317,1749,881,3479,1277,2401,1143,1722,2867,4031,1065,2205,2289,6705,1222,2466,3599,2700,2503,2396,4253,2959,2825,2410,2181,1723,2937,2287,1914,717,1908,1317,2677,1483,927,1872,1240,1362,1890,1192,1927,1977,2292,1364,938,1708,668,1303,2414,663,1116,10315,15607,8539,6183,13268,10876,1730,2333,2028,886,1033,2986
20210204_MNSC501_SS8614_S1_R1_001_F4,200291,200291,3912,3842,1246,2113,4778,3658,1750,3278,1445,2614,1296,983,1268,2105,1735,910,3068,1301,2118,1025,1555,2478,3451,999,1868,1900,5896,1045,2042,3037,2307,2273,2209,3407,2684,2773,2124,1872,1538,2653,2193,1814,636,1778,1213,2365,1314,725,1708,1214,1158,1745,1023,1575,2026,2184,1241,872,1650,610,1229,2324,588,1041,8308,12203,6887,5516,10381,10551,1447,2025,1696,751,1081,2648
20210204_MNSC501_SS8614_S1_R1_001_F5,110474,110474,578,178,258,156,421,616,953,2093,765,1683,515,720,578,1118,827,567,1648,576,1183,703,772,1595,1970,604,1220,924,3056,452,1020,2087,1304,1349,1398,2044,1491,950,1168,1032,798,1332,1128,902,514,1038,586,1159,945,409,749,726,577,734,625,894,788,1164,775,368,716,268,620,1263,391,575,159,278,193,190,195,617,647,1024,976,463,428,1691
20210204_MNSC501_SS8614_S1_R1_001_F6,161037,161037,1339,1297,402,563,1588,1310,981,1805,855,1477,722,570,627,1206,927,460,1394,563,1326,672,750,1311,1984,649,984,820,2898,719,1098,1829,1348,1213,931,1798,1484,1279,1269,981,1091,1591,1075,824,461,1017,650,1302,664,378,795,659,730,1018,567,650,1015,1109,830,421,928,333,573,1120,297,455,3126,4163,2088,1575,3724,3048,800,1014,873,350,525,1444
20210204_MNSC501_SS8614_S1_R1_001_F7,109133,109133,987,1169,351,565,1240,924,628,1230,459,960,440,226,455,753,541,308,993,414,657,428,342,809,1092,285,643,640,1842,272,794,1463,796,980,739,1375,773,753,599,603,445,666,825,594,238,638,390,508,480,294,512,338,374,597,378,640,504,761,445,325,428,283,376,609,255,445,2627,4591,1849,1869,3645,2944,433,781,705,217,380,1113
20210204_MNSC501_SS8614_S1_R1_001_F8,0,124546,1198,1081,376,528,1257,1294,524,1232,456,833,500,445,364,721,656,230,842,395,570,285,356,702,1064,328,486,577,1791,332,734,1125,857,715,767,918,855,751,831,510,443,945,575,462,291,631,366,700,444,379,536,415,289,571,291,523,646,580,524,261,448,200,313,652,152,425,2060,3222,1882,1470,2803,2981,492,601,427,260,330,821
20210204_MNSC501_SS8614_S1_R1_001_unknown,2737,52333,717,630,255,324,711,665,540,961,428,835,421,313,387,644,496,270,880,307,705,342,437,787,1189,325,567,553,1857,307,630,965,702,646,651,996,866,874,722,593,478,797,657,440,219,608,350,758,371,277,457,393,325,557,326,467,576,625,394,249,457,174,395,706,203,302,1254,1987,1107,856,1582,1572,416,560,550,234,280,802
20210204_MNSC502_SS8614_S2_R1_001_F1,1,146368,883,647,491,468,958,2187,1784,3040,1768,3124,1623,1220,1540,2106,1522,842,2836,1306,2161,1178,1264,2319,3606,1235,1591,1598,4701,816,1984,3494,1962,1879,1935,2895,3056,2122,2812,1960,1699,2523,1901,1535,711,1702,1265,1963,1280,899,1289,1292,1114,1713,1076,1806,1876,1733,1353,902,1340,748,1056,2165,622,990,1974,2660,1591,1470,2112,2675,1045,1329,1241,528,918,1752
