id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
GFP	10	0.81354	0.8138	0.951095	20	0	4.2877	0.00058863	0.0041429	0.103573	1	10	4.2877
hSMARCA4	3	0.46362	0.46229	0.951095	9	0	5.2753	0.0070637	0.018846	0.23557	2	3	5.2753
mKate	10	0.95877	0.95824	0.958236	25	0	-6.0081	0.041227	0.20001	0.777986	3	10	-6.0081
hSMARCC2	3	0.62614	0.62558	0.951095	13	0	1.1807	0.048535	0.11585	0.777986	4	3	1.1807
mKatescrm	10	0.57606	0.57727	0.951095	10	0	-4.816	0.048568	0.22741	0.777986	5	9	-4.816
Prom1	10	0.94369	0.94365	0.958236	24	0	-6.5627	0.056314	0.25513	0.777986	6	10	-6.5627
hSATB2	3	0.68429	0.68479	0.951095	15	0	-5.9546	0.086212	0.1954	0.777986	7	3	-5.9546
TCF4	2	0.87611	0.87501	0.951095	23	0	-6.4768	0.12389	0.20719	0.777986	8	2	-6.4768
POLRD2	5	0.87364	0.87317	0.951095	22	0	-5.6586	0.12636	0.35002	0.87505	9	5	-5.6586
KRT20scrm	10	0.86409	0.86436	0.951095	21	0	-6.3454	0.13591	0.47868	0.948721	10	10	-6.3454
POLRD2scrm	5	0.69965	0.69995	0.951095	16	0	-6.0557	0.21118	0.50829	0.948721	11	5	-6.0557
CCR5	9	0.029219	0.054328	0.452732	3	1	-5.9546	0.2394	0.65375	0.948721	12	8	-5.9546
hSATB1	3	0.74411	0.74464	0.951095	19	0	-4.8831	0.25589	0.47485	0.948721	13	3	-4.8831
GFPscrm	10	0.63306	0.63388	0.951095	14	0	-5.5929	0.27156	0.71538	0.948721	14	9	-5.5929
MYCscrm	1	0.72039	0.72139	0.951095	18	0	1.2459	0.27961	0.28007	0.777986	15	1	1.2459
hSMARCD1	4	0.70522	0.70508	0.951095	17	0	-6.2661	0.28976	0.58048	0.948721	16	4	-6.2661
SOX9scrm	9	0.0080597	0.021254	0.26568	2	3	-8.2483	0.34415	0.7833	0.948721	17	6	-8.2483
hSMARCB1	2	0.60937	0.60776	0.951095	12	0	-5.6703	0.39063	0.55137	0.948721	18	2	-5.6703
KRT20	10	0.0074811	0.018786	0.26568	1	3	-8.4335	0.43755	0.8597	0.948721	19	7	-8.4335
hAPC	4	0.24898	0.24822	0.951095	6	0	-3.6324	0.45218	0.76392	0.948721	20	3	-3.6324
hSMARCC1	3	0.15856	0.15866	0.951095	4	0	-8.222	0.48926	0.74495	0.948721	21	2	-8.222
LGR5	10	0.60549	0.60726	0.951095	11	0	-6.4487	0.58196	0.93101	0.948721	22	9	-6.4487
MYC	5	0.32522	0.32709	0.951095	8	0	-6.8078	0.62194	0.90632	0.948721	23	4	-6.8078
SOX9	9	0.28229	0.28633	0.951095	7	1	-5.3927	0.63619	0.94531	0.948721	24	7	-5.3927
TCF20	2	0.19355	0.19376	0.951095	5	0	-6.9652	0.91429	0.94872	0.948721	25	1	-6.9652
