Gene	sgRNA	S14_MNSC502_F6|beta	S14_MNSC502_F6|z	S14_MNSC502_F6|p-value	S14_MNSC502_F6|fdr	S14_MNSC502_F6|wald-p-value	S14_MNSC502_F6|wald-fdr	S15_MNSC502_F7|beta	S15_MNSC502_F7|z	S15_MNSC502_F7|p-value	S15_MNSC502_F7|fdr	S15_MNSC502_F7|wald-p-value	S15_MNSC502_F7|wald-fdr	S16_MNSC502_F8|beta	S16_MNSC502_F8|z	S16_MNSC502_F8|p-value	S16_MNSC502_F8|fdr	S16_MNSC502_F8|wald-p-value	S16_MNSC502_F8|wald-fdr
Vector	1	0.14501	0.45557	0.36364	0.44444	0.6487	0.78623	0.19652	0.61741	0.36364	0.44444	0.53697	0.59066	0.25584	0.80378	0.36364	0.5	0.42152	0.46368
SOX9	6	0.72775	1.6476	0	0	0.099443	0.36463	0.55606	1.2589	0.090909	0.16667	0.20805	0.31363	0.78616	1.7799	0	0	0.075085	0.13678
PROM1	6	-0.053546	-1.1863	0.27273	0.44444	0.23549	0.51808	-0.062609	-1.3872	0.27273	0.375	0.16537	0.30317	-0.11823	-2.6196	0.18182	0.28571	0.008803	0.048416
KRT20	6	-0.020917	-0.48063	0.72727	0.72727	0.63078	0.78623	-0.13951	-3.2061	0	0	0.0013453	0.0073993	-0.014675	-0.33725	0.45455	0.55556	0.73593	0.73593
LRIG1	6	-0.18402	-2.4778	0	0	0.013219	0.14541	-0.18306	-2.4652	0	0	0.013692	0.050204	-0.16854	-2.2697	0	0	0.023226	0.063871
CTRL	10	-0.038477	-1.2566	0.18182	0.4	0.20888	0.51808	0.10871	3.5512	1	1	0.00038353	0.0042188	0.055625	1.817	0.72727	0.8	0.069216	0.13678
ROSA26	10	-0.060519	-1.8211	0	0	0.06859	0.36463	-0.071148	-2.1415	0.090909	0.16667	0.032233	0.08864	-0.082183	-2.4735	0	0	0.013381	0.049063
CCR5	10	-0.0092412	-0.2925	0.36364	0.44444	0.7699	0.78623	-0.014094	-0.44616	0.27273	0.375	0.65548	0.65548	-0.052893	-1.6743	0.090909	0.16667	0.094066	0.13678
AAVS1	10	0.0086536	0.27749	0.36364	0.44444	0.78141	0.78623	-0.032825	-1.0529	0.090909	0.16667	0.29237	0.35734	-0.11088	-3.5561	0	0	0.00037647	0.0041412
EGFP	6	-0.010249	-0.27121	0.72727	0.72727	0.78623	0.78623	0.057802	1.5297	0.90909	1	0.1261	0.27742	0.062253	1.6474	0.90909	0.90909	0.099476	0.13678
mKate2	6	1.1465	0.96861	0	0	0.33274	0.61002	1.4265	1.2053	0	0	0.2281	0.31363	1.3829	1.1684	0	0	0.24265	0.29657
