Gene	sgRNA	S50_MNSC507_F2|beta	S50_MNSC507_F2|z	S50_MNSC507_F2|p-value	S50_MNSC507_F2|fdr	S50_MNSC507_F2|wald-p-value	S50_MNSC507_F2|wald-fdr	S51_MNSC507_F3|beta	S51_MNSC507_F3|z	S51_MNSC507_F3|p-value	S51_MNSC507_F3|fdr	S51_MNSC507_F3|wald-p-value	S51_MNSC507_F3|wald-fdr	S52_MNSC507_F4|beta	S52_MNSC507_F4|z	S52_MNSC507_F4|p-value	S52_MNSC507_F4|fdr	S52_MNSC507_F4|wald-p-value	S52_MNSC507_F4|wald-fdr
Vector	1	0.1249	0.58308	0.27273	0.6	0.55984	0.55984	0.15732	0.73444	0.27273	0.5	0.46268	0.5655	0.14447	0.67444	0.27273	0.5	0.50003	0.61115
SOX9	6	0.8615	1.4283	0	0	0.15319	0.28086	0.84145	1.395	0	0	0.16302	0.40032	0.94568	1.5678	0	0	0.11693	0.32157
PROM1	6	0.032968	1.5591	0.81818	1	0.11897	0.28086	0.016945	0.80132	1	1	0.42295	0.5655	0.017769	0.84032	0.90909	0.90909	0.40073	0.59799
KRT20	6	-0.6408	-5.4696	0	0	4.5094e-08	2.4801e-07	-0.038207	-0.32613	0.54545	0.66667	0.74433	0.74433	-0.011132	-0.095023	0.54545	0.6	0.9243	0.9243
LRIG1	6	0.019995	0.95564	1	1	0.33925	0.44732	0.0087942	0.4203	1	1	0.67427	0.74169	-0.022676	-1.0837	0.54545	0.6	0.27848	0.51054
CTRL	10	-0.041767	-2.6908	0.63636	1	0.007128	0.026136	-0.030148	-1.9422	0.36364	0.57143	0.052108	0.21714	-0.025709	-1.6562	0.36364	0.5	0.097679	0.32157
ROSA26	10	-0.017718	-0.90401	0.72727	1	0.36599	0.44732	-0.047378	-2.4173	0	0	0.015638	0.17202	-0.022628	-1.1545	0.36364	0.5	0.24831	0.51054
CCR5	10	0.018557	1.0475	1	1	0.29487	0.44732	-0.023646	-1.3347	0.45455	0.625	0.18196	0.40032	-0.030213	-1.7055	0.27273	0.5	0.08811	0.32157
AAVS1	10	-0.030343	-1.4538	0.63636	1	0.146	0.28086	-0.039377	-1.8866	0.18182	0.4	0.05922	0.21714	-0.054959	-2.633	0	0	0.0084634	0.093097
EGFP	6	1.7397	0.64641	0	0	0.51802	0.55984	2.0836	0.77423	0	0	0.4388	0.5655	2.1014	0.78083	0	0	0.4349	0.59799
mKate2	6	-0.75613	-5.5039	0	0	3.7151e-08	2.4801e-07	-0.10669	-0.77663	0	0	0.43738	0.5655	-0.038471	-0.28003	0.36364	0.5	0.77946	0.8574
