Gene	sgRNA	S54_MNSC507_F6|beta	S54_MNSC507_F6|z	S54_MNSC507_F6|p-value	S54_MNSC507_F6|fdr	S54_MNSC507_F6|wald-p-value	S54_MNSC507_F6|wald-fdr	S55_MNSC507_F7|beta	S55_MNSC507_F7|z	S55_MNSC507_F7|p-value	S55_MNSC507_F7|fdr	S55_MNSC507_F7|wald-p-value	S55_MNSC507_F7|wald-fdr	S56_MNSC507_F8|beta	S56_MNSC507_F8|z	S56_MNSC507_F8|p-value	S56_MNSC507_F8|fdr	S56_MNSC507_F8|wald-p-value	S56_MNSC507_F8|wald-fdr
Vector	1	0.40475	1.0081	0.18182	0.4	0.3134	0.57457	0.0036919	0.0091954	0.45455	0.45455	0.99266	0.99266	-0.0084046	-0.020933	0.63636	0.63636	0.9833	0.9833
SOX9	6	0.79921	1.5566	0	0	0.11957	0.32881	0.72633	1.4147	0	0	0.15715	0.57623	0.84432	1.6445	0	0	0.10007	0.36694
PROM1	6	-0.034833	-1.2315	0.63636	0.77778	0.21813	0.47988	-0.020271	-0.7167	0.27273	0.3	0.47356	0.65114	-0.032296	-1.1419	0.36364	0.4	0.25351	0.55773
KRT20	6	-0.55943	-5.0419	0	0	4.6092e-07	2.5351e-06	-0.1107	-0.99805	0	0	0.31826	0.63784	-0.079556	-0.71723	0	0	0.47324	0.67523
LRIG1	6	-0.020591	-0.72176	0.63636	0.77778	0.47044	0.58373	-0.047771	-1.6746	0.18182	0.22222	0.094022	0.57623	-0.051623	-1.8095	0.27273	0.33333	0.07037	0.36694
CTRL	10	-0.049231	-1.9486	0.45455	0.77778	0.051345	0.18826	-0.028334	-1.1215	0.18182	0.22222	0.26206	0.63784	-0.033767	-1.3365	0.18182	0.25	0.18138	0.4988
ROSA26	10	0.0098193	0.4916	0.81818	0.81818	0.623	0.6853	-0.010379	-0.51966	0.18182	0.22222	0.6033	0.67862	-0.012716	-0.63661	0.18182	0.25	0.52438	0.67523
CCR5	10	-0.0066277	-0.33412	0.54545	0.77778	0.73829	0.73829	-0.030092	-1.517	0.18182	0.22222	0.12925	0.57623	-0.011784	-0.59408	0.18182	0.25	0.55246	0.67523
AAVS1	10	0.020157	0.82115	0.81818	0.81818	0.41156	0.58373	-0.012278	-0.50021	0.18182	0.22222	0.61692	0.67862	-0.045796	-1.8655	0.090909	0.25	0.062113	0.36694
EGFP	6	1.6086	0.71018	0	0	0.47759	0.58373	1.8739	0.8273	0	0	0.40807	0.64125	1.9953	0.88091	0	0	0.37836	0.67523
mKate2	6	-0.62953	-5.197	0	0	2.0258e-07	2.2284e-06	-0.11369	-0.93865	0	0	0.34791	0.63784	-0.058807	-0.4855	0.18182	0.25	0.62732	0.69005
