sgRNA	Gene	S57_MNSC508_F1	S58_MNSC508_F2	S59_MNSC508_F3	S60_MNSC508_F4
SOX9_g1	SOX9	973	661	628	403
SOX9_g2	SOX9	649	526	455	297
SOX9_g3	SOX9	595	458	368	197
SOX9_g4	SOX9	520	512	402	284
SOX9_g5	SOX9	934	730	654	395
SOX9_g6	SOX9	2220	2079	1742	1106
PROM1_g1	PROM1	1938	1827	1392	986
PROM1_g2	PROM1	2794	2789	2312	1570
PROM1_g3	PROM1	1797	1745	1525	960
PROM1_g4	PROM1	3028	2909	2389	1762
PROM1_g5	PROM1	1723	1593	1315	901
PROM1_g6	PROM1	4357	3991	3266	2356
KRT20_g1	KRT20	465	494	2269	1808
KRT20_g2	KRT20	429	526	3292	2682
KRT20_g3	KRT20	491	453	2763	2089
KRT20_g4	KRT20	188	250	1290	991
KRT20_g5	KRT20	622	702	4285	3537
KRT20_g6	KRT20	359	372	1937	1520
LRIG1_g1	LRIG1	2182	2024	1531	1090
LRIG1_g2	LRIG1	1129	1132	906	619
LRIG1_g3	LRIG1	1293	1386	1106	690
LRIG1_g4	LRIG1	2302	2231	1937	1356
LRIG1_g5	LRIG1	3599	3350	2712	2038
LRIG1_g6	LRIG1	1254	1271	914	640
CTRL0001_g1	CTRL	1660	1619	1290	953
CTRL0002_g2	CTRL	1698	1571	1322	906
CTRL0003_g3	CTRL	5241	4893	4101	2751
CTRL0004_g4	CTRL	852	850	722	489
CTRL0005_g5	CTRL	1824	1698	1334	1016
CTRL0006_g6	CTRL	3136	2983	2472	1862
CTRL0007_g7	CTRL	2033	1958	1519	1172
CTRL0008_g8	CTRL	1858	1817	1485	1064
CTRL0009_g9	CTRL	1775	1695	1389	1072
CTRL0010_g10	CTRL	2777	2737	2354	1693
ROSA26_g1	ROSA26	5908	5493	4433	3099
ROSA26_g2	ROSA26	2485	2246	1789	1351
ROSA26_g3	ROSA26	2926	2743	2168	1602
ROSA26_g4	ROSA26	2042	2102	1651	1110
ROSA26_g5	ROSA26	1745	1705	1346	1020
ROSA26_g6	ROSA26	2726	2375	1846	1255
ROSA26_g7	ROSA26	2107	1769	1379	941
ROSA26_g8	ROSA26	1582	1570	1180	827
ROSA26_g9	ROSA26	722	739	623	443
ROSA26_g10	ROSA26	1900	1626	1465	1029
CCR5_g1	CCR5	1290	1181	914	640
CCR5_g2	CCR5	2172	1883	1529	1096
CCR5_g3	CCR5	1264	1253	940	690
CCR5_g4	CCR5	975	889	687	453
CCR5_g5	CCR5	1438	1373	1044	746
CCR5_g6	CCR5	1466	1289	884	621
CCR5_g7	CCR5	2928	2819	2180	1607
CCR5_g8	CCR5	1812	1730	1367	1000
CCR5_g9	CCR5	1134	982	844	604
CCR5_g10	CCR5	1714	1529	1198	878
AAVS1_g1	AAVS1	1892	1911	1555	1121
AAVS1_g2	AAVS1	1950	1771	1441	1047
AAVS1_g3	AAVS1	1346	1231	983	690
AAVS1_g4	AAVS1	879	775	721	473
AAVS1_g5	AAVS1	1528	1432	1059	803
AAVS1_g6	AAVS1	742	706	555	418
AAVS1_g7	AAVS1	1125	1085	857	592
AAVS1_g8	AAVS1	2248	1992	1596	1101
AAVS1_g9	AAVS1	718	684	483	385
AAVS1_g10	AAVS1	983	935	751	506
EGFP_g1	EGFP	286	329	3499	2826
EGFP_g2	EGFP	325	401	4771	3696
EGFP_g3	EGFP	215	252	2739	2260
EGFP_g4	EGFP	191	244	2434	1993
EGFP_g5	EGFP	278	396	4134	3155
EGFP_g6	EGFP	951	935	4276	3300
mKate2_g1	mKate2	1142	947	893	808
mKate2_g2	mKate2	1217	1124	1119	974
mKate2_g3	mKate2	1138	1078	1080	932
mKate2_g4	mKate2	1294	1210	1038	854
mKate2_g5	mKate2	976	878	811	759
mKate2_g6	mKate2	1781	1689	1661	1399
