sgRNA	Gene	S53_MNSC507_F5	S54_MNSC507_F6	S55_MNSC507_F7	S56_MNSC507_F8
SOX9_g1	SOX9	1374	1466	1513	1537
SOX9_g2	SOX9	895	1059	1078	1116
SOX9_g3	SOX9	506	635	561	528
SOX9_g4	SOX9	624	737	792	802
SOX9_g5	SOX9	1181	1455	1712	1684
SOX9_g6	SOX9	2214	1874	2300	2059
PROM1_g1	PROM1	2550	1211	1356	1317
PROM1_g2	PROM1	3874	1801	2301	1937
PROM1_g3	PROM1	2719	1264	1461	1253
PROM1_g4	PROM1	4238	2067	2427	1869
PROM1_g5	PROM1	2224	1154	1243	1193
PROM1_g6	PROM1	5869	2859	3344	2630
KRT20_g1	KRT20	2637	777	1507	1260
KRT20_g2	KRT20	3554	1036	1967	1752
KRT20_g3	KRT20	2657	838	1287	1161
KRT20_g4	KRT20	1455	395	713	650
KRT20_g5	KRT20	5291	1499	2651	2473
KRT20_g6	KRT20	2417	624	1157	1069
LRIG1_g1	LRIG1	2947	1331	1584	1365
LRIG1_g2	LRIG1	1728	831	937	773
LRIG1_g3	LRIG1	1719	873	969	953
LRIG1_g4	LRIG1	3287	1739	1884	1589
LRIG1_g5	LRIG1	5170	2402	2584	2271
LRIG1_g6	LRIG1	1744	889	983	805
CTRL0001_g1	CTRL	2397	1143	1215	1023
CTRL0002_g2	CTRL	2038	1173	1312	1038
CTRL0003_g3	CTRL	7249	3393	3765	3457
CTRL0004_g4	CTRL	1336	567	684	620
CTRL0005_g5	CTRL	2425	1092	1351	1250
CTRL0006_g6	CTRL	5074	2128	2597	2149
CTRL0007_g7	CTRL	2882	1404	1707	1373
CTRL0008_g8	CTRL	2506	1294	1417	1312
CTRL0009_g9	CTRL	2364	1068	1417	1258
CTRL0010_g10	CTRL	3879	1963	2235	1891
ROSA26_g1	ROSA26	8204	4277	4425	4010
ROSA26_g2	ROSA26	3548	1776	1887	1703
ROSA26_g3	ROSA26	3759	2025	2338	1989
ROSA26_g4	ROSA26	2990	1421	1515	1397
ROSA26_g5	ROSA26	2669	1134	1395	1170
ROSA26_g6	ROSA26	3517	1976	2175	1895
ROSA26_g7	ROSA26	2987	1520	1860	1391
ROSA26_g8	ROSA26	2219	1128	1265	1027
ROSA26_g9	ROSA26	938	475	553	475
ROSA26_g10	ROSA26	2905	1494	1623	1623
CCR5_g1	CCR5	1917	827	990	872
CCR5_g2	CCR5	2728	1406	1643	1384
CCR5_g3	CCR5	1695	741	822	720
CCR5_g4	CCR5	1331	710	774	649
CCR5_g5	CCR5	1801	956	1041	965
CCR5_g6	CCR5	2088	1097	1197	1021
CCR5_g7	CCR5	3775	1900	2040	1900
CCR5_g8	CCR5	2333	1238	1201	1170
CCR5_g9	CCR5	1453	755	873	766
CCR5_g10	CCR5	2323	1053	1339	1176
AAVS1_g1	AAVS1	3361	1711	1795	1643
AAVS1_g2	AAVS1	2778	1480	1489	1264
AAVS1_g3	AAVS1	1946	1070	1155	985
AAVS1_g4	AAVS1	1367	669	745	582
AAVS1_g5	AAVS1	2490	1087	1263	1148
AAVS1_g6	AAVS1	887	504	586	482
AAVS1_g7	AAVS1	1836	900	985	792
AAVS1_g8	AAVS1	3729	2086	2193	1867
AAVS1_g9	AAVS1	916	508	629	530
AAVS1_g10	AAVS1	1510	661	775	614
EGFP_g1	EGFP	707	1911	2609	2519
EGFP_g2	EGFP	767	2010	3476	3153
EGFP_g3	EGFP	430	1081	1547	1915
EGFP_g4	EGFP	482	1210	1750	1640
EGFP_g5	EGFP	696	2004	2772	2829
EGFP_g6	EGFP	1118	2170	3546	3079
mKate2_g1	mKate2	2891	716	1406	1334
mKate2_g2	mKate2	3500	846	1680	1642
mKate2_g3	mKate2	3073	832	1652	1536
mKate2_g4	mKate2	2294	819	1321	1126
mKate2_g5	mKate2	2635	612	1288	1183
mKate2_g6	mKate2	4479	1174	2274	2037
