Gene	sgRNA	S22_MNSC503_F6|beta	S22_MNSC503_F6|z	S22_MNSC503_F6|p-value	S22_MNSC503_F6|fdr	S22_MNSC503_F6|wald-p-value	S22_MNSC503_F6|wald-fdr	S23_MNSC503_F7|beta	S23_MNSC503_F7|z	S23_MNSC503_F7|p-value	S23_MNSC503_F7|fdr	S23_MNSC503_F7|wald-p-value	S23_MNSC503_F7|wald-fdr	S24_MNSC503_F8|beta	S24_MNSC503_F8|z	S24_MNSC503_F8|p-value	S24_MNSC503_F8|fdr	S24_MNSC503_F8|wald-p-value	S24_MNSC503_F8|wald-fdr
Vector	1	-0.070844	-0.32402	0.54545	1	0.74593	0.74593	0.18303	0.83712	0.18182	0.4	0.40253	0.55317	0.15683	0.71728	0.18182	0.33333	0.4732	0.65065
SOX9	6	-1.0886	-5.5399	0	0	3.0259e-08	1.6643e-07	-0.4406	-2.2422	0	0	0.024951	0.12854	-0.27735	-1.4114	0	0	0.15813	0.50359
PROM1	6	0.01657	0.79703	0.81818	1	0.42544	0.58497	0.032436	1.5602	0.63636	0.63636	0.11872	0.26118	-0.021677	-1.0427	0.54545	0.6	0.2971	0.54469
KRT20	6	1.8967	0.65742	0	0	0.51091	0.62445	2.167	0.7511	0	0	0.45259	0.55317	2.0821	0.7217	0	0	0.47048	0.65065
LRIG1	6	0.041504	2.2684	0.63636	1	0.023302	0.085441	0.01411	0.77122	0.63636	0.63636	0.44058	0.55317	0.034727	1.898	0.63636	0.63636	0.057693	0.31731
CTRL	10	-0.021925	-1.1734	0.90909	1	0.24064	0.58497	0.017144	0.91754	0.54545	0.63636	0.35886	0.55317	-0.008261	-0.44212	0.54545	0.6	0.6584	0.69641
ROSA26	10	0.016108	0.98608	0.90909	1	0.3241	0.58497	-0.028139	-1.7225	0.36364	0.5	0.084973	0.23368	-0.0063738	-0.39018	0.54545	0.6	0.69641	0.69641
CCR5	10	-0.019054	-0.83007	1	1	0.4065	0.58497	-0.048382	-2.1077	0.36364	0.5	0.035055	0.12854	-0.050501	-2.2001	0.18182	0.33333	0.027803	0.30583
AAVS1	10	-0.024055	-0.9224	0.90909	1	0.35632	0.58497	-0.058017	-2.2246	0.27273	0.5	0.026106	0.12854	-0.034716	-1.3312	0.36364	0.57143	0.18312	0.50359
EGFP	6	2.7355	0.39931	0	0	0.68967	0.74593	2.8813	0.42058	0	0	0.67406	0.67406	2.8704	0.41899	0	0	0.67522	0.69641
mKate2	6	-1.7878	-7.9618	0	0	1.6962e-15	1.8658e-14	-0.10181	-0.45338	0.18182	0.4	0.65028	0.67406	-0.25961	-1.1562	0	0	0.24762	0.54469
