Gene	sgRNA	S38_MNSC505_F6|beta	S38_MNSC505_F6|z	S38_MNSC505_F6|p-value	S38_MNSC505_F6|fdr	S38_MNSC505_F6|wald-p-value	S38_MNSC505_F6|wald-fdr	S39_MNSC505_F7|beta	S39_MNSC505_F7|z	S39_MNSC505_F7|p-value	S39_MNSC505_F7|fdr	S39_MNSC505_F7|wald-p-value	S39_MNSC505_F7|wald-fdr	S40_MNSC505_F8|beta	S40_MNSC505_F8|z	S40_MNSC505_F8|p-value	S40_MNSC505_F8|fdr	S40_MNSC505_F8|wald-p-value	S40_MNSC505_F8|wald-fdr
Vector	1	-0.15451	-1.0562	0.54545	0.88889	0.29087	0.35551	0.028794	0.19683	0.72727	0.81818	0.84396	0.92836	0.10274	0.70234	1	1	0.48247	0.66339
SOX9	6	0.59977	2.536	0	0	0.011213	0.041113	-0.3572	-1.5093	0	0	0.13121	0.36084	-0.40473	-1.7103	0	0	0.087219	0.21828
PROM1	6	-0.026284	-1.3047	0.90909	0.90909	0.19198	0.30169	-0.0039984	-0.19847	0.81818	0.81818	0.84268	0.92836	0.0073223	0.36346	0.45455	0.625	0.71626	0.78788
KRT20	6	-1.1321	-5.9261	0	0	3.1019e-09	3.4121e-08	0.11526	0.60347	0	0	0.5462	0.79405	0.31488	1.6487	0	0	0.099217	0.21828
LRIG1	6	-0.0016534	-0.074694	0.72727	0.88889	0.94046	0.94046	-0.012332	-0.55706	0.72727	0.81818	0.57749	0.79405	-0.061086	-2.7593	0.27273	0.5	0.005792	0.063712
CTRL	10	-0.0043324	-0.21287	0.90909	0.90909	0.83143	0.91458	0.035722	1.7549	0.27273	0.42857	0.079272	0.36084	0.014956	0.73477	0.81818	0.9	0.46248	0.66339
ROSA26	10	0.046445	1.201	0.72727	0.88889	0.22976	0.31593	0.0012956	0.033493	0.81818	0.81818	0.97328	0.97328	-0.0036963	-0.095559	0.54545	0.66667	0.92387	0.92387
CCR5	10	0.070508	1.9769	0.72727	0.88889	0.048049	0.13214	-0.039257	-1.1006	0.27273	0.42857	0.27108	0.59638	-0.021309	-0.59743	0.36364	0.57143	0.55022	0.67249
AAVS1	10	0.065637	1.6221	0.72727	0.88889	0.10477	0.19208	-0.072417	-1.789	0.090909	0.2	0.07361	0.36084	-0.044355	-1.0959	0.18182	0.4	0.27313	0.50074
EGFP	6	0.13672	1.6597	0.27273	0.75	0.096978	0.19208	0.13574	1.6476	0	0	0.09943	0.36084	0.17906	2.1735	0	0	0.029746	0.1636
mKate2	6	-1.1774	-5.6505	0	0	1.6003e-08	8.8015e-08	0.14269	0.68484	0	0	0.49344	0.79405	0.34747	1.6676	0	0	0.095389	0.21828
