Gene	sgRNA	S49_MNSC507_F1|beta	S49_MNSC507_F1|z	S49_MNSC507_F1|p-value	S49_MNSC507_F1|fdr	S49_MNSC507_F1|wald-p-value	S49_MNSC507_F1|wald-fdr	S51_MNSC507_F3|beta	S51_MNSC507_F3|z	S51_MNSC507_F3|p-value	S51_MNSC507_F3|fdr	S51_MNSC507_F3|wald-p-value	S51_MNSC507_F3|wald-fdr	S52_MNSC507_F4|beta	S52_MNSC507_F4|z	S52_MNSC507_F4|p-value	S52_MNSC507_F4|fdr	S52_MNSC507_F4|wald-p-value	S52_MNSC507_F4|wald-fdr
Vector	1	-0.12244	-1.2468	0.36364	0.8	0.21248	0.29217	0.033687	0.34303	0.54545	0.54545	0.73157	0.80473	0.020834	0.21215	0.81818	0.81818	0.83199	0.83199
SOX9	6	-0.85995	-5.788	0	0	7.1223e-09	3.9173e-08	-0.019217	-0.12937	0.18182	0.25	0.89706	0.89706	0.085006	0.57228	0.72727	0.8	0.56713	0.69316
PROM1	6	-0.031268	-1.5423	1	1	0.12301	0.1933	-0.015173	-0.7484	0.27273	0.33333	0.45422	0.71377	-0.014348	-0.70772	0.18182	0.25	0.47912	0.65879
KRT20	6	0.6424	1.753	0	0	0.079596	0.15546	0.60335	1.6464	0	0	0.099676	0.36548	0.63042	1.7203	0	0	0.085379	0.28119
LRIG1	6	-0.018339	-0.81938	0.81818	1	0.41257	0.41257	-0.010374	-0.4635	0.45455	0.5	0.64301	0.7859	-0.041845	-1.8695	0	0	0.061548	0.28119
CTRL	10	0.043443	2.7887	0.63636	1	0.0052923	0.019405	0.012451	0.79925	0.18182	0.25	0.42414	0.71377	0.016891	1.0842	0.27273	0.33333	0.27826	0.43727
ROSA26	10	0.019406	1.1098	0.72727	1	0.26709	0.32644	-0.02882	-1.6481	0.090909	0.2	0.099331	0.36548	-0.0040688	-0.23268	0.18182	0.25	0.81601	0.83199
CCR5	10	-0.016929	-0.82347	0.90909	1	0.41024	0.41257	-0.04139	-2.0133	0.090909	0.2	0.044084	0.36548	-0.047958	-2.3328	0.090909	0.16667	0.019661	0.21627
AAVS1	10	0.031957	1.8024	0.72727	1	0.07149	0.15546	-0.0082324	-0.46428	0.18182	0.25	0.64245	0.7859	-0.023814	-1.343	0.090909	0.16667	0.17928	0.32867
EGFP	6	-1.7381	-6.9505	0	0	3.6394e-12	4.0034e-11	0.34486	1.3793	0	0	0.1678	0.36915	0.36265	1.4505	0	0	0.14693	0.32325
mKate2	6	0.75774	1.7235	0	0	0.084797	0.15546	0.65018	1.4789	0	0	0.13918	0.36915	0.71841	1.634	0	0	0.10225	0.28119
