Gene	sgRNA	S13_MNSC502_F5|beta	S13_MNSC502_F5|z	S13_MNSC502_F5|p-value	S13_MNSC502_F5|fdr	S13_MNSC502_F5|wald-p-value	S13_MNSC502_F5|wald-fdr	S15_MNSC502_F7|beta	S15_MNSC502_F7|z	S15_MNSC502_F7|p-value	S15_MNSC502_F7|fdr	S15_MNSC502_F7|wald-p-value	S15_MNSC502_F7|wald-fdr	S16_MNSC502_F8|beta	S16_MNSC502_F8|z	S16_MNSC502_F8|p-value	S16_MNSC502_F8|fdr	S16_MNSC502_F8|wald-p-value	S16_MNSC502_F8|wald-fdr
Vector	1	-0.14275	-0.95288	0.27273	0.5	0.34065	0.53531	0.052679	0.35165	0.81818	0.81818	0.7251	0.97749	0.112	0.74766	0.36364	0.44444	0.45467	0.6736
SOX9	6	-0.72621	-4.9149	0	0	8.883e-07	4.8856e-06	-0.17086	-1.1566	0	0	0.24745	0.45366	0.059238	0.40099	0.27273	0.42857	0.68843	0.84141
PROM1	6	0.055133	1.3506	0.27273	0.5	0.17682	0.38899	-0.0082621	-0.2024	0.63636	0.77778	0.83961	0.97749	-0.063886	-1.5649	0.090909	0.2	0.1176	0.32339
KRT20	6	0.022475	0.55593	0.54545	0.66667	0.57826	0.7951	-0.1178	-2.9137	0	0	0.0035721	0.019646	0.0070347	0.174	0.81818	0.9	0.86187	0.86187
LRIG1	6	0.18559	2.9863	0	0	0.002824	0.010355	0.0017534	0.028211	0.81818	0.81818	0.97749	0.97749	0.016267	0.2617	0.90909	0.90909	0.79355	0.86187
CTRL	10	0.040038	0.97329	0.36364	0.57143	0.33041	0.53531	0.14798	3.5972	0	0	0.00032168	0.0035385	0.094895	2.3067	0	0	0.021074	0.11591
ROSA26	10	0.062099	2.0555	0.090909	0.25	0.039832	0.10954	-0.0098296	-0.32532	0.27273	0.5	0.74494	0.97749	-0.020864	-0.69048	0.36364	0.44444	0.48989	0.6736
CCR5	10	0.010782	0.32708	0.54545	0.66667	0.74361	0.83557	-0.0040665	-0.12335	0.45455	0.625	0.90183	0.97749	-0.042866	-1.3002	0	0	0.19354	0.42578
AAVS1	10	-0.0071154	-0.20756	0.72727	0.72727	0.83557	0.83557	-0.040689	-1.1867	0.090909	0.2	0.23533	0.45366	-0.11874	-3.4626	0	0	0.00053508	0.0058858
EGFP	6	0.011813	0.28753	0.63636	0.7	0.77371	0.83557	0.068846	1.6756	0.36364	0.57143	0.093812	0.34398	0.073296	1.7839	0.27273	0.42857	0.074442	0.27295
mKate2	6	-1.1449	-5.5674	0	0	2.5857e-08	2.8442e-07	0.2809	1.3661	0	0	0.17192	0.45366	0.23725	1.1538	0	0	0.24859	0.45575
