Gene	sgRNA	S73_MNSC510_F1|beta	S73_MNSC510_F1|z	S73_MNSC510_F1|p-value	S73_MNSC510_F1|fdr	S73_MNSC510_F1|wald-p-value	S73_MNSC510_F1|wald-fdr	S75_MNSC510_F3|beta	S75_MNSC510_F3|z	S75_MNSC510_F3|p-value	S75_MNSC510_F3|fdr	S75_MNSC510_F3|wald-p-value	S75_MNSC510_F3|wald-fdr	S76_MNSC510_F4|beta	S76_MNSC510_F4|z	S76_MNSC510_F4|p-value	S76_MNSC510_F4|fdr	S76_MNSC510_F4|wald-p-value	S76_MNSC510_F4|wald-fdr
Vector	1	-0.0041354	-0.014781	0.63636	0.77778	0.98821	0.98821	0.27751	0.99189	0.36364	0.44444	0.32125	0.50483	0.12787	0.45705	0.27273	0.4	0.64764	0.79864
SOX9	6	0.72609	1.2402	0	0	0.2149	0.47278	0.87908	1.5014	0	0	0.13325	0.38122	0.95576	1.6325	0	0	0.10256	0.37607
PROM1	6	-0.0094028	-0.44282	0.72727	0.8	0.65789	0.72368	-0.0046626	-0.21958	0.090909	0.14286	0.8262	0.8262	-0.016399	-0.77233	0.54545	0.54545	0.43992	0.79864
KRT20	6	-1.3879	-6.8624	0	0	6.7724e-12	3.7248e-11	0.29353	1.4525	0.72727	0.8	0.14637	0.38122	-0.051555	-0.25511	0.27273	0.4	0.79864	0.79864
LRIG1	6	-0.088926	-2.6079	1	1	0.0091111	0.025056	-0.065744	-1.9278	0	0	0.053876	0.29632	-0.071333	-2.0919	0.090909	0.2	0.036447	0.29082
CTRL	10	0.011414	1.0359	0.36364	0.5	0.30025	0.47449	-0.0061035	-0.55389	0	0	0.57966	0.65766	-0.0033451	-0.30359	0.36364	0.4	0.76144	0.79864
ROSA26	10	0.016223	0.94416	0.36364	0.5	0.34509	0.47449	-0.0090647	-0.52747	0	0	0.59787	0.65766	0.0049735	0.28945	0.36364	0.4	0.77224	0.79864
CCR5	10	0.067184	2.8568	0.27273	0.5	0.0042791	0.01569	0.032027	1.3617	0.18182	0.25	0.17328	0.38122	0.0076551	0.32551	0.36364	0.4	0.7448	0.79864
AAVS1	10	0.020586	1.0058	0.36364	0.5	0.31451	0.47449	-0.044718	-2.1843	0	0	0.028943	0.29632	-0.039626	-1.9359	0.090909	0.2	0.052876	0.29082
EGFP	6	-1.8615	-7.9544	0	0	1.8002e-15	1.9802e-14	0.27366	1.1701	0.81818	0.81818	0.24196	0.4436	-0.16055	-0.68646	0	0	0.49242	0.79864
mKate2	6	1.8585	0.66584	0	0	0.50551	0.61785	2.253	0.80718	0	0	0.41956	0.5769	1.8374	0.65829	0	0	0.51035	0.79864
