Gene	sgRNA	S58_MNSC508_F2|beta	S58_MNSC508_F2|z	S58_MNSC508_F2|p-value	S58_MNSC508_F2|fdr	S58_MNSC508_F2|wald-p-value	S58_MNSC508_F2|wald-fdr	S59_MNSC508_F3|beta	S59_MNSC508_F3|z	S59_MNSC508_F3|p-value	S59_MNSC508_F3|fdr	S59_MNSC508_F3|wald-p-value	S59_MNSC508_F3|wald-fdr	S60_MNSC508_F4|beta	S60_MNSC508_F4|z	S60_MNSC508_F4|p-value	S60_MNSC508_F4|fdr	S60_MNSC508_F4|wald-p-value	S60_MNSC508_F4|wald-fdr
Vector	1	0.01661	0.034508	0.72727	0.72727	0.97247	0.97247	0.32072	0.66631	0.090909	0.14286	0.50521	0.64735	0.38069	0.79091	0.090909	0.14286	0.42899	0.47189
SOX9	6	-0.14163	-1.9326	0	0	0.053289	0.58618	-0.099281	-1.3544	0	0	0.17561	0.44565	-0.22554	-3.0736	0	0	0.0021149	0.0078517
PROM1	6	0.0073622	0.39678	0.63636	0.7	0.69153	0.97247	0.010039	0.54102	0.45455	0.5	0.5885	0.64735	-0.021561	-1.1619	0.27273	0.33333	0.24528	0.38544
KRT20	6	0.15332	0.060942	0	0	0.95141	0.97247	2.0648	0.82191	0	0	0.41113	0.64606	2.1663	0.86225	0	0	0.38855	0.47189
LRIG1	6	0.040859	1.4646	0.27273	0.6	0.14303	0.78667	0.0059534	0.21339	0.45455	0.5	0.83103	0.83103	-0.02249	-0.80597	0.27273	0.33333	0.42026	0.47189
CTRL	10	0.014945	1.0504	0.18182	0.5	0.29354	0.83048	0.017338	1.2184	0.27273	0.375	0.22306	0.44565	0.032254	2.2664	0.36364	0.4	0.023428	0.064427
ROSA26	10	-0.013176	-0.6151	0.45455	0.7	0.53849	0.97247	-0.035928	-1.6771	0	0	0.093516	0.34289	-0.0436	-2.0349	0.090909	0.14286	0.041863	0.078506
CCR5	10	-0.028056	-1.0322	0.45455	0.7	0.30199	0.83048	-0.08343	-3.0691	0	0	0.0021469	0.023616	-0.083461	-3.0699	0	0	0.0021414	0.0078517
AAVS1	10	-0.01033	-0.55522	0.63636	0.7	0.57874	0.97247	-0.037488	-2.0147	0	0	0.043941	0.24168	-0.0377	-2.0254	0.090909	0.14286	0.042821	0.078506
EGFP	6	0.21358	0.044202	0	0	0.96474	0.97247	2.6434	0.54781	0	0	0.58382	0.64735	2.7479	0.56945	0	0	0.56905	0.56905
mKate2	6	-0.034148	-0.35012	0.63636	0.7	0.72625	0.97247	0.11385	1.1673	0.63636	0.63636	0.24308	0.44565	0.31219	3.2007	0.81818	0.81818	0.0013707	0.0078517
