sgRNA	Gene	S17_MNSC503_F1	S18_MNSC503_F2	S19_MNSC503_F3	S20_MNSC503_F4
SOX9_g1	SOX9	9044	5168	6503	6837
SOX9_g2	SOX9	7974	3213	5321	6098
SOX9_g3	SOX9	5878	2471	4085	4511
SOX9_g4	SOX9	5239	2086	3865	3985
SOX9_g5	SOX9	10464	3788	7255	7556
SOX9_g6	SOX9	12112	6770	8473	9124
PROM1_g1	PROM1	4333	5414	4710	4301
PROM1_g2	PROM1	6889	8001	7040	6065
PROM1_g3	PROM1	4060	5549	4437	4209
PROM1_g4	PROM1	7297	9156	7664	6965
PROM1_g5	PROM1	4023	5208	4367	3861
PROM1_g6	PROM1	10078	12794	10921	9731
KRT20_g1	KRT20	809	6079	7479	6358
KRT20_g2	KRT20	1317	9054	11219	9807
KRT20_g3	KRT20	773	7173	8338	7094
KRT20_g4	KRT20	498	3446	3742	3497
KRT20_g5	KRT20	1375	11046	12099	10528
KRT20_g6	KRT20	799	4952	6262	5360
LRIG1_g1	LRIG1	5419	6907	5487	5053
LRIG1_g2	LRIG1	2981	3673	3212	2589
LRIG1_g3	LRIG1	3218	4021	3537	2973
LRIG1_g4	LRIG1	5436	7646	6124	5800
LRIG1_g5	LRIG1	9097	11160	9182	8163
LRIG1_g6	LRIG1	3105	3838	3412	3002
CTRL0001_g1	CTRL	3588	4573	3885	3547
CTRL0002_g2	CTRL	3823	4614	3826	3294
CTRL0003_g3	CTRL	11437	15345	12578	11280
CTRL0004_g4	CTRL	1912	2280	2082	1958
CTRL0005_g5	CTRL	4443	5216	4398	3886
CTRL0006_g6	CTRL	7723	9472	8562	7643
CTRL0007_g7	CTRL	4856	5741	4833	4272
CTRL0008_g8	CTRL	4119	5549	4621	4106
CTRL0009_g9	CTRL	4156	5136	4477	3760
CTRL0010_g10	CTRL	6550	8384	7128	6268
ROSA26_g1	ROSA26	12571	16630	13427	12657
ROSA26_g2	ROSA26	5052	7115	5585	5248
ROSA26_g3	ROSA26	6797	8810	7179	6288
ROSA26_g4	ROSA26	4793	6545	5244	4752
ROSA26_g5	ROSA26	4225	5382	4349	3880
ROSA26_g6	ROSA26	6304	8295	6623	6087
ROSA26_g7	ROSA26	5997	6571	5264	4895
ROSA26_g8	ROSA26	3617	4732	3925	3403
ROSA26_g9	ROSA26	1754	2113	1915	1586
ROSA26_g10	ROSA26	4648	5289	4922	4457
CCR5_g1	CCR5	3397	3920	3267	2919
CCR5_g2	CCR5	4952	6505	5364	4706
CCR5_g3	CCR5	3170	3527	3086	2603
CCR5_g4	CCR5	2323	2929	2406	2105
CCR5_g5	CCR5	3368	4476	3542	2999
CCR5_g6	CCR5	3975	5111	3920	3553
CCR5_g7	CCR5	7280	8807	7310	6739
CCR5_g8	CCR5	4512	5551	4605	4055
CCR5_g9	CCR5	2776	3177	2816	2367
CCR5_g10	CCR5	4518	4991	4047	3725
AAVS1_g1	AAVS1	4894	6561	5292	5088
AAVS1_g2	AAVS1	4046	5643	4800	4163
AAVS1_g3	AAVS1	3856	4230	3805	3219
AAVS1_g4	AAVS1	2353	2790	2347	1965
AAVS1_g5	AAVS1	3680	4974	4110	3579
AAVS1_g6	AAVS1	1746	2255	1804	1654
AAVS1_g7	AAVS1	2779	3610	2974	2564
AAVS1_g8	AAVS1	5933	6951	5609	5250
AAVS1_g9	AAVS1	1784	2159	1701	1601
AAVS1_g10	AAVS1	2325	2944	2559	2127
EGFP_g1	EGFP	223	8348	9725	7889
EGFP_g2	EGFP	387	10741	12585	10013
EGFP_g3	EGFP	388	6146	7268	6087
EGFP_g4	EGFP	225	5561	6421	5611
EGFP_g5	EGFP	351	9746	11332	9257
EGFP_g6	EGFP	2389	10006	10853	9536
mKate2_g1	mKate2	11701	2200	9316	7720
mKate2_g2	mKate2	13256	2558	11258	9639
mKate2_g3	mKate2	12527	2587	10333	8782
mKate2_g4	mKate2	7852	3535	6606	5692
mKate2_g5	mKate2	9627	2352	8529	7227
mKate2_g6	mKate2	18560	3961	15479	13079
