sgRNA	Gene	S37_MNSC505_F5	S38_MNSC505_F6	S39_MNSC505_F7	S40_MNSC505_F8
SOX9_g1	SOX9	1000	2466	600	640
SOX9_g2	SOX9	726	2073	497	513
SOX9_g3	SOX9	688	1502	399	390
SOX9_g4	SOX9	561	1331	404	398
SOX9_g5	SOX9	897	2630	634	627
SOX9_g6	SOX9	1746	3835	1447	1617
PROM1_g1	PROM1	1090	1411	1097	1225
PROM1_g2	PROM1	1670	2367	1786	1924
PROM1_g3	PROM1	1262	1600	1134	1210
PROM1_g4	PROM1	1967	2606	1805	2043
PROM1_g5	PROM1	1144	1610	1215	1266
PROM1_g6	PROM1	2776	3610	2514	2845
KRT20_g1	KRT20	2682	1157	2894	3728
KRT20_g2	KRT20	3588	1391	3966	5252
KRT20_g3	KRT20	3034	1417	3354	4458
KRT20_g4	KRT20	1384	671	1597	2116
KRT20_g5	KRT20	4379	2001	5148	6956
KRT20_g6	KRT20	2297	979	2238	2921
LRIG1_g1	LRIG1	1371	1910	1342	1415
LRIG1_g2	LRIG1	872	1094	806	837
LRIG1_g3	LRIG1	860	1129	811	799
LRIG1_g4	LRIG1	1615	2385	1626	1735
LRIG1_g5	LRIG1	2252	3126	2150	2342
LRIG1_g6	LRIG1	874	1205	861	813
CTRL0001_g1	CTRL	1024	1397	1096	1159
CTRL0002_g2	CTRL	958	1269	970	1054
CTRL0003_g3	CTRL	3201	4199	3344	3489
CTRL0004_g4	CTRL	622	769	590	563
CTRL0005_g5	CTRL	1117	1401	1054	1126
CTRL0006_g6	CTRL	2110	2914	1945	2083
CTRL0007_g7	CTRL	1123	1891	1257	1336
CTRL0008_g8	CTRL	1107	1557	1126	1183
CTRL0009_g9	CTRL	1006	1398	1047	1142
CTRL0010_g10	CTRL	1788	2355	1841	2033
ROSA26_g1	ROSA26	3642	5059	3648	4021
ROSA26_g2	ROSA26	1435	2178	1533	1633
ROSA26_g3	ROSA26	1785	2477	1925	1927
ROSA26_g4	ROSA26	1470	1804	1405	1450
ROSA26_g5	ROSA26	1120	1527	1105	1189
ROSA26_g6	ROSA26	1852	2751	1820	1738
ROSA26_g7	ROSA26	1590	2576	1206	1199
ROSA26_g8	ROSA26	1013	1353	978	1149
ROSA26_g9	ROSA26	438	644	414	496
ROSA26_g10	ROSA26	1287	1998	1381	1642
CCR5_g1	CCR5	789	1232	782	854
CCR5_g2	CCR5	1476	2066	1277	1403
CCR5_g3	CCR5	781	1116	801	825
CCR5_g4	CCR5	607	965	620	633
CCR5_g5	CCR5	875	1222	818	945
CCR5_g6	CCR5	1130	1654	800	931
CCR5_g7	CCR5	1712	2641	1746	2090
CCR5_g8	CCR5	1076	1611	1132	1375
CCR5_g9	CCR5	658	1055	715	646
CCR5_g10	CCR5	1183	1499	926	1070
AAVS1_g1	AAVS1	1402	2174	1331	1442
AAVS1_g2	AAVS1	1156	1760	1231	1300
AAVS1_g3	AAVS1	1075	1631	834	902
AAVS1_g4	AAVS1	608	859	496	629
AAVS1_g5	AAVS1	1062	1518	991	983
AAVS1_g6	AAVS1	475	587	474	509
AAVS1_g7	AAVS1	832	1264	730	798
AAVS1_g8	AAVS1	1641	2576	1386	1569
AAVS1_g9	AAVS1	518	711	481	467
AAVS1_g10	AAVS1	575	845	535	768
EGFP_g1	EGFP	1292	1904	1425	1548
EGFP_g2	EGFP	1532	2328	1756	1855
EGFP_g3	EGFP	722	1308	743	1156
EGFP_g4	EGFP	799	1249	904	942
EGFP_g5	EGFP	1437	2150	1449	1708
EGFP_g6	EGFP	1532	2435	1990	1919
mKate2_g1	mKate2	2135	827	2549	3514
mKate2_g2	mKate2	2746	1080	3104	4195
mKate2_g3	mKate2	2440	902	2857	3722
mKate2_g4	mKate2	1507	1037	1778	2192
mKate2_g5	mKate2	2119	798	2215	2906
mKate2_g6	mKate2	3806	1381	4035	5557
