Gene	sgRNA	S18_MNSC503_F2|beta	S18_MNSC503_F2|z	S18_MNSC503_F2|p-value	S18_MNSC503_F2|fdr	S18_MNSC503_F2|wald-p-value	S18_MNSC503_F2|wald-fdr	S19_MNSC503_F3|beta	S19_MNSC503_F3|z	S19_MNSC503_F3|p-value	S19_MNSC503_F3|fdr	S19_MNSC503_F3|wald-p-value	S19_MNSC503_F3|wald-fdr	S20_MNSC503_F4|beta	S20_MNSC503_F4|z	S20_MNSC503_F4|p-value	S20_MNSC503_F4|fdr	S20_MNSC503_F4|wald-p-value	S20_MNSC503_F4|wald-fdr
Vector	1	-0.11189	-0.68246	0.45455	0.90909	0.49495	0.86445	0.11819	0.7209	0.27273	0.33333	0.47097	0.7401	0.11398	0.69525	0.27273	0.33333	0.4869	0.5951
SOX9	6	-1.034	-5.4763	0	0	4.3432e-08	2.3887e-07	-0.42188	-2.2344	0	0	0.025457	0.14001	-0.23504	-1.2448	0	0	0.2132	0.58629
PROM1	6	0.0013401	0.099327	0.81818	0.90909	0.92088	0.92088	-0.00035888	-0.0266	1	1	0.97878	0.9795	0.010363	0.76808	0.90909	0.90909	0.44244	0.5951
KRT20	6	1.7672	0.65772	0	0	0.51072	0.86445	2.0957	0.78	0	0	0.43539	0.7401	2.0733	0.77164	0	0	0.44033	0.5951
LRIG1	6	0.0052301	0.27561	0.81818	0.90909	0.78285	0.86445	-0.00048758	-0.025694	1	1	0.9795	0.9795	-0.013486	-0.71068	0.72727	0.8	0.47728	0.5951
CTRL	10	-0.014243	-1.0441	0.90909	0.90909	0.29643	0.81519	-0.0056667	-0.4154	0.18182	0.25	0.67785	0.82848	-0.0096121	-0.70462	0.18182	0.25	0.48105	0.5951
ROSA26	10	0.0052557	0.30926	0.90909	0.90909	0.75712	0.86445	-0.019748	-1.162	0.18182	0.25	0.24523	0.60526	-0.0097531	-0.57389	0.18182	0.25	0.56604	0.62265
CCR5	10	-0.041008	-1.7345	0.63636	0.90909	0.08283	0.30371	-0.066531	-2.814	0.18182	0.25	0.0048927	0.053819	-0.079049	-3.3435	0.18182	0.25	0.00082734	0.0091007
AAVS1	10	-0.0047193	-0.27168	0.90909	0.90909	0.78587	0.86445	-0.024412	-1.4053	0.18182	0.25	0.15992	0.58638	-0.030439	-1.7523	0.18182	0.25	0.07973	0.43851
EGFP	6	2.5555	0.40383	0	0	0.68634	0.86445	2.8684	0.45328	0	0	0.65035	0.82848	2.7984	0.44222	0	0	0.65833	0.65833
mKate2	6	-1.6547	-7.3827	0	0	1.5515e-13	1.7067e-12	-0.24461	-1.0914	0	0	0.27512	0.60526	-0.29477	-1.3151	0	0	0.18846	0.58629
