Gene	sgRNA	S30_MNSC504_F6|beta	S30_MNSC504_F6|z	S30_MNSC504_F6|p-value	S30_MNSC504_F6|fdr	S30_MNSC504_F6|wald-p-value	S30_MNSC504_F6|wald-fdr	S31_MNSC504_F7|beta	S31_MNSC504_F7|z	S31_MNSC504_F7|p-value	S31_MNSC504_F7|fdr	S31_MNSC504_F7|wald-p-value	S31_MNSC504_F7|wald-fdr	S32_MNSC504_F8|beta	S32_MNSC504_F8|z	S32_MNSC504_F8|p-value	S32_MNSC504_F8|fdr	S32_MNSC504_F8|wald-p-value	S32_MNSC504_F8|wald-fdr
Vector	1	-0.10141	-0.46247	0.36364	0.8	0.64374	0.64374	0.074264	0.33867	0.63636	0.7	0.73486	0.77478	0.21751	0.99191	0.45455	0.45455	0.32124	0.4543
SOX9	6	-0.79299	-4.944	0	0	7.6524e-07	4.2088e-06	-0.35891	-2.2377	0	0	0.02524	0.13882	-0.054454	-0.33951	0	0	0.73423	0.73423
PROM1	6	0.011489	0.79102	0.54545	0.81818	0.42893	0.54867	-0.014131	-0.9729	0.63636	0.7	0.3306	0.45458	-0.04077	-2.8069	0.090909	0.16667	0.0050022	0.027512
KRT20	6	0.69561	0.94959	0	0	0.34232	0.54867	0.81911	1.1181	0	0	0.26352	0.41411	1.1465	1.565	0	0	0.11759	0.26389
LRIG1	6	-0.016418	-0.66366	0.72727	0.81818	0.50691	0.5576	-0.041221	-1.6662	0.54545	0.7	0.095682	0.26313	-0.037322	-1.5084	0.18182	0.22222	0.13146	0.26389
CTRL	10	-0.013229	-0.76097	0.81818	0.81818	0.44667	0.54867	-0.0049746	-0.28613	0.54545	0.7	0.77478	0.77478	-0.015359	-0.88326	0.18182	0.22222	0.37709	0.46089
ROSA26	10	0.057671	2.3254	0.45455	0.81818	0.020049	0.073514	0.042238	1.7029	0.90909	0.90909	0.088584	0.26313	0.014253	0.57452	0.27273	0.3	0.56562	0.62218
CCR5	10	-0.014317	-0.75723	0.81818	0.81818	0.44891	0.54867	-0.023008	-1.2169	0.45455	0.7	0.22365	0.41003	-0.018404	-0.97331	0.18182	0.22222	0.3304	0.4543
AAVS1	10	-0.026679	-0.96521	0.81818	0.81818	0.33444	0.54867	-0.074107	-2.6807	0.090909	0.25	0.0073472	0.080819	-0.078557	-2.8409	0	0	0.0044984	0.027512
EGFP	6	0.91663	1.2527	0	0	0.21032	0.54867	0.99693	1.3624	0	0	0.17308	0.38077	1.0693	1.4613	0	0	0.14394	0.26389
mKate2	6	-1.5279	-6.1167	0	0	9.5523e-10	1.0508e-08	0.13771	0.55133	0.45455	0.7	0.58141	0.71061	0.42787	1.713	0	0	0.086712	0.26389
