Gene	sgRNA	S17_MNSC503_F1|beta	S17_MNSC503_F1|z	S17_MNSC503_F1|p-value	S17_MNSC503_F1|fdr	S17_MNSC503_F1|wald-p-value	S17_MNSC503_F1|wald-fdr	S19_MNSC503_F3|beta	S19_MNSC503_F3|z	S19_MNSC503_F3|p-value	S19_MNSC503_F3|fdr	S19_MNSC503_F3|wald-p-value	S19_MNSC503_F3|wald-fdr	S20_MNSC503_F4|beta	S20_MNSC503_F4|z	S20_MNSC503_F4|p-value	S20_MNSC503_F4|fdr	S20_MNSC503_F4|wald-p-value	S20_MNSC503_F4|wald-fdr
Vector	1	0.11439	0.37031	0.72727	0.8	0.71115	0.94861	0.2313	0.74877	0.90909	0.90909	0.454	0.62424	0.2271	0.73516	0.90909	0.90909	0.46224	0.5387
SOX9	6	1.0357	1.8077	0	0	0.070655	0.1943	0.61291	1.0697	0	0	0.28475	0.52705	0.79976	1.3958	0	0	0.16277	0.5387
PROM1	6	0.0004308	0.030038	0.72727	0.8	0.97604	0.97604	-0.00081507	-0.056832	0.18182	0.25	0.95468	0.95468	0.0099064	0.69074	0.18182	0.25	0.48973	0.5387
KRT20	6	-1.7656	-7.339	0	0	2.1519e-13	1.1836e-12	0.32943	1.3698	0.27273	0.33333	0.17075	0.52705	0.30699	1.2765	0.36364	0.4	0.20178	0.5387
LRIG1	6	-0.0035002	-0.17335	0.72727	0.8	0.86237	0.94861	-0.0048546	-0.24043	0.18182	0.25	0.81	0.891	-0.017854	-0.88424	0.090909	0.14286	0.37657	0.5387
CTRL	10	0.015981	1.1082	0.72727	0.8	0.26779	0.49095	0.0094424	0.65475	0	0	0.51263	0.62654	0.005497	0.38117	0	0	0.70308	0.70308
ROSA26	10	-0.0035044	-0.19402	0.72727	0.8	0.84616	0.94861	-0.02413	-1.336	0	0	0.18156	0.52705	-0.014135	-0.7826	0	0	0.43386	0.5387
CCR5	10	0.042709	2.3886	1	1	0.016913	0.062013	-0.024677	-1.3801	0	0	0.16755	0.52705	-0.037196	-2.0802	0	0	0.037505	0.41255
AAVS1	10	0.00639	0.34055	0.72727	0.8	0.73344	0.94861	-0.018861	-1.0052	0	0	0.31481	0.52705	-0.024888	-1.3264	0	0	0.18472	0.5387
EGFP	6	-2.5538	-8.0516	0	0	8.1751e-16	8.9927e-15	0.31386	0.9902	0.36364	0.4	0.32208	0.52705	0.24386	0.76936	0.36364	0.4	0.44168	0.5387
mKate2	6	1.6565	1.131	0	0	0.25806	0.49095	1.4109	0.9633	0	0	0.3354	0.52705	1.3607	0.92906	0	0	0.35286	0.5387
