Gene	sgRNA	S01_MNSC501_F1|beta	S01_MNSC501_F1|z	S01_MNSC501_F1|p-value	S01_MNSC501_F1|fdr	S01_MNSC501_F1|wald-p-value	S01_MNSC501_F1|wald-fdr	S03_MNSC501_F3|beta	S03_MNSC501_F3|z	S03_MNSC501_F3|p-value	S03_MNSC501_F3|fdr	S03_MNSC501_F3|wald-p-value	S03_MNSC501_F3|wald-fdr	S04_MNSC501_F4|beta	S04_MNSC501_F4|z	S04_MNSC501_F4|p-value	S04_MNSC501_F4|fdr	S04_MNSC501_F4|wald-p-value	S04_MNSC501_F4|wald-fdr
Vector	1	-1.3152	-1.4627	0.090909	0.2	0.14354	0.18208	-0.89279	-0.99292	0	0	0.32075	0.35283	-0.92703	-1.031	0	0	0.30254	0.3328
SOX9	6	-0.61977	-1.6231	0	0	0.10457	0.16433	0.61161	1.602	0	0	0.10917	0.1501	0.75455	1.9764	0	0	0.048114	0.097131
PROM1	6	-0.14004	-1.8147	0.72727	0.72727	0.069577	0.16433	-0.17427	-2.2581	0.090909	0.16667	0.023936	0.065825	-0.20162	-2.6125	0.090909	0.16667	0.0089887	0.032958
KRT20	6	-0.13542	-2.5954	0.72727	0.72727	0.0094474	0.051961	-0.1048	-2.0083	0.36364	0.4	0.04461	0.081785	-0.047594	-0.91205	0.36364	0.4	0.36174	0.36174
LRIG1	6	-0.039516	-0.65474	0.45455	0.66667	0.51264	0.5639	-0.11054	-1.8314	0.36364	0.4	0.067048	0.10536	-0.13658	-2.2626	0.27273	0.375	0.023663	0.065074
CTRL	10	0.076384	1.8905	0	0	0.058691	0.16433	0.13263	3.2823	0.81818	0.81818	0.0010295	0.0056623	0.071526	1.7701	1	1	0.076715	0.12055
ROSA26	10	-0.05058	-1.4432	0.54545	0.66667	0.14897	0.18208	-0.10894	-3.1076	0.18182	0.28571	0.0018862	0.0069162	-0.097926	-2.7934	0.18182	0.28571	0.0052157	0.028686
CCR5	10	-0.01558	-0.4877	0.27273	0.5	0.62576	0.62576	-0.023172	-0.7253	0.36364	0.4	0.46827	0.46827	-0.051467	-1.6109	0.36364	0.4	0.1072	0.1474
AAVS1	10	-0.15683	-2.6717	0.54545	0.66667	0.0075478	0.051961	-0.20767	-3.5367	0.090909	0.16667	0.00040518	0.004457	-0.1721	-2.9307	0.090909	0.16667	0.0033817	0.028686
EGFP	6	-1.5022	-1.6655	0	0	0.095821	0.16433	1.3024	1.4442	0	0	0.14869	0.18173	1.2123	1.3442	0	0	0.17887	0.21862
mKate2	6	0.30493	1.728	0	0	0.083983	0.16433	0.36959	2.0944	0.090909	0.16667	0.036226	0.079697	0.34149	1.9351	0.090909	0.16667	0.052981	0.097131
