Gene	sgRNA	S77_MNSC510_F5|beta	S77_MNSC510_F5|z	S77_MNSC510_F5|p-value	S77_MNSC510_F5|fdr	S77_MNSC510_F5|wald-p-value	S77_MNSC510_F5|wald-fdr	S79_MNSC510_F7|beta	S79_MNSC510_F7|z	S79_MNSC510_F7|p-value	S79_MNSC510_F7|fdr	S79_MNSC510_F7|wald-p-value	S79_MNSC510_F7|wald-fdr	S80_MNSC510_F8|beta	S80_MNSC510_F8|z	S80_MNSC510_F8|p-value	S80_MNSC510_F8|fdr	S80_MNSC510_F8|wald-p-value	S80_MNSC510_F8|wald-fdr
Vector	1	0.018003	0.047572	0.72727	1	0.96206	0.96206	0.24548	0.64866	0.27273	0.33333	0.51656	0.78373	0.32122	0.8488	0.27273	0.33333	0.39599	0.70055
SOX9	6	0.46281	0.64029	0	0	0.52198	0.91265	0.77002	1.0654	0	0	0.2867	0.78373	1.2779	1.7682	0	0	0.077022	0.42362
PROM1	6	0.0039154	0.32297	1	1	0.74671	0.91265	-0.0069833	-0.57603	0.18182	0.25	0.56459	0.78373	-0.013592	-1.1211	0.090909	0.14286	0.26223	0.70055
KRT20	6	-0.71993	-5.4052	0	0	6.4725e-08	3.5599e-07	0.11426	0.85826	1	1	0.39075	0.78373	0.098198	0.73759	0.45455	0.45455	0.46076	0.70055
LRIG1	6	0.059933	2.8014	0.72727	1	0.0050887	0.018659	-0.0046916	-0.21928	0.18182	0.25	0.82643	0.92434	-0.00022946	-0.010725	0.27273	0.33333	0.99144	0.99144
CTRL	10	0.031827	2.4948	0.63636	1	0.012604	0.034661	0.0012116	0.094966	0.18182	0.25	0.92434	0.92434	0.0071872	0.56338	0	0	0.57318	0.70055
ROSA26	10	-0.010737	-0.49313	0.90909	1	0.62192	0.91265	-0.032227	-1.4801	0	0	0.13886	0.76372	-0.040995	-1.8828	0	0	0.059731	0.42362
CCR5	10	0.033746	1.8116	0.63636	1	0.070045	0.1541	-0.021049	-1.13	0	0	0.25849	0.78373	0.0052122	0.27981	0	0	0.77962	0.85759
AAVS1	10	0.0014598	0.074347	0.90909	1	0.94073	0.96206	-0.043819	-2.2314	0	0	0.025654	0.28219	-0.030309	-1.5435	0	0	0.12271	0.44993
EGFP	6	-0.88487	-5.7521	0	0	8.8151e-09	9.6966e-08	0.027241	0.17711	0.36364	0.4	0.85942	0.92434	0.10038	0.65264	0.45455	0.45455	0.51399	0.70055
mKate2	6	1.6364	0.36547	0	0	0.71476	0.91265	2.5435	0.56807	0	0	0.56999	0.78373	2.656	0.59322	0	0	0.55303	0.70055
