Gene	sgRNA	S78_MNSC510_F6|beta	S78_MNSC510_F6|z	S78_MNSC510_F6|p-value	S78_MNSC510_F6|fdr	S78_MNSC510_F6|wald-p-value	S78_MNSC510_F6|wald-fdr	S79_MNSC510_F7|beta	S79_MNSC510_F7|z	S79_MNSC510_F7|p-value	S79_MNSC510_F7|fdr	S79_MNSC510_F7|wald-p-value	S79_MNSC510_F7|wald-fdr	S80_MNSC510_F8|beta	S80_MNSC510_F8|z	S80_MNSC510_F8|p-value	S80_MNSC510_F8|fdr	S80_MNSC510_F8|wald-p-value	S80_MNSC510_F8|wald-fdr
Vector	1	-0.015759	-0.044613	0.90909	1	0.96442	0.99679	0.2286	0.64716	0.45455	0.5	0.51753	0.51753	0.30434	0.86158	0.63636	0.63636	0.38892	0.38892
SOX9	6	-0.46135	-1.3117	0.090909	0.25	0.18964	0.298	0.30798	0.87581	0.54545	0.54545	0.38113	0.46583	0.81582	2.3202	0	0	0.020329	0.18645
PROM1	6	-0.0023018	-0.1802	0.63636	1	0.85699	0.99679	-0.01009	-0.78987	0.27273	0.33333	0.42961	0.47257	-0.016698	-1.3072	0.18182	0.2	0.19114	0.21026
KRT20	6	0.72144	1.4096	0	0	0.15865	0.298	0.83491	1.6313	0	0	0.10283	0.22622	0.81884	1.5999	0	0	0.10961	0.19454
LRIG1	6	-0.058353	-2.0852	0.45455	1	0.037055	0.13587	-0.063828	-2.2807	0	0	0.022569	0.082752	-0.059366	-2.1213	0	0	0.033899	0.18645
CTRL	10	-0.030234	-2.1184	0.81818	1	0.034144	0.13587	-0.029814	-2.0888	0.090909	0.125	0.036724	0.10099	-0.023839	-1.6702	0.090909	0.11111	0.09488	0.19454
ROSA26	10	0.012341	0.6161	1	1	0.53783	0.73951	-0.020686	-1.0326	0.090909	0.125	0.3018	0.41498	-0.029453	-1.4703	0.090909	0.11111	0.14149	0.19454
CCR5	10	-0.032195	-1.6102	0.81818	1	0.10736	0.29523	-0.054015	-2.7013	0	0	0.0069064	0.075971	-0.027753	-1.388	0.090909	0.11111	0.16514	0.20183
AAVS1	10	7.7271e-05	0.004018	1	1	0.99679	0.99679	-0.044506	-2.3139	0.090909	0.125	0.020673	0.082752	-0.030996	-1.6116	0.090909	0.11111	0.10705	0.19454
EGFP	6	0.8864	1.3631	0	0	0.17285	0.298	0.91283	1.4037	0	0	0.16041	0.25207	0.98596	1.5162	0	0	0.12947	0.19454
mKate2	6	-1.6349	-2.5838	0	0	0.0097708	0.10748	0.90788	1.4351	0	0	0.15125	0.25207	1.0205	1.6131	0	0	0.10673	0.19454
