Gene	sgRNA	S42_MNSC506_F2|beta	S42_MNSC506_F2|z	S42_MNSC506_F2|p-value	S42_MNSC506_F2|fdr	S42_MNSC506_F2|wald-p-value	S42_MNSC506_F2|wald-fdr	S43_MNSC506_F3|beta	S43_MNSC506_F3|z	S43_MNSC506_F3|p-value	S43_MNSC506_F3|fdr	S43_MNSC506_F3|wald-p-value	S43_MNSC506_F3|wald-fdr	S44_MNSC506_F4|beta	S44_MNSC506_F4|z	S44_MNSC506_F4|p-value	S44_MNSC506_F4|fdr	S44_MNSC506_F4|wald-p-value	S44_MNSC506_F4|wald-fdr
Vector	1	-0.54922	-1.0148	0	0	0.31022	0.42461	-0.45704	-0.84446	0	0	0.39842	0.70601	-0.46733	-0.86347	0	0	0.38788	0.62534
SOX9	6	-0.15085	-1.8632	0.090909	0.2	0.062438	0.22894	-0.17245	-2.1296	0	0	0.033204	0.36524	-0.17411	-2.1496	0	0	0.031588	0.31726
PROM1	6	-0.050383	-1.4421	0.18182	0.33333	0.14926	0.32838	-0.02283	-0.65345	0.45455	0.55556	0.51346	0.70601	-0.019926	-0.57028	0.45455	0.55556	0.56849	0.62534
KRT20	6	1.0395	1.0504	0	0	0.29352	0.42461	1.2431	1.2561	0	0	0.20907	0.70601	1.3043	1.3178	0	0	0.18758	0.62534
LRIG1	6	0.034328	1.009	0.63636	0.7	0.31297	0.42461	-0.022863	-0.67193	0.45455	0.55556	0.50163	0.70601	-0.022334	-0.65625	0.45455	0.55556	0.51167	0.62534
CTRL	10	0.1896	3.8868	0.72727	0.72727	0.00010157	0.00055863	0.050228	1.0295	0.72727	0.72727	0.30324	0.70601	0.048485	0.99354	0.72727	0.72727	0.32045	0.62534
ROSA26	10	-0.0026708	-0.096641	0.36364	0.44444	0.92301	0.92301	0.013911	0.50327	0.36364	0.55556	0.61478	0.72362	0.018833	0.68113	0.45455	0.55556	0.49579	0.62534
CCR5	10	0.0088966	0.29574	0.36364	0.44444	0.76743	0.84417	-0.041704	-1.3862	0	0	0.16569	0.70601	-0.057116	-1.8981	0	0	0.057683	0.31726
AAVS1	10	-0.049558	-1.5163	0.36364	0.44444	0.12944	0.32838	-0.0034629	-0.10593	0.18182	0.33333	0.91564	0.91564	-0.0012041	-0.036815	0.27273	0.5	0.97063	0.97063
EGFP	6	2.0877	0.93963	0	0	0.34741	0.42461	1.6236	0.7307	0	0	0.46497	0.70601	1.6433	0.73952	0	0	0.45959	0.62534
mKate2	6	-0.43447	-4.608	0	0	4.0662e-06	4.4728e-05	0.041759	0.4429	0.63636	0.7	0.65784	0.72362	0.064109	0.67993	0.72727	0.72727	0.49655	0.62534
