sgRNA	Gene	S69_MNSC509_F5	S70_MNSC509_F6	S71_MNSC509_F7	S72_MNSC509_F8
SOX9_g1	SOX9	1677	891	2724	2400
SOX9_g2	SOX9	846	485	2321	1974
SOX9_g3	SOX9	916	548	1473	1042
SOX9_g4	SOX9	698	574	1819	1568
SOX9_g5	SOX9	1029	699	3115	2718
SOX9_g6	SOX9	3072	2658	4066	3160
PROM1_g1	PROM1	2854	2603	2021	1783
PROM1_g2	PROM1	4581	4203	3381	3018
PROM1_g3	PROM1	3011	2813	1999	1983
PROM1_g4	PROM1	4897	4592	3428	2972
PROM1_g5	PROM1	2678	2565	1939	1650
PROM1_g6	PROM1	6873	6323	4814	4175
KRT20_g1	KRT20	2611	2261	1911	1867
KRT20_g2	KRT20	3745	3230	2879	2570
KRT20_g3	KRT20	2850	2607	2165	1947
KRT20_g4	KRT20	1370	1249	1072	926
KRT20_g5	KRT20	4626	4317	3497	3104
KRT20_g6	KRT20	2176	1869	1758	1518
LRIG1_g1	LRIG1	3406	3037	2353	2204
LRIG1_g2	LRIG1	1899	1679	1254	1188
LRIG1_g3	LRIG1	2271	1932	1564	1240
LRIG1_g4	LRIG1	4175	3747	2925	2650
LRIG1_g5	LRIG1	5893	5189	3992	3753
LRIG1_g6	LRIG1	2068	1944	1345	1314
CTRL0001_g1	CTRL	2601	2460	1874	1651
CTRL0002_g2	CTRL	2609	2440	1976	1717
CTRL0003_g3	CTRL	8213	7861	5931	5449
CTRL0004_g4	CTRL	1412	1368	926	975
CTRL0005_g5	CTRL	2868	2496	2018	1863
CTRL0006_g6	CTRL	5150	4680	3663	3431
CTRL0007_g7	CTRL	3238	2940	2341	2241
CTRL0008_g8	CTRL	3003	2742	2346	2082
CTRL0009_g9	CTRL	2877	2650	2025	1974
CTRL0010_g10	CTRL	4647	4208	3346	2941
ROSA26_g1	ROSA26	8996	8907	6415	5941
ROSA26_g2	ROSA26	3815	3731	2694	2460
ROSA26_g3	ROSA26	4506	4092	3152	2982
ROSA26_g4	ROSA26	3371	3059	2467	2183
ROSA26_g5	ROSA26	2884	2612	1969	1871
ROSA26_g6	ROSA26	4186	3961	2622	2541
ROSA26_g7	ROSA26	2915	2539	1951	1842
ROSA26_g8	ROSA26	2572	2359	1839	1596
ROSA26_g9	ROSA26	1212	1123	815	748
ROSA26_g10	ROSA26	3371	3440	2548	2582
CCR5_g1	CCR5	1854	1833	1440	1213
CCR5_g2	CCR5	3076	3102	2291	2125
CCR5_g3	CCR5	2098	1769	1395	1304
CCR5_g4	CCR5	1463	1360	1031	882
CCR5_g5	CCR5	2316	2175	1549	1477
CCR5_g6	CCR5	2223	1924	1534	1408
CCR5_g7	CCR5	4448	4221	3229	2870
CCR5_g8	CCR5	2720	2605	1936	1799
CCR5_g9	CCR5	1758	1579	1159	1180
CCR5_g10	CCR5	2637	2386	1899	1735
AAVS1_g1	AAVS1	3302	3108	2388	2117
AAVS1_g2	AAVS1	2876	2833	2177	1818
AAVS1_g3	AAVS1	2131	2038	1535	1377
AAVS1_g4	AAVS1	1299	1261	987	880
AAVS1_g5	AAVS1	2427	2323	1709	1468
AAVS1_g6	AAVS1	1055	1082	829	779
AAVS1_g7	AAVS1	1788	1691	1279	1141
AAVS1_g8	AAVS1	3446	3244	2315	2214
AAVS1_g9	AAVS1	977	987	797	679
AAVS1_g10	AAVS1	1505	1471	1235	1067
EGFP_g1	EGFP	3653	3401	2583	2350
EGFP_g2	EGFP	4524	4359	3186	2848
EGFP_g3	EGFP	2376	2369	1544	1845
EGFP_g4	EGFP	2302	2184	1748	1456
EGFP_g5	EGFP	3932	3596	2862	2558
EGFP_g6	EGFP	4753	4225	3487	3090
mKate2_g1	mKate2	124	181	5283	5935
mKate2_g2	mKate2	178	238	6527	7706
mKate2_g3	mKate2	167	218	5879	6826
mKate2_g4	mKate2	1163	1218	3408	3824
mKate2_g5	mKate2	347	301	4718	5472
mKate2_g6	mKate2	338	421	8745	10023
