sgRNA	Gene	S21_MNSC503_F5	S22_MNSC503_F6	S23_MNSC503_F7	S24_MNSC503_F8
SOX9_g1	SOX9	8741	5760	6702	8341
SOX9_g2	SOX9	7692	3596	5438	7832
SOX9_g3	SOX9	5452	2859	3760	5540
SOX9_g4	SOX9	4751	2140	3760	5022
SOX9_g5	SOX9	9411	4145	7346	9326
SOX9_g6	SOX9	11362	6964	7896	10901
PROM1_g1	PROM1	3769	5821	4440	4858
PROM1_g2	PROM1	5679	8690	7219	7907
PROM1_g3	PROM1	3759	6267	4485	4849
PROM1_g4	PROM1	6256	9712	7398	7814
PROM1_g5	PROM1	3600	5835	3965	4591
PROM1_g6	PROM1	8780	13863	10408	11030
KRT20_g1	KRT20	887	7397	7804	8010
KRT20_g2	KRT20	844	10709	11484	11577
KRT20_g3	KRT20	703	8906	7715	8539
KRT20_g4	KRT20	403	4255	3858	4101
KRT20_g5	KRT20	1051	13210	12324	13494
KRT20_g6	KRT20	827	6090	5984	6269
LRIG1_g1	LRIG1	4679	6955	5215	6107
LRIG1_g2	LRIG1	2554	4266	3055	3528
LRIG1_g3	LRIG1	2643	4283	3074	3685
LRIG1_g4	LRIG1	5118	8573	5742	6988
LRIG1_g5	LRIG1	7367	12098	8631	10193
LRIG1_g6	LRIG1	2734	4504	3328	3751
CTRL0001_g1	CTRL	3390	5084	3685	4346
CTRL0002_g2	CTRL	3275	4869	3569	4130
CTRL0003_g3	CTRL	10563	16171	11112	13624
CTRL0004_g4	CTRL	1894	2791	2126	2109
CTRL0005_g5	CTRL	3527	5298	4009	4878
CTRL0006_g6	CTRL	6402	10207	8433	9006
CTRL0007_g7	CTRL	3913	5969	4866	5455
CTRL0008_g8	CTRL	3811	5742	4460	4763
CTRL0009_g9	CTRL	3360	5183	4409	4698
CTRL0010_g10	CTRL	5765	9055	6709	7679
ROSA26_g1	ROSA26	11817	18830	12719	15644
ROSA26_g2	ROSA26	4861	8232	5194	6662
ROSA26_g3	ROSA26	5743	9429	6861	7710
ROSA26_g4	ROSA26	4213	6905	4769	5561
ROSA26_g5	ROSA26	3764	5636	4098	4974
ROSA26_g6	ROSA26	5705	9353	6187	7093
ROSA26_g7	ROSA26	4949	7292	5437	6020
ROSA26_g8	ROSA26	3287	5038	3738	4079
ROSA26_g9	ROSA26	1537	2210	1724	2051
ROSA26_g10	ROSA26	4556	7649	5259	6426
CCR5_g1	CCR5	2778	4255	3093	3658
CCR5_g2	CCR5	4501	7147	4628	5740
CCR5_g3	CCR5	2482	3760	3077	3380
CCR5_g4	CCR5	2215	3294	2455	2623
CCR5_g5	CCR5	2979	4601	3057	3554
CCR5_g6	CCR5	3610	5529	3903	4238
CCR5_g7	CCR5	6065	9548	6523	8004
CCR5_g8	CCR5	3884	6172	3872	4897
CCR5_g9	CCR5	2291	3503	2524	2919
CCR5_g10	CCR5	3701	5112	4322	4439
AAVS1_g1	AAVS1	4766	7501	4840	5932
AAVS1_g2	AAVS1	3556	6072	4438	4964
AAVS1_g3	AAVS1	3622	5099	3459	3872
AAVS1_g4	AAVS1	1988	2918	2227	2422
AAVS1_g5	AAVS1	3491	5253	3555	4431
AAVS1_g6	AAVS1	1344	2202	1664	2057
AAVS1_g7	AAVS1	2720	3902	2600	3080
AAVS1_g8	AAVS1	5306	7820	5310	6478
AAVS1_g9	AAVS1	1530	2133	1839	2049
AAVS1_g10	AAVS1	1976	3250	2254	2794
EGFP_g1	EGFP	226	10384	9024	9975
EGFP_g2	EGFP	255	12819	11536	12486
EGFP_g3	EGFP	208	6934	5149	7518
EGFP_g4	EGFP	266	6818	6153	6207
EGFP_g5	EGFP	298	11849	10108	10889
EGFP_g6	EGFP	1897	11672	9862	11410
mKate2_g1	mKate2	10046	2175	10811	10447
mKate2_g2	mKate2	12641	2609	13298	12443
mKate2_g3	mKate2	11314	2382	12102	11097
mKate2_g4	mKate2	6549	3370	6936	7264
mKate2_g5	mKate2	9448	2501	9161	9504
mKate2_g6	mKate2	17314	3706	17195	17479
