sgRNA	Gene	S61_MNSC508_F5	S62_MNSC508_F6	S63_MNSC508_F7	S64_MNSC508_F8
SOX9_g1	SOX9	1500	633	2474	1819
SOX9_g2	SOX9	686	356	2017	1438
SOX9_g3	SOX9	612	481	1082	854
SOX9_g4	SOX9	478	398	1517	1030
SOX9_g5	SOX9	784	514	2530	1865
SOX9_g6	SOX9	2228	1880	2804	2212
PROM1_g1	PROM1	2137	1986	1528	1413
PROM1_g2	PROM1	3353	3102	2468	2203
PROM1_g3	PROM1	2272	2158	1525	1323
PROM1_g4	PROM1	3797	3504	2585	2394
PROM1_g5	PROM1	2007	2071	1484	1400
PROM1_g6	PROM1	5244	4789	3621	3365
KRT20_g1	KRT20	1933	1688	1465	1276
KRT20_g2	KRT20	2684	2373	2053	1768
KRT20_g3	KRT20	2205	2026	1722	1444
KRT20_g4	KRT20	1090	1049	865	663
KRT20_g5	KRT20	3401	3206	2594	2249
KRT20_g6	KRT20	1701	1425	1254	1061
LRIG1_g1	LRIG1	2584	2194	1650	1647
LRIG1_g2	LRIG1	1588	1281	981	862
LRIG1_g3	LRIG1	1737	1430	1195	1041
LRIG1_g4	LRIG1	3235	2942	2121	1835
LRIG1_g5	LRIG1	4597	4056	2999	2607
LRIG1_g6	LRIG1	1526	1351	1060	994
CTRL0001_g1	CTRL	1944	1887	1514	1187
CTRL0002_g2	CTRL	1938	1840	1420	1189
CTRL0003_g3	CTRL	6231	5897	4550	3937
CTRL0004_g4	CTRL	1102	970	713	639
CTRL0005_g5	CTRL	2031	1937	1425	1312
CTRL0006_g6	CTRL	3496	3485	2518	2558
CTRL0007_g7	CTRL	2381	2137	1672	1424
CTRL0008_g8	CTRL	2278	2154	1667	1414
CTRL0009_g9	CTRL	2021	1925	1531	1312
CTRL0010_g10	CTRL	3443	3138	2535	2206
ROSA26_g1	ROSA26	7179	6974	5085	4403
ROSA26_g2	ROSA26	3031	2978	2174	1873
ROSA26_g3	ROSA26	3572	3341	2436	2157
ROSA26_g4	ROSA26	2552	2421	1870	1504
ROSA26_g5	ROSA26	2073	1923	1425	1396
ROSA26_g6	ROSA26	3352	2892	2113	1917
ROSA26_g7	ROSA26	2289	1937	1629	1529
ROSA26_g8	ROSA26	1943	1719	1309	1182
ROSA26_g9	ROSA26	805	788	601	561
ROSA26_g10	ROSA26	2581	2561	1974	1873
CCR5_g1	CCR5	1340	1229	1068	964
CCR5_g2	CCR5	2443	2271	1773	1634
CCR5_g3	CCR5	1463	1293	1045	842
CCR5_g4	CCR5	1127	1002	784	713
CCR5_g5	CCR5	1749	1589	1207	1053
CCR5_g6	CCR5	1691	1452	1094	1031
CCR5_g7	CCR5	3277	3110	2486	2162
CCR5_g8	CCR5	2024	1970	1529	1336
CCR5_g9	CCR5	1324	1201	1022	794
CCR5_g10	CCR5	1849	1678	1307	1324
AAVS1_g1	AAVS1	2741	2488	1881	1678
AAVS1_g2	AAVS1	2425	2284	1758	1555
AAVS1_g3	AAVS1	1560	1486	1188	1047
AAVS1_g4	AAVS1	1053	1048	713	685
AAVS1_g5	AAVS1	1874	1706	1339	1235
AAVS1_g6	AAVS1	908	829	613	528
AAVS1_g7	AAVS1	1487	1254	970	891
AAVS1_g8	AAVS1	2837	2520	1871	1683
AAVS1_g9	AAVS1	882	787	525	531
AAVS1_g10	AAVS1	1163	1105	824	741
EGFP_g1	EGFP	2613	2535	1957	1672
EGFP_g2	EGFP	3390	3150	2444	2165
EGFP_g3	EGFP	1716	1629	1042	1270
EGFP_g4	EGFP	1806	1724	1279	1067
EGFP_g5	EGFP	3030	2914	2274	1887
EGFP_g6	EGFP	3462	3306	2710	2200
mKate2_g1	mKate2	92	104	4814	3854
mKate2_g2	mKate2	105	169	6060	5003
mKate2_g3	mKate2	102	153	5465	4433
mKate2_g4	mKate2	959	909	3132	2543
mKate2_g5	mKate2	277	228	4528	3617
mKate2_g6	mKate2	270	300	8492	6640
