sgRNA	Gene	S65_MNSC509_F1	S66_MNSC509_F2	S67_MNSC509_F3	S68_MNSC509_F4
SOX9_g1	SOX9	1170	1072	863	744
SOX9_g2	SOX9	893	750	714	575
SOX9_g3	SOX9	742	675	542	438
SOX9_g4	SOX9	774	633	630	542
SOX9_g5	SOX9	1269	1170	949	808
SOX9_g6	SOX9	2945	2441	2556	2161
PROM1_g1	PROM1	2482	1996	2201	2075
PROM1_g2	PROM1	3895	3110	3597	3339
PROM1_g3	PROM1	2461	1972	2172	2077
PROM1_g4	PROM1	4031	3149	3615	3371
PROM1_g5	PROM1	2393	1672	1826	1817
PROM1_g6	PROM1	5690	4521	5001	4579
KRT20_g1	KRT20	1164	1592	2025	1786
KRT20_g2	KRT20	1495	2290	2834	2549
KRT20_g3	KRT20	1079	1773	2061	2029
KRT20_g4	KRT20	506	900	1024	1017
KRT20_g5	KRT20	1637	2785	3689	3318
KRT20_g6	KRT20	872	1246	1646	1608
LRIG1_g1	LRIG1	3231	2471	2615	2274
LRIG1_g2	LRIG1	1690	1262	1441	1231
LRIG1_g3	LRIG1	1886	1535	1749	1655
LRIG1_g4	LRIG1	3451	2546	3111	2861
LRIG1_g5	LRIG1	5038	3995	4389	4120
LRIG1_g6	LRIG1	1896	1382	1462	1355
CTRL0001_g1	CTRL	2250	1718	1900	1891
CTRL0002_g2	CTRL	2275	1587	1961	1809
CTRL0003_g3	CTRL	6913	5405	6062	5664
CTRL0004_g4	CTRL	1190	989	1070	1080
CTRL0005_g5	CTRL	2489	1922	2322	2074
CTRL0006_g6	CTRL	4438	3576	4084	3725
CTRL0007_g7	CTRL	2832	2213	2669	2348
CTRL0008_g8	CTRL	2406	2011	2390	2073
CTRL0009_g9	CTRL	2419	1949	2328	2234
CTRL0010_g10	CTRL	4013	3193	3771	3435
ROSA26_g1	ROSA26	7143	5815	6697	6200
ROSA26_g2	ROSA26	2955	2407	2756	2589
ROSA26_g3	ROSA26	3863	2992	3318	3114
ROSA26_g4	ROSA26	2902	2102	2560	2351
ROSA26_g5	ROSA26	2538	1983	2195	2081
ROSA26_g6	ROSA26	3590	2739	2845	2651
ROSA26_g7	ROSA26	2824	2057	2010	1863
ROSA26_g8	ROSA26	2298	1809	1939	1833
ROSA26_g9	ROSA26	991	769	895	806
ROSA26_g10	ROSA26	2627	1941	2234	2257
CCR5_g1	CCR5	1902	1403	1501	1248
CCR5_g2	CCR5	2752	2191	2316	2067
CCR5_g3	CCR5	1742	1355	1600	1493
CCR5_g4	CCR5	1243	1023	943	938
CCR5_g5	CCR5	1940	1557	1681	1560
CCR5_g6	CCR5	2027	1671	1474	1336
CCR5_g7	CCR5	4102	3227	3341	3191
CCR5_g8	CCR5	2454	1920	2028	1948
CCR5_g9	CCR5	1515	1095	1279	1213
CCR5_g10	CCR5	2204	2010	1908	1815
AAVS1_g1	AAVS1	2805	2117	2360	2104
AAVS1_g2	AAVS1	2343	1925	2086	2073
AAVS1_g3	AAVS1	1974	1584	1532	1403
AAVS1_g4	AAVS1	1166	933	1021	944
AAVS1_g5	AAVS1	2138	1527	1774	1492
AAVS1_g6	AAVS1	995	780	889	813
AAVS1_g7	AAVS1	1580	1259	1195	1035
AAVS1_g8	AAVS1	2948	2392	2385	2181
AAVS1_g9	AAVS1	978	717	841	694
AAVS1_g10	AAVS1	1367	1060	1151	1020
EGFP_g1	EGFP	1141	2204	3138	2446
EGFP_g2	EGFP	1800	2812	3603	3491
EGFP_g3	EGFP	799	1706	2212	1873
EGFP_g4	EGFP	719	1404	1718	1755
EGFP_g5	EGFP	1146	2365	2986	2672
EGFP_g6	EGFP	2156	2927	3560	3296
mKate2_g1	mKate2	1299	1082	1498	1558
mKate2_g2	mKate2	1658	1224	2021	2055
mKate2_g3	mKate2	1405	1188	1853	1878
mKate2_g4	mKate2	1647	1271	1698	1770
mKate2_g5	mKate2	1238	875	1419	1539
mKate2_g6	mKate2	2241	1713	2814	2902
