Gene	sgRNA	S62_MNSC508_F6|beta	S62_MNSC508_F6|z	S62_MNSC508_F6|p-value	S62_MNSC508_F6|fdr	S62_MNSC508_F6|wald-p-value	S62_MNSC508_F6|wald-fdr	S63_MNSC508_F7|beta	S63_MNSC508_F7|z	S63_MNSC508_F7|p-value	S63_MNSC508_F7|fdr	S63_MNSC508_F7|wald-p-value	S63_MNSC508_F7|wald-fdr	S64_MNSC508_F8|beta	S64_MNSC508_F8|z	S64_MNSC508_F8|p-value	S64_MNSC508_F8|fdr	S64_MNSC508_F8|wald-p-value	S64_MNSC508_F8|wald-fdr
Vector	1	-0.0085828	-0.02025	0.81818	0.9	0.98384	0.99046	0.32946	0.77733	0.18182	0.33333	0.43696	0.68666	0.3029	0.71466	0.18182	0.25	0.47482	0.8705
SOX9	6	-0.32991	-0.50968	0	0	0.61028	0.83913	1.104	1.7068	0	0	0.087862	0.22071	0.91186	1.4096	0.090909	0.25	0.15865	0.48295
PROM1	6	0.01565	0.849	0.090909	0.2	0.39588	0.80327	-0.02863	-1.5531	0.36364	0.44444	0.12039	0.22071	-0.0015698	-0.08516	0.63636	0.63636	0.93213	0.99012
KRT20	6	-0.029755	-1.314	0.54545	0.75	0.18885	0.80327	0.054402	2.4023	0.72727	0.72727	0.016293	0.059862	-0.00028032	-0.012378	0.63636	0.63636	0.99012	0.99012
LRIG1	6	-0.07876	-1.9188	0.18182	0.33333	0.05501	0.60511	-0.098581	-2.4015	0	0	0.016326	0.059862	-0.084014	-2.0466	0	0	0.040695	0.42533
CTRL	10	0.01097	0.7149	0.090909	0.2	0.47467	0.80327	-0.0023368	-0.15228	0.27273	0.375	0.87897	0.96687	-0.020785	-1.3544	0.18182	0.25	0.17562	0.48295
ROSA26	10	0.0020567	0.10959	0.27273	0.42857	0.91274	0.99046	-0.029843	-1.59	0.18182	0.33333	0.11185	0.22071	-0.016368	-0.87199	0.18182	0.25	0.38321	0.84307
CCR5	10	-0.019226	-1.057	0.90909	0.90909	0.29052	0.80327	-5.4856e-05	-0.0030156	0.27273	0.375	0.99759	0.99759	-0.0025454	-0.13993	0.18182	0.25	0.88872	0.99012
AAVS1	10	-0.012275	-0.65701	0.81818	0.9	0.51117	0.80327	-0.056998	-3.0504	0	0	0.0022852	0.025137	-0.033008	-1.7664	0.090909	0.25	0.077332	0.42533
EGFP	6	0.025088	0.70837	0	0	0.47872	0.80327	-0.0071333	-0.20141	0.45455	0.5	0.84038	0.96687	-0.0014515	-0.040981	0.63636	0.63636	0.96731	0.99012
mKate2	6	0.13124	0.011952	0	0	0.99046	0.99046	3.4837	0.31818	0	0	0.75035	0.96687	3.383	0.30897	0	0	0.75735	0.99012
