sgRNA	Gene	S01_MNSC501_F1	S02_MNSC501_F2	S03_MNSC501_F3	S04_MNSC501_F4
SOX9_g1	SOX9	2646	1084	3930	3832
SOX9_g2	SOX9	1889	771	4032	3767
SOX9_g3	SOX9	997	434	1019	1216
SOX9_g4	SOX9	1060	496	1995	2070
SOX9_g5	SOX9	1644	1004	4442	4642
SOX9_g6	SOX9	3106	1401	2905	3606
PROM1_g1	PROM1	4405	1097	1929	1745
PROM1_g2	PROM1	7449	1645	3748	3218
PROM1_g3	PROM1	3716	1164	1552	1426
PROM1_g4	PROM1	6784	1992	2982	2566
PROM1_g5	PROM1	3146	1022	1378	1272
PROM1_g6	PROM1	9334	2733	4091	3543
KRT20_g1	KRT20	2809	932	1347	1267
KRT20_g2	KRT20	4588	1330	2273	2070
KRT20_g3	KRT20	3733	929	1702	1706
KRT20_g4	KRT20	1995	481	859	888
KRT20_g5	KRT20	6778	1674	3375	3015
KRT20_g6	KRT20	2501	837	1247	1283
LRIG1_g1	LRIG1	5004	1184	2354	2072
LRIG1_g2	LRIG1	3132	766	1120	997
LRIG1_g3	LRIG1	3291	861	1671	1527
LRIG1_g4	LRIG1	6598	1462	2815	2421
LRIG1_g5	LRIG1	8851	2368	3942	3388
LRIG1_g6	LRIG1	2694	813	1036	967
CTRL0001_g1	CTRL	4449	985	2171	1834
CTRL0002_g2	CTRL	4051	971	2230	1853
CTRL0003_g3	CTRL	14709	3042	6562	5782
CTRL0004_g4	CTRL	2430	506	1198	1022
CTRL0005_g5	CTRL	5032	1072	2380	1985
CTRL0006_g6	CTRL	7432	2181	3526	2980
CTRL0007_g7	CTRL	5378	1279	2650	2263
CTRL0008_g8	CTRL	5086	1148	2455	2249
CTRL0009_g9	CTRL	4976	1037	2363	2165
CTRL0010_g10	CTRL	8075	1756	4161	3358
ROSA26_g1	ROSA26	13890	3597	5652	5356
ROSA26_g2	ROSA26	6557	1519	2743	2712
ROSA26_g3	ROSA26	5647	1770	2370	2073
ROSA26_g4	ROSA26	4828	1205	2142	1828
ROSA26_g5	ROSA26	3706	1076	1716	1546
ROSA26_g6	ROSA26	6489	1531	2841	2594
ROSA26_g7	ROSA26	5232	1366	2235	2165
ROSA26_g8	ROSA26	3972	1001	1882	1786
ROSA26_g9	ROSA26	1570	414	711	634
ROSA26_g10	ROSA26	4500	1007	1879	1745
CCR5_g1	CCR5	3015	718	1292	1198
CCR5_g2	CCR5	5493	1433	2636	2335
CCR5_g3	CCR5	2803	720	1461	1297
CCR5_g4	CCR5	1941	525	897	715
CCR5_g5	CCR5	3967	817	1833	1659
CCR5_g6	CCR5	3256	997	1221	1188
CCR5_g7	CCR5	6752	1555	3217	2866
CCR5_g8	CCR5	4040	928	1854	1725
CCR5_g9	CCR5	2743	670	1178	1007
CCR5_g10	CCR5	3796	942	1876	1545
AAVS1_g1	AAVS1	4717	1467	1937	1982
AAVS1_g2	AAVS1	5103	1206	2240	2139
AAVS1_g3	AAVS1	3102	1008	1337	1220
AAVS1_g4	AAVS1	1899	567	924	859
AAVS1_g5	AAVS1	3810	986	1675	1618
AAVS1_g6	AAVS1	1398	423	653	596
AAVS1_g7	AAVS1	2973	718	1257	1204
AAVS1_g8	AAVS1	5252	1837	2381	2286
AAVS1_g9	AAVS1	1556	498	654	584
AAVS1_g10	AAVS1	2593	610	1098	1023
EGFP_g1	EGFP	962	1447	10055	8109
EGFP_g2	EGFP	1490	1970	15240	11996
EGFP_g3	EGFP	982	1127	8371	6789
EGFP_g4	EGFP	857	929	6018	5393
EGFP_g5	EGFP	1212	1762	13047	10220
EGFP_g6	EGFP	3199	1942	10581	10315
mKate2_g1	mKate2	3311	629	1747	1484
mKate2_g2	mKate2	4273	692	2293	1992
mKate2_g3	mKate2	4155	662	1979	1654
mKate2_g4	mKate2	3129	695	1532	1344
mKate2_g5	mKate2	2409	514	1072	1122
mKate2_g6	mKate2	6521	952	3126	2715
