Gene	sgRNA	S34_MNSC505_F2|beta	S34_MNSC505_F2|z	S34_MNSC505_F2|p-value	S34_MNSC505_F2|fdr	S34_MNSC505_F2|wald-p-value	S34_MNSC505_F2|wald-fdr	S35_MNSC505_F3|beta	S35_MNSC505_F3|z	S35_MNSC505_F3|p-value	S35_MNSC505_F3|fdr	S35_MNSC505_F3|wald-p-value	S35_MNSC505_F3|wald-fdr	S36_MNSC505_F4|beta	S36_MNSC505_F4|z	S36_MNSC505_F4|p-value	S36_MNSC505_F4|fdr	S36_MNSC505_F4|wald-p-value	S36_MNSC505_F4|wald-fdr
Vector	1	-0.18026	-1.2654	0.18182	0.4	0.20572	0.45258	-0.036219	-0.25426	0.63636	0.7	0.79929	0.87922	0.05222	0.36658	0.54545	0.81818	0.71393	0.87258
SOX9	6	0.58152	2.4366	0	0	0.014826	0.054361	-0.39921	-1.6717	0	0	0.094588	0.23124	-0.47259	-1.9783	0	0	0.047897	0.17562
PROM1	6	-0.015132	-0.90258	0.72727	0.8	0.36675	0.57632	0.023957	1.4289	0.090909	0.25	0.15303	0.28055	0.0082116	0.48976	0.81818	0.81818	0.6243	0.85842
KRT20	6	-1.1838	-6.5931	0	0	4.3066e-11	4.7373e-10	-0.047339	-0.26373	0.72727	0.72727	0.79199	0.87922	0.21755	1.212	0	0	0.22552	0.41482
LRIG1	6	0.014722	0.47347	0.63636	0.8	0.63588	0.69947	-0.050395	-1.6206	0.63636	0.7	0.10511	0.23124	-0.0036945	-0.1188	0.72727	0.81818	0.90544	0.90544
CTRL	10	-0.0051476	-0.22068	0.90909	0.90909	0.82534	0.82534	0.0076241	0.32682	0.090909	0.25	0.7438	0.87922	-0.0060118	-0.25768	0.81818	0.81818	0.79665	0.87632
ROSA26	10	0.037214	1.1131	0.54545	0.8	0.26567	0.48707	-0.0037371	-0.11176	0.27273	0.6	0.91102	0.91102	-0.02328	-0.69604	0.72727	0.81818	0.4864	0.76435
CCR5	10	0.017779	0.49636	0.72727	0.8	0.61964	0.69947	-0.074513	-2.0801	0.45455	0.7	0.03752	0.13758	-0.085398	-2.3837	0	0	0.017138	0.17562
AAVS1	10	0.013535	0.48478	0.72727	0.8	0.62783	0.69947	-0.081915	-2.9332	0.45455	0.7	0.0033551	0.036906	-0.033797	-1.21	0.36364	0.66667	0.22627	0.41482
EGFP	6	0.16381	1.8136	0.090909	0.25	0.069746	0.1918	0.20295	2.2469	0	0	0.024648	0.13556	0.19076	2.1119	0	0	0.034694	0.17562
mKate2	6	-1.1887	-6.3689	0	0	1.9043e-10	1.0474e-09	-0.058193	-0.31181	0.54545	0.7	0.75518	0.87922	0.22595	1.2107	0	0	0.22602	0.41482
