Gene	sgRNA	S46_MNSC506_F6|beta	S46_MNSC506_F6|z	S46_MNSC506_F6|p-value	S46_MNSC506_F6|fdr	S46_MNSC506_F6|wald-p-value	S46_MNSC506_F6|wald-fdr	S47_MNSC506_F7|beta	S47_MNSC506_F7|z	S47_MNSC506_F7|p-value	S47_MNSC506_F7|fdr	S47_MNSC506_F7|wald-p-value	S47_MNSC506_F7|wald-fdr	S48_MNSC506_F8|beta	S48_MNSC506_F8|z	S48_MNSC506_F8|p-value	S48_MNSC506_F8|fdr	S48_MNSC506_F8|wald-p-value	S48_MNSC506_F8|wald-fdr
Vector	1	0.74703	0.77105	0.36364	0.66667	0.44068	0.52037	-0.38579	-0.39819	0	0	0.69049	0.79847	-0.41161	-0.42484	0	0	0.67095	0.67095
SOX9	6	-0.54963	-4.3965	0	0	1.0999e-05	6.0492e-05	-0.21189	-1.6969	0	0	0.089721	0.44958	-0.22324	-1.7876	0	0	0.073847	0.27077
PROM1	6	-0.021544	-0.71751	0.72727	0.88889	0.47306	0.52037	-0.061173	-2.0376	0	0	0.041587	0.44958	-0.039872	-1.3281	0.090909	0.14286	0.18416	0.40514
KRT20	6	0.92485	1.0639	0	0	0.28737	0.49204	1.1465	1.32	0	0	0.18684	0.51381	1.2323	1.4187	0	0	0.15599	0.40514
LRIG1	6	0.053306	2.4809	0.72727	0.88889	0.013104	0.036035	0.014299	0.66568	0.72727	0.72727	0.50561	0.69522	-0.011187	-0.52079	0.18182	0.2	0.60251	0.67095
CTRL	10	0.040487	1.6584	1	1	0.09723	0.21391	-0.019901	-0.81554	0.18182	0.25	0.41476	0.65177	-0.011249	-0.46097	0.18182	0.2	0.64482	0.67095
ROSA26	10	0.020341	0.9539	0.90909	1	0.34013	0.49204	0.0074714	0.35061	0.27273	0.33333	0.72588	0.79847	0.013158	0.61737	0.18182	0.2	0.53699	0.67095
CCR5	10	-0.095825	-2.8653	0.36364	0.66667	0.0041655	0.015273	-0.03606	-1.0786	0.18182	0.25	0.28074	0.53044	-0.061146	-1.8289	0.090909	0.14286	0.067414	0.27077
AAVS1	10	-0.017544	-0.61681	0.63636	0.88889	0.53736	0.53736	-0.043873	-1.5439	0.090909	0.16667	0.12261	0.44958	-0.066943	-2.3552	0.090909	0.14286	0.018511	0.20363
EGFP	6	1.3036	0.91947	0	0	0.35785	0.49204	1.5019	1.0596	0	0	0.28933	0.53044	1.5737	1.1102	0	0	0.2669	0.48931
mKate2	6	-0.75004	-5.6364	0	0	1.7367e-08	1.9104e-07	0.020037	0.15062	0.72727	0.72727	0.88028	0.88028	0.06339	0.47649	0.72727	0.72727	0.63373	0.67095
