Gene	sgRNA	S25_MNSC504_F1|beta	S25_MNSC504_F1|z	S25_MNSC504_F1|p-value	S25_MNSC504_F1|fdr	S25_MNSC504_F1|wald-p-value	S25_MNSC504_F1|wald-fdr	S27_MNSC504_F3|beta	S27_MNSC504_F3|z	S27_MNSC504_F3|p-value	S27_MNSC504_F3|fdr	S27_MNSC504_F3|wald-p-value	S27_MNSC504_F3|wald-fdr	S28_MNSC504_F4|beta	S28_MNSC504_F4|z	S28_MNSC504_F4|p-value	S28_MNSC504_F4|fdr	S28_MNSC504_F4|wald-p-value	S28_MNSC504_F4|wald-fdr
Vector	1	0.10663	0.3825	0.45455	1	0.70209	0.7723	0.16225	0.58199	0.54545	0.6	0.56057	0.61663	0.244	0.87525	0.45455	0.55556	0.38144	0.41958
SOX9	6	0.69886	2.0138	0	0	0.044027	0.16143	0.31082	0.8956	0.36364	0.57143	0.37047	0.46542	0.64086	1.8467	0.090909	0.14286	0.064792	0.32778
PROM1	6	-0.027922	-1.4329	0.72727	1	0.15187	0.41765	-0.0053779	-0.27599	0.27273	0.5	0.78256	0.78256	-0.031592	-1.6213	0	0	0.10496	0.32778
KRT20	6	-0.5788	-4.6443	0	0	3.4124e-06	1.8768e-05	0.11412	0.91618	0.63636	0.63636	0.35957	0.46542	0.19408	1.5582	0.54545	0.6	0.11919	0.32778
LRIG1	6	-0.018154	-0.71066	0.81818	1	0.4773	0.60111	-0.029634	-1.1601	0.090909	0.2	0.24602	0.46542	-0.058563	-2.2924	0	0	0.02188	0.24068
CTRL	10	-0.0021306	-0.15863	0.81818	1	0.87396	0.87396	0.015901	1.1839	0.54545	0.6	0.23646	0.46542	0.002179	0.16223	0.27273	0.375	0.87112	0.87112
ROSA26	10	0.014045	0.68742	0.90909	1	0.49182	0.60111	-0.037473	-1.8341	0	0	0.066646	0.46542	-0.022711	-1.1115	0.090909	0.14286	0.26633	0.38723
CCR5	10	0.018804	0.80825	1	1	0.41895	0.60111	-0.023217	-0.99792	0	0	0.31832	0.46542	-0.033243	-1.4288	0.090909	0.14286	0.15305	0.33672
AAVS1	10	0.024841	0.99928	1	1	0.31766	0.60111	-0.028787	-1.158	0	0	0.24688	0.46542	-0.032448	-1.3052	0.090909	0.14286	0.19182	0.35168
EGFP	6	-0.72661	-4.8613	0	0	1.1663e-06	1.2829e-05	0.15879	1.0626	0.54545	0.6	0.28797	0.46542	0.14438	0.96618	0.72727	0.72727	0.33395	0.40816
mKate2	6	1.3979	0.82214	0	0	0.411	0.60111	1.4902	0.87642	0	0	0.3808	0.46542	1.8307	1.0767	0	0	0.28163	0.38723
