Gene	sgRNA	S41_MNSC506_F1|beta	S41_MNSC506_F1|z	S41_MNSC506_F1|p-value	S41_MNSC506_F1|fdr	S41_MNSC506_F1|wald-p-value	S41_MNSC506_F1|wald-fdr	S43_MNSC506_F3|beta	S43_MNSC506_F3|z	S43_MNSC506_F3|p-value	S43_MNSC506_F3|fdr	S43_MNSC506_F3|wald-p-value	S43_MNSC506_F3|wald-fdr	S44_MNSC506_F4|beta	S44_MNSC506_F4|z	S44_MNSC506_F4|p-value	S44_MNSC506_F4|fdr	S44_MNSC506_F4|wald-p-value	S44_MNSC506_F4|wald-fdr
Vector	1	0.55166	0.91711	0	0	0.35908	0.46295	0.09326	0.15504	0.27273	0.6	0.87679	0.87679	0.082968	0.13793	0.18182	0.4	0.89029	0.89029
SOX9	6	0.15241	2.3662	0	0	0.017973	0.049424	-0.020844	-0.32365	0.81818	0.81818	0.74621	0.82083	-0.02251	-0.34943	0.72727	0.72727	0.72676	0.79944
PROM1	6	0.051938	1.4678	0.36364	0.5	0.14215	0.22337	0.028311	0.80019	0.54545	0.66667	0.4236	0.58245	0.031215	0.88218	0.54545	0.66667	0.37768	0.46161
KRT20	6	-1.038	-5.6056	0	0	2.0751e-08	1.1413e-07	0.20433	1.1063	0	0	0.26859	0.42206	0.26556	1.4377	0	0	0.15053	0.23654
LRIG1	6	-0.032795	-0.88015	0.90909	0.90909	0.37878	0.46295	-0.056444	-1.5152	0.36364	0.66667	0.12973	0.28541	-0.055914	-1.5006	0.36364	0.625	0.13345	0.23654
CTRL	10	-0.18805	-3.6212	0.72727	0.8	0.00029328	0.0010753	-0.13861	-2.6698	0.18182	0.5	0.0075893	0.083482	-0.14035	-2.7028	0.18182	0.4	0.0068751	0.075626
ROSA26	10	0.0042178	0.16736	0.36364	0.5	0.86708	0.86708	0.017337	0.68816	0.72727	0.8	0.49135	0.60054	0.022258	0.88327	0.63636	0.7	0.37709	0.46161
CCR5	10	-0.007377	-0.24171	0.45455	0.55556	0.809	0.86708	-0.049864	-1.6341	0.54545	0.66667	0.10224	0.28116	-0.065277	-2.1388	0.45455	0.625	0.032452	0.17848
AAVS1	10	0.051071	1.5156	0.18182	0.33333	0.12962	0.22337	0.046823	1.3903	0.45455	0.66667	0.16443	0.30146	0.049084	1.4567	0.45455	0.625	0.14519	0.23654
EGFP	6	-2.0861	-8.324	0	0	8.5042e-17	9.3546e-16	-0.46319	-1.8508	0	0	0.064196	0.23538	-0.44347	-1.7719	0	0	0.076406	0.21012
mKate2	6	0.43598	1.6993	0	0	0.089263	0.19638	0.47694	1.859	0	0	0.063022	0.23538	0.49929	1.9461	0	0	0.051644	0.18936
