id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SOX9	6	0.9999	0.99994	0.999935	10	0	0.15747	0.00010472	0.0005149	0.005149	1	6	0.15747
EGFP	6	0.99722	0.99709	0.999935	9	0	0.096595	0.0027809	0.013652	0.066837	2	6	0.096595
mKate2	6	0.99582	0.99563	0.999935	8	0	0.073217	0.0041775	0.020051	0.066837	3	6	0.073217
LRIG1	6	0.03883	0.11666	0.388872	3	3	-0.012805	0.11273	0.27723	0.693074	4	2	-0.012805
CTRL	10	0.77047	0.89409	0.999935	7	2	0.018568	0.33415	0.63019	0.993676	5	5	0.018568
CCR5	10	0.013092	0.059433	0.328659	1	6	-0.07904	0.45457	0.73956	0.993676	6	4	-0.07904
KRT20	6	0.018203	0.065732	0.328659	2	4	-0.096437	0.90318	0.92444	0.993676	7	1	-0.096437
PROM1	6	0.24841	0.4429	0.871484	5	3	-0.019494	0.9831	0.98323	0.993676	8	0	-0.019494
ROSA26	10	0.074632	0.23226	0.580646	4	5	-0.036306	0.98322	0.98988	0.993676	9	1	-0.036306
AAVS1	10	0.25881	0.52289	0.871484	6	3	-0.006089	0.99265	0.99368	0.993676	10	1	-0.006089
