id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ROSA26	10	0.46053	0.60059	0.92391	2	2	0.037881	0.04085	0.14358	0.836408	1	4	0.037881
LRIG1	6	0.59021	0.59773	0.92391	5	1	0.066154	0.073347	0.19006	0.836408	2	3	0.066154
mKate2	6	0.792	0.79028	0.92391	7	0	0.051089	0.11273	0.26028	0.836408	3	3	0.051089
EGFP	6	0.50916	0.53583	0.92391	4	1	0.10384	0.20185	0.38078	0.836408	4	3	0.10384
KRT20	6	0.81245	0.8112	0.92391	8	0	0.12719	0.24639	0.43785	0.836408	5	3	0.12719
PROM1	6	0.92366	0.92391	0.92391	10	0	0.055757	0.29814	0.50184	0.836408	6	3	0.055757
CTRL	10	0.85853	0.8583	0.92391	9	0	0.023935	0.41148	0.67132	0.878908	7	2	0.023935
AAVS1	10	0.73692	0.7617	0.92391	6	1	0.024577	0.5282	0.74941	0.878908	8	2	0.024577
CCR5	10	0.5078	0.64351	0.92391	3	2	0.026914	0.59101	0.79102	0.878908	9	2	0.026914
SOX9	6	1.4365e-07	4.999e-06	5e-05	1	6	-0.38835	1.0	1.0	0.999995	10	0	-0.38835
