id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	1.0	1.0	0.999995	10	0	5.2823	4.1512e-06	4.999e-06	5e-05	1	5	5.2823
SOX9	6	0.99999	1.0	0.999995	9	0	1.0622	0.41517	0.41486	0.971171	2	0	1.0622
EGFP	6	0.041174	0.13937	0.395758	3	5	-0.36118	0.71922	0.71755	0.971171	3	0	-0.36118
PROM1	6	0.048437	0.1583	0.395758	4	4	-0.33373	0.81245	0.8112	0.971171	4	0	-0.33373
ROSA26	10	0.020184	0.097675	0.395758	2	6	-0.41055	0.83419	0.83493	0.971171	5	0	-0.41055
CCR5	10	0.57362	0.84354	0.999995	6	5	-0.3408	0.85853	0.8583	0.971171	6	0	-0.3408
LRIG1	6	0.010265	0.045146	0.395758	1	5	-0.48883	0.89134	0.89044	0.971171	7	0	-0.48883
AAVS1	10	0.59574	0.85737	0.999995	7	4	-0.38964	0.9135	0.9138	0.971171	8	0	-0.38964
KRT20	6	0.88433	0.9455	0.999995	8	2	-0.31713	0.93246	0.93258	0.971171	9	0	-0.31713
CTRL	10	0.1232	0.368	0.736003	5	7	-0.38583	0.97012	0.97117	0.971171	10	0	-0.38583
