id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	1.0	1.0	0.999995	10	0	2.8841	0.03883	0.038527	0.385273	1	1	2.8841
SOX9	6	0.99999	1.0	0.999995	9	0	0.76434	0.36283	0.36269	0.999995	2	0	0.76434
LRIG1	6	0.76974	0.88708	0.999995	8	1	0.079357	0.65978	0.65838	0.999995	3	0	0.079357
CTRL	10	0.53992	0.82145	0.999995	6	5	0.012756	0.85853	0.8583	0.999995	4	0	0.012756
CCR5	10	0.64141	0.8811	0.999995	7	3	0.046424	0.89781	0.8985	0.999995	5	0	0.046424
ROSA26	10	0.27002	0.58822	0.999995	4	6	-0.049474	0.92698	0.92732	0.999995	6	0	-0.049474
PROM1	6	0.3315	0.60119	0.999995	5	4	0.0026467	0.96942	0.96923	0.999995	7	0	0.0026467
AAVS1	10	0.055746	0.21587	0.719573	3	7	-0.034776	0.97959	0.98018	0.999995	8	0	-0.034776
EGFP	6	1.1191e-05	3.4993e-05	0.000175	2	6	-1.3898	0.99993	0.99997	0.999995	9	0	-1.3898
KRT20	6	6.9543e-06	2.4995e-05	0.000175	1	6	-1.0463	0.99999	1.0	0.999995	10	0	-1.0463
