id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	1.0	1.0	0.999995	10	0	3.8316	0.0055424	0.010723	0.107229	1	2	3.8316
SOX9	6	0.99999	1.0	0.999995	9	0	1.6024	0.36283	0.36269	0.986758	2	0	1.6024
PROM1	6	0.029137	0.10567	0.352246	3	4	-0.56434	0.65978	0.65838	0.986758	3	0	-0.56434
mKate2	6	0.30665	0.57192	0.999995	5	3	-0.43622	0.76974	0.76702	0.986758	4	0	-0.43622
CCR5	10	0.2161	0.52111	0.999995	4	6	-0.4424	0.85853	0.8583	0.986758	5	0	-0.4424
KRT20	6	0.59021	0.79607	0.999995	7	2	-0.35967	0.87831	0.8776	0.986758	6	0	-0.35967
AAVS1	10	0.70856	0.90726	0.999995	8	4	-0.34069	0.8796	0.88022	0.986758	7	0	-0.34069
CTRL	10	0.0097153	0.054634	0.27317	1	8	-0.55151	0.93855	0.93887	0.986758	8	0	-0.55151
LRIG1	6	0.010279	0.045226	0.27317	2	5	-0.81411	0.9771	0.9771	0.986758	9	0	-0.81411
ROSA26	10	0.32944	0.65699	0.999995	6	6	-0.48662	0.98626	0.98676	0.986758	10	0	-0.48662
