id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
KRT20	6	0.99999	1.0	0.999995	10	0	0.99317	0.03883	0.038527	0.385273	1	1	0.99317
mKate2	6	0.99999	1.0	0.999995	9	0	1.231	0.11273	0.11272	0.563612	2	0	1.231
ROSA26	10	0.74083	0.92016	0.999995	6	3	0.091224	0.83419	0.83493	0.999995	3	0	0.091224
CTRL	10	0.98197	0.99416	0.999995	8	2	0.089811	0.8796	0.88022	0.999995	4	0	0.089811
CCR5	10	0.0096377	0.054264	0.13566	4	9	0.0078273	0.89781	0.8985	0.999995	5	0	0.0078273
AAVS1	10	0.94844	0.98722	0.999995	7	1	0.11076	0.96404	0.96469	0.999995	6	0	0.11076
LRIG1	6	0.091948	0.2621	0.524205	5	5	0.013965	0.98029	0.98056	0.999995	7	0	0.013965
PROM1	6	0.0073348	0.033478	0.111594	3	6	0.0031563	0.99267	0.99242	0.999995	8	0	0.0031563
SOX9	6	1.2003e-05	3.4993e-05	0.000175	2	6	-1.2072	0.99999	1.0	0.999995	9	0	-1.2072
EGFP	6	3.9138e-07	4.999e-06	5e-05	1	6	-2.4664	1.0	1.0	0.999995	10	0	-2.4664
