sgRNA	Gene	S13_MNSC502_F5	S14_MNSC502_F6	S15_MNSC502_F7	S16_MNSC502_F8
SOX9_g1	SOX9	1626	2037	2461	2445
SOX9_g2	SOX9	1257	1639	2122	1831
SOX9_g3	SOX9	771	944	795	1014
SOX9_g4	SOX9	712	908	1245	1342
SOX9_g5	SOX9	1394	1991	2656	2982
SOX9_g6	SOX9	1831	2049	2286	3722
PROM1_g1	PROM1	1653	984	1425	1217
PROM1_g2	PROM1	2357	1455	2287	2035
PROM1_g3	PROM1	1685	945	1201	1038
PROM1_g4	PROM1	2595	1546	2124	1760
PROM1_g5	PROM1	1435	748	1001	835
PROM1_g6	PROM1	3701	2163	3018	2555
KRT20_g1	KRT20	1483	865	995	1053
KRT20_g2	KRT20	2077	1312	1529	1741
KRT20_g3	KRT20	1793	1035	1190	1381
KRT20_g4	KRT20	851	528	674	605
KRT20_g5	KRT20	2592	1507	2169	2100
KRT20_g6	KRT20	1319	777	1051	983
LRIG1_g1	LRIG1	2015	1113	1623	1505
LRIG1_g2	LRIG1	1361	605	811	729
LRIG1_g3	LRIG1	1234	717	1052	953
LRIG1_g4	LRIG1	2565	1188	1741	1636
LRIG1_g5	LRIG1	3480	1826	2516	2316
LRIG1_g6	LRIG1	1165	578	788	707
CTRL0001_g1	CTRL	1419	847	1343	1151
CTRL0002_g2	CTRL	1434	799	1273	1136
CTRL0003_g3	CTRL	4468	2779	4425	3788
CTRL0004_g4	CTRL	796	447	790	652
CTRL0005_g5	CTRL	1489	874	1509	1284
CTRL0006_g6	CTRL	3064	1604	2378	2154
CTRL0007_g7	CTRL	1562	1007	1655	1401
CTRL0008_g8	CTRL	1623	947	1489	1226
CTRL0009_g9	CTRL	1417	922	1578	1292
CTRL0010_g10	CTRL	2508	1388	2361	2092
ROSA26_g1	ROSA26	5156	3064	4222	3622
ROSA26_g2	ROSA26	2242	1410	1948	1758
ROSA26_g3	ROSA26	2348	1272	1757	1456
ROSA26_g4	ROSA26	1903	1005	1422	1289
ROSA26_g5	ROSA26	1456	841	1151	1035
ROSA26_g6	ROSA26	2537	1558	2089	1830
ROSA26_g7	ROSA26	2493	1303	1666	1438
ROSA26_g8	ROSA26	1367	793	1385	1113
ROSA26_g9	ROSA26	660	370	482	503
ROSA26_g10	ROSA26	1902	1141	1601	1575
CCR5_g1	CCR5	1119	713	916	813
CCR5_g2	CCR5	2036	1336	1854	1644
CCR5_g3	CCR5	955	655	1045	831
CCR5_g4	CCR5	932	479	751	551
CCR5_g5	CCR5	1275	763	1025	1070
CCR5_g6	CCR5	1649	945	1090	947
CCR5_g7	CCR5	2559	1619	2250	2004
CCR5_g8	CCR5	1552	981	1291	1190
CCR5_g9	CCR5	1045	547	859	742
CCR5_g10	CCR5	1374	834	1259	1021
AAVS1_g1	AAVS1	2213	1197	1559	1312
AAVS1_g2	AAVS1	1610	1103	1562	1420
AAVS1_g3	AAVS1	1334	893	1190	886
AAVS1_g4	AAVS1	791	487	685	573
AAVS1_g5	AAVS1	1513	883	1235	1065
AAVS1_g6	AAVS1	580	354	473	379
AAVS1_g7	AAVS1	1255	708	959	828
AAVS1_g8	AAVS1	2397	1374	1752	1418
AAVS1_g9	AAVS1	592	400	524	409
AAVS1_g10	AAVS1	824	550	778	693
EGFP_g1	EGFP	2086	1153	1821	1628
EGFP_g2	EGFP	2497	1492	2327	2036
EGFP_g3	EGFP	1170	788	1031	1165
EGFP_g4	EGFP	1376	808	1201	971
EGFP_g5	EGFP	2126	1327	2058	1802
EGFP_g6	EGFP	2593	1539	2433	2152
mKate2_g1	mKate2	908	2155	4398	3423
mKate2_g2	mKate2	1021	2319	4159	3539
mKate2_g3	mKate2	936	2090	4379	3634
mKate2_g4	mKate2	981	1277	2288	1870
mKate2_g5	mKate2	853	1639	2566	2463
mKate2_g6	mKate2	1471	2603	5030	4873
