sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SOX9_g3	SOX9	1165.7	667.98	1165.7	667.98	-0.80234	1.2384e+05	1.2606e+08	1.7091	0.043718	0.95628	0.087436	0.19494	False
SOX9_g6	SOX9	2530.1	1920.8	2530.1	1920.8	-0.39734	1.8565e+05	9.7644e+08	1.6849	0.046006	0.95399	0.092012	0.19494	False
SOX9_g1	SOX9	2515.3	2067.8	2515.3	2067.8	-0.2825	1.0012e+05	9.6141e+08	1.6457	0.049913	0.95009	0.099825	0.19494	False
ROSA26_g1	ROSA26	3783.4	3547.4	3783.4	3547.4	-0.09289	27845	2.8265e+09	1.6416	0.050335	0.94966	0.10067	0.19494	False
KRT20_g2	KRT20	1620.1	1284.7	1620.1	1284.7	-0.33437	56230	3.0076e+08	1.599	0.054912	0.94509	0.10982	0.19494	False
SOX9_g5	SOX9	2458.5	2231.6	2458.5	2231.6	-0.1396	25729	9.0511e+08	1.5937	0.055498	0.9445	0.111	0.19494	False
PROM1_g6	PROM1	2670.9	2535.8	2670.9	2535.8	-0.074838	9121.5	1.1266e+09	1.5838	0.056622	0.94338	0.11324	0.19494	False
SOX9_g2	SOX9	2023.8	1783	2023.8	1783	-0.18272	29010	5.4139e+08	1.5796	0.057096	0.9429	0.11419	0.19494	False
KRT20_g3	KRT20	1278	999.87	1278	999.87	-0.35378	38683	1.6075e+08	1.5707	0.058122	0.94188	0.11624	0.19494	False
LRIG1_g5	LRIG1	2254.7	2114	2254.7	2114	-0.092938	9902.9	7.2021e+08	1.5646	0.058834	0.94117	0.11767	0.19494	False
AAVS1_g8	AAVS1	1696.6	1472.1	1696.6	1472.1	-0.20468	25208	3.3977e+08	1.5609	0.05927	0.94073	0.11854	0.19494	False
CCR5_g6	CCR5	1166.9	915.85	1166.9	915.85	-0.34915	31510	1.2641e+08	1.5557	0.059896	0.9401	0.11979	0.19494	False
ROSA26_g6	ROSA26	1923.8	1755.2	1923.8	1755.2	-0.13224	14210	4.7355e+08	1.5545	0.060036	0.93996	0.12007	0.19494	False
ROSA26_g7	ROSA26	1608.9	1399.8	1608.9	1399.8	-0.20074	21867	2.9534e+08	1.5516	0.060378	0.93962	0.12076	0.19494	False
KRT20_g1	KRT20	1068.1	836.03	1068.1	836.03	-0.35305	26930	1.0007e+08	1.5439	0.061308	0.93869	0.12262	0.19494	False
CCR5_g7	CCR5	1999.1	1890.5	1999.1	1890.5	-0.080562	5900.2	5.2411e+08	1.5421	0.061519	0.93848	0.12304	0.19494	False
PROM1_g4	PROM1	1909	1784.6	1909	1784.6	-0.09713	7732.5	4.6398e+08	1.541	0.06166	0.93834	0.12332	0.19494	False
