sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
mKate2_g1	mKate2	175.44	6129.2	175.44	6129.2	5.1187	1.7724e+07	5.0838e+05	8.3503	1	5.7017e-17	1.1403e-16	8.6665e-15	True
mKate2_g2	mKate2	230.69	7958.2	230.69	7958.2	5.1024	2.9857e+07	1.0196e+06	7.6527	1	1.667e-14	3.3339e-14	1.2669e-12	True
mKate2_g3	mKate2	211.3	7049.4	211.3	7049.4	5.0535	2.338e+07	8.1571e+05	7.5712	1	3.1201e-14	6.2402e-14	1.5809e-12	True
mKate2_g6	mKate2	408.07	10351	408.07	10351	4.6614	4.9431e+07	4.3473e+06	4.7688	1	1.6047e-06	3.2093e-06	6.0977e-05	True
mKate2_g5	mKate2	291.75	5651.1	291.75	5651.1	4.271	1.4361e+07	1.8524e+06	3.9377	0.99993	7.0341e-05	0.00014068	0.0021384	True
ROSA26_g1	ROSA26	8633.4	6135.4	8633.4	6135.4	-0.4927	3.1199e+06	1.0194e+10	1.6921	0.045317	0.95468	0.090634	0.18142	False
CTRL0003_g3	CTRL	7619.5	5627.3	7619.5	5627.3	-0.43719	1.9844e+06	7.4197e+09	1.6585	0.048609	0.95139	0.097218	0.18142	False
PROM1_g6	PROM1	6128.8	4311.6	6128.8	4311.6	-0.50727	1.651e+06	4.2655e+09	1.6555	0.048911	0.95109	0.097821	0.18142	False
PROM1_g4	PROM1	4450.9	3069.3	4450.9	3069.3	-0.53607	9.5453e+05	1.8912e+09	1.6263	0.05194	0.94806	0.10388	0.18142	False
EGFP_g2	EGFP	4225.1	2941.2	4225.1	2941.2	-0.52243	8.242e+05	1.6567e+09	1.6153	0.05312	0.94688	0.10624	0.18142	False
ROSA26_g6	ROSA26	3839.3	2624.2	3839.3	2624.2	-0.54883	7.3832e+05	1.2987e+09	1.6126	0.053413	0.94659	0.10683	0.18142	False
ROSA26_g2	ROSA26	3616.4	2540.5	3616.4	2540.5	-0.50927	5.7877e+05	1.1155e+09	1.5917	0.055724	0.94428	0.11145	0.18142	False
CCR5_g7	CCR5	4091.3	2963.9	4091.3	2963.9	-0.46493	6.3554e+05	1.5266e+09	1.5917	0.05573	0.94427	0.11146	0.18142	False
LRIG1_g5	LRIG1	5029.6	3875.8	5029.6	3875.8	-0.37586	6.6561e+05	2.5805e+09	1.5865	0.056308	0.94369	0.11262	0.18142	False
CTRL0010_g10	CTRL	4078.7	3037.3	4078.7	3037.3	-0.42524	5.4236e+05	1.5146e+09	1.5776	0.057333	0.94267	0.11467	0.18142	False
AAVS1_g2	AAVS1	2746	1877.5	2746	1877.5	-0.54827	3.7713e+05	5.5387e+08	1.5713	0.058056	0.94194	0.11611	0.18142	False
CTRL0006_g6	CTRL	4536.2	3543.3	4536.2	3543.3	-0.35632	4.9299e+05	1.9847e+09	1.5669	0.058571	0.94143	0.11714	0.18142	False
KRT20_g5	KRT20	4184.4	3205.6	4184.4	3205.6	-0.38433	4.7904e+05	1.6164e+09	1.5665	0.058611	0.94139	0.11722	0.18142	False
PROM1_g2	PROM1	4073.9	3116.8	4073.9	3116.8	-0.38625	4.5805e+05	1.5101e+09	1.5639	0.058924	0.94108	0.11785	0.18142	False
PROM1_g5	PROM1	2486.2	1704	2486.2	1704	-0.54476	3.0593e+05	4.302e+08	1.5578	0.059639	0.94036	0.11928	0.18142	False
LRIG1_g4	LRIG1	3631.9	2736.7	3631.9	2736.7	-0.40815	4.0067e+05	1.1277e+09	1.5572	0.059717	0.94028	0.11943	0.18142	False
AAVS1_g8	AAVS1	3144.4	2286.5	3144.4	2286.5	-0.45948	3.6799e+05	7.8163e+08	1.5571	0.059721	0.94028	0.11944	0.18142	False
EGFP_g1	EGFP	3296.5	2426.9	3296.5	2426.9	-0.44167	3.7812e+05	8.8143e+08	1.5568	0.059761	0.94024	0.11952	0.18142	False
EGFP_g6	EGFP	4095.2	3191.1	4095.2	3191.1	-0.35978	4.087e+05	1.5302e+09	1.5553	0.05994	0.94006	0.11988	0.18142	False
AAVS1_g5	AAVS1	2251.6	1516	2251.6	1516	-0.57036	2.7056e+05	3.3438e+08	1.5545	0.060029	0.93997	0.12006	0.18142	False
ROSA26_g3	ROSA26	3966.3	3079.6	3966.3	3079.6	-0.36495	3.9313e+05	1.4107e+09	1.5531	0.060203	0.9398	0.12041	0.18142	False
AAVS1_g1	AAVS1	3012.5	2186.3	3012.5	2186.3	-0.46232	3.4134e+05	7.0098e+08	1.5528	0.060238	0.93976	0.12048	0.18142	False
CCR5_g2	CCR5	3006.7	2194.5	3006.7	2194.5	-0.45409	3.2981e+05	6.9755e+08	1.5497	0.060612	0.93939	0.12122	0.18142	False
EGFP_g5	EGFP	3485.5	2641.7	3485.5	2641.7	-0.39978	3.5602e+05	1.0157e+09	1.5491	0.060682	0.93932	0.12136	0.18142	False
CTRL0001_g1	CTRL	2384.4	1705	2384.4	1705	-0.48361	2.308e+05	3.8682e+08	1.5311	0.062872	0.93713	0.12574	0.18142	False
PROM1_g1	PROM1	2523	1841.4	2523	1841.4	-0.45419	2.3235e+05	4.4659e+08	1.5278	0.063286	0.93671	0.12657	0.18142	False
ROSA26_g4	ROSA26	2965	2254.4	2965	2254.4	-0.39513	2.5247e+05	6.7322e+08	1.5271	0.063366	0.93663	0.12673	0.18142	False
LRIG1_g3	LRIG1	1872.7	1280.6	1872.7	1280.6	-0.54793	1.7528e+05	2.0928e+08	1.5238	0.063782	0.93622	0.12756	0.18142	False
CCR5_g8	CCR5	2525	1857.9	2525	1857.9	-0.44241	2.2252e+05	4.4746e+08	1.5237	0.063795	0.93621	0.12759	0.18142	False
PROM1_g3	PROM1	2726.6	2047.9	2726.6	2047.9	-0.41278	2.3031e+05	5.4398e+08	1.5228	0.063902	0.9361	0.1278	0.18142	False
ROSA26_g8	ROSA26	2286.5	1648.2	2286.5	1648.2	-0.472	2.0372e+05	3.4771e+08	1.5217	0.064037	0.93596	0.12807	0.18142	False
EGFP_g4	EGFP	2116.9	1503.7	2116.9	1503.7	-0.49322	1.8805e+05	2.8583e+08	1.5196	0.064302	0.9357	0.1286	0.18142	False
LRIG1_g1	LRIG1	2943.7	2276.1	2943.7	2276.1	-0.37091	2.2283e+05	6.6098e+08	1.5176	0.064557	0.93544	0.12911	0.18142	False
ROSA26_g10	ROSA26	3334.3	2666.5	3334.3	2666.5	-0.32234	2.23e+05	9.0736e+08	1.5161	0.064745	0.93525	0.12949	0.18142	False
CCR5_g5	CCR5	2108.2	1525.3	2108.2	1525.3	-0.46662	1.6986e+05	2.8284e+08	1.5096	0.065569	0.93443	0.13114	0.18142	False
CTRL0002_g2	CTRL	2365.1	1773.2	2365.1	1773.2	-0.41532	1.7515e+05	3.7888e+08	1.5058	0.066062	0.93394	0.13212	0.18142	False
ROSA26_g5	ROSA26	2531.8	1932.2	2531.8	1932.2	-0.3897	1.7972e+05	4.5052e+08	1.5052	0.066133	0.93387	0.13227	0.18142	False
AAVS1_g3	AAVS1	1975.4	1422.1	1975.4	1422.1	-0.47387	1.5309e+05	2.3972e+08	1.504	0.066285	0.93371	0.13257	0.18142	False
CCR5_g1	CCR5	1776.7	1252.7	1776.7	1252.7	-0.50382	1.3729e+05	1.8308e+08	1.5015	0.066618	0.93338	0.13324	0.18142	False
LRIG1_g6	LRIG1	1884.3	1357	1884.3	1357	-0.4733	1.3901e+05	2.126e+08	1.4979	0.06708	0.93292	0.13416	0.18142	False
