id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	0.99999	1.0	0.999995	9	0	1.0155	0.03883	0.038527	0.385273	1	1	1.0155
KRT20	6	0.99999	1.0	0.999995	10	0	0.84202	0.18183	0.18276	0.913792	2	0	0.84202
LRIG1	6	0.53978	0.75963	0.999995	6	3	0.06019	0.792	0.79028	0.999995	3	0	0.06019
CTRL	10	0.84445	0.95957	0.999995	7	3	0.12516	0.83419	0.83493	0.999995	4	0	0.12516
ROSA26	10	0.1232	0.368	0.920003	4	7	0.018763	0.85853	0.8583	0.999995	5	0	0.018763
PROM1	6	0.84834	0.92574	0.999995	8	1	0.099298	0.87831	0.8776	0.999995	6	0	0.099298
AAVS1	10	0.27504	0.59449	0.999995	5	6	-0.015354	0.8796	0.88022	0.999995	7	0	-0.015354
CCR5	10	0.065881	0.24115	0.803823	3	6	-0.0062395	0.9135	0.9138	0.999995	8	0	-0.0062395
SOX9	6	3.1414e-05	9.4981e-05	0.000475	2	6	-1.1966	0.99997	1.0	0.999995	9	0	-1.1966
EGFP	6	3.9138e-07	4.999e-06	5e-05	1	6	-2.3138	1.0	1.0	0.999995	10	0	-2.3138
