sgRNA	Gene	S45_MNSC506_F5	S46_MNSC506_F6	S47_MNSC506_F7	S48_MNSC506_F8
SOX9_g1	SOX9	1469	740	1831	1576
SOX9_g2	SOX9	1232	595	1404	1165
SOX9_g3	SOX9	546	272	673	555
SOX9_g4	SOX9	796	339	998	829
SOX9_g5	SOX9	1681	742	2090	1810
SOX9_g6	SOX9	1865	1028	2513	2006
PROM1_g1	PROM1	878	618	1323	1020
PROM1_g2	PROM1	1337	1091	1878	1594
PROM1_g3	PROM1	858	739	1184	1062
PROM1_g4	PROM1	1381	1219	2049	1842
PROM1_g5	PROM1	822	688	1226	1058
PROM1_g6	PROM1	2017	1666	2835	2570
KRT20_g1	KRT20	278	576	1321	1222
KRT20_g2	KRT20	353	704	1753	1614
KRT20_g3	KRT20	270	592	1314	1224
KRT20_g4	KRT20	134	300	695	659
KRT20_g5	KRT20	519	1157	2553	2152
KRT20_g6	KRT20	244	491	1093	1051
LRIG1_g1	LRIG1	827	768	1255	1134
LRIG1_g2	LRIG1	554	497	925	728
LRIG1_g3	LRIG1	620	544	975	755
LRIG1_g4	LRIG1	1061	960	1664	1395
LRIG1_g5	LRIG1	1628	1329	2459	2009
LRIG1_g6	LRIG1	595	529	906	746
CTRL0001_g1	CTRL	763	659	1159	1027
CTRL0002_g2	CTRL	646	601	1080	801
CTRL0003_g3	CTRL	2327	2045	3730	3152
CTRL0004_g4	CTRL	435	374	574	436
CTRL0005_g5	CTRL	759	656	1096	1075
CTRL0006_g6	CTRL	1603	1267	2201	1999
CTRL0007_g7	CTRL	899	754	1405	1149
CTRL0008_g8	CTRL	852	783	1297	1107
CTRL0009_g9	CTRL	761	696	1112	982
CTRL0010_g10	CTRL	1220	1079	1953	1659
ROSA26_g1	ROSA26	2760	2534	4432	3517
ROSA26_g2	ROSA26	1140	1101	1850	1475
ROSA26_g3	ROSA26	1398	1176	2192	1724
ROSA26_g4	ROSA26	989	806	1354	1286
ROSA26_g5	ROSA26	817	672	1232	979
ROSA26_g6	ROSA26	1267	1038	1881	1582
ROSA26_g7	ROSA26	1008	862	1575	1332
ROSA26_g8	ROSA26	727	589	1123	995
ROSA26_g9	ROSA26	315	251	522	443
ROSA26_g10	ROSA26	982	888	1556	1513
CCR5_g1	CCR5	660	410	932	775
CCR5_g2	CCR5	1027	829	1330	1258
CCR5_g3	CCR5	574	407	884	613
CCR5_g4	CCR5	449	372	800	601
CCR5_g5	CCR5	649	551	985	800
CCR5_g6	CCR5	800	592	1048	866
CCR5_g7	CCR5	1382	1044	1947	1734
CCR5_g8	CCR5	865	682	1245	1085
CCR5_g9	CCR5	478	384	812	625
CCR5_g10	CCR5	735	540	1108	961
AAVS1_g1	AAVS1	1110	941	1670	1350
AAVS1_g2	AAVS1	976	770	1446	1200
AAVS1_g3	AAVS1	788	583	1094	839
AAVS1_g4	AAVS1	461	373	630	596
AAVS1_g5	AAVS1	747	716	1201	928
AAVS1_g6	AAVS1	345	284	528	479
AAVS1_g7	AAVS1	657	565	921	824
AAVS1_g8	AAVS1	1336	1154	2063	1849
AAVS1_g9	AAVS1	361	263	503	333
AAVS1_g10	AAVS1	495	409	742	582
EGFP_g1	EGFP	259	934	2232	1917
EGFP_g2	EGFP	434	1255	2858	2338
EGFP_g3	EGFP	180	641	1218	1501
EGFP_g4	EGFP	205	583	1383	1221
EGFP_g5	EGFP	366	1158	2525	2108
EGFP_g6	EGFP	437	1196	2752	2409
mKate2_g1	mKate2	1169	389	1754	1607
mKate2_g2	mKate2	1388	547	2227	2029
mKate2_g3	mKate2	1282	511	2020	1798
mKate2_g4	mKate2	875	459	1434	1291
mKate2_g5	mKate2	1094	420	1726	1367
mKate2_g6	mKate2	1936	699	2944	2609
