sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
EGFP_g2	EGFP	5053	3011.1	5053	3011.1	-0.74664	2.0846e+06	9.7226e+09	1.9882	0.023393	0.97661	0.046786	0.19405	False
EGFP_g5	EGFP	4325.5	2617.2	4325.5	2617.2	-0.72465	1.4592e+06	6.3931e+09	1.9597	0.025017	0.97498	0.050035	0.19405	False
EGFP_g1	EGFP	3542.7	2406.8	3542.7	2406.8	-0.55754	6.4514e+05	3.7316e+09	1.8805	0.030023	0.96998	0.060046	0.19405	False
EGFP_g6	EGFP	3938.5	2817	3938.5	2817	-0.48332	6.2882e+05	4.9652e+09	1.8733	0.030515	0.96948	0.061031	0.19405	False
EGFP_g3	EGFP	2653.7	1723.5	2653.7	1723.5	-0.62242	4.3271e+05	1.712e+09	1.858	0.031586	0.96841	0.063171	0.19405	False
EGFP_g4	EGFP	2136.9	1457.3	2136.9	1457.3	-0.55185	2.3088e+05	9.5452e+08	1.8038	0.035629	0.96437	0.071258	0.19405	False
CTRL0003_g3	CTRL	4245.6	3904.8	4245.6	3904.8	-0.1207	58081	6.0798e+09	1.7711	0.038274	0.96173	0.076548	0.19405	False
PROM1_g2	PROM1	2347.5	2086.1	2347.5	2086.1	-0.17026	34170	1.2299e+09	1.6952	0.045017	0.95498	0.090035	0.19405	False
SOX9_g2	SOX9	1783.2	1457.3	1783.2	1457.3	-0.29096	53096	5.8598e+08	1.692	0.045321	0.95468	0.090641	0.19405	False
LRIG1_g5	LRIG1	2645	2510.2	2645	2510.2	-0.075397	9076.2	1.6968e+09	1.6827	0.046221	0.95378	0.092442	0.19405	False
ROSA26_g6	ROSA26	2062.3	1815.3	2062.3	1815.3	-0.18395	30503	8.673e+08	1.6794	0.046537	0.95346	0.093075	0.19405	False
CCR5_g7	CCR5	2314.1	2126.7	2314.1	2126.7	-0.12178	17559	1.1834e+09	1.6769	0.046778	0.95322	0.093556	0.19405	False
CTRL0010_g10	CTRL	2287.8	2102.3	2287.8	2102.3	-0.12192	17201	1.1474e+09	1.6752	0.04695	0.95305	0.093901	0.19405	False
CCR5_g2	CCR5	1780.6	1515.4	1780.6	1515.4	-0.23246	35147	5.8365e+08	1.6724	0.047222	0.95278	0.094445	0.19405	False
ROSA26_g2	ROSA26	1965.7	1826.9	1965.7	1826.9	-0.10562	9638.4	7.6212e+08	1.6456	0.049919	0.95008	0.099838	0.19405	False
SOX9_g1	SOX9	1984.2	1859.4	1984.2	1859.4	-0.093619	7778.7	7.8154e+08	1.6431	0.050182	0.94982	0.10036	0.19405	False
CTRL0008_g8	CTRL	1597.2	1402.7	1597.2	1402.7	-0.18717	18905	4.3535e+08	1.64	0.050499	0.9495	0.101	0.19405	False
CTRL0002_g2	CTRL	1353.2	1126.1	1353.2	1126.1	-0.2648	25782	2.7842e+08	1.6399	0.050513	0.94949	0.10103	0.19405	False
LRIG1_g4	LRIG1	1792	1659.5	1792	1659.5	-0.1107	8769.3	5.9379e+08	1.6326	0.05128	0.94872	0.10256	0.19405	False
CTRL0001_g1	CTRL	1375.1	1169.1	1375.1	1169.1	-0.23397	21222	2.9076e+08	1.632	0.051336	0.94866	0.10267	0.19405	False
SOX9_g5	SOX9	2129.8	2111.6	2129.8	2111.6	-0.012388	165.96	9.4609e+08	1.627	0.051868	0.94813	0.10374	0.19405	False
