id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	0.99949	0.99953	0.999945	9	0	0.34103	0.03883	0.038527	0.385273	1	1	0.34103
CTRL	10	0.99997	0.99995	0.999945	10	0	0.13882	0.28429	0.28387	0.996406	2	0	0.13882
ROSA26	10	0.023844	0.11089	0.53211	2	8	-0.091121	0.45684	0.45701	0.996406	3	0	-0.091121
EGFP	6	0.9404	0.96088	0.999945	8	1	0.081678	0.76974	0.76702	0.996406	4	0	0.081678
CCR5	10	0.29911	0.62272	0.999945	5	6	-0.081608	0.80615	0.80665	0.996406	5	0	-0.081608
PROM1	6	0.24841	0.49868	0.999945	4	4	-0.085984	0.83119	0.8296	0.996406	6	0	-0.085984
LRIG1	6	0.45841	0.70015	0.999945	6	3	-0.052073	0.96484	0.9649	0.996406	7	0	-0.052073
KRT20	6	0.048988	0.15963	0.53211	3	5	-0.26863	0.9771	0.9771	0.996406	8	0	-0.26863
AAVS1	10	0.4826	0.78323	0.999945	7	5	-0.12726	0.9888	0.98939	0.996406	9	0	-0.12726
SOX9	6	5.1537e-05	0.00024495	0.00245	1	6	-0.23261	0.99658	0.99641	0.996406	10	0	-0.23261
