id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
KRT20	6	0.99999	1.0	0.999995	10	0	0.94944	6.9543e-06	2.4995e-05	0.00025	1	6	0.94944
EGFP	6	0.99998	1.0	0.999995	9	0	1.2213	1.9796e-05	6.4987e-05	0.000325	2	6	1.2213
mKate2	6	0.99985	0.99988	0.999995	8	0	0.42494	0.08789	0.18581	0.619359	3	3	0.42494
PROM1	6	0.83119	0.8296	0.999995	6	0	-0.20996	0.84834	0.84736	0.992966	4	0	-0.20996
SOX9	6	0.03883	0.062962	0.629624	1	1	-0.24321	0.87831	0.8776	0.992966	5	0	-0.24321
CCR5	10	0.28429	0.29293	0.940549	3	1	-0.30519	0.93855	0.93887	0.992966	6	0	-0.30519
AAVS1	10	0.37591	0.37622	0.940549	4	1	-0.28411	0.94844	0.94928	0.992966	7	0	-0.28411
LRIG1	6	0.59021	0.58945	0.999995	5	0	-0.27333	0.9597	0.95967	0.992966	8	0	-0.27333
CTRL	10	0.85853	0.8583	0.999995	7	0	-0.16057	0.96404	0.96469	0.992966	9	0	-0.16057
ROSA26	10	0.18073	0.20975	0.940549	2	1	-0.23135	0.99265	0.99297	0.992966	10	0	-0.23135
