id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	0.99998	1.0	0.999995	10	0	0.67189	4.1512e-06	1.4997e-05	0.00015	1	5	0.67189
KRT20	6	0.99997	1.0	0.999995	9	0	0.5615	0.00016403	0.00062488	0.003124	2	5	0.5615
EGFP	6	0.99985	0.99988	0.999995	8	0	0.21552	0.59021	0.5898	0.980179	3	1	0.21552
PROM1	6	0.71922	0.71755	0.999995	6	0	-0.091491	0.83119	0.8296	0.980179	4	0	-0.091491
SOX9	6	0.028103	0.050045	0.50045	1	2	-0.23415	0.87831	0.8776	0.980179	5	0	-0.23415
CTRL	10	0.73692	0.73683	0.999995	7	0	-0.080062	0.93855	0.93887	0.980179	6	0	-0.080062
LRIG1	6	0.65978	0.65838	0.999995	5	0	-0.16112	0.95395	0.95404	0.980179	7	0	-0.16112
CCR5	10	0.18073	0.20975	0.976421	2	1	-0.17111	0.95687	0.95742	0.980179	8	0	-0.17111
ROSA26	10	0.45684	0.45701	0.999995	4	0	-0.15705	0.97526	0.97604	0.980179	9	0	-0.15705
AAVS1	10	0.28429	0.29293	0.976421	3	1	-0.16613	0.97959	0.98018	0.980179	10	0	-0.16613
