id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	0.99999	1.0	0.999995	9	0	2.0081	0.03883	0.038527	0.385273	1	1	2.0081
KRT20	6	0.99999	1.0	0.999995	10	0	1.6972	0.36283	0.36269	0.999995	2	0	1.6972
EGFP	6	0.45841	0.70015	0.999995	6	3	-0.3038	0.76974	0.76702	0.999995	3	0	-0.3038
PROM1	6	0.3315	0.60119	0.999995	5	4	-0.31912	0.81245	0.8112	0.999995	4	0	-0.31912
AAVS1	10	0.19145	0.48826	0.999995	3	6	-0.57279	0.83419	0.83493	0.999995	5	0	-0.57279
LRIG1	6	0.28427	0.54546	0.999995	4	4	-0.41979	0.87831	0.8776	0.999995	6	0	-0.41979
ROSA26	10	0.1195	0.36031	0.999995	2	6	-0.3355	0.8796	0.88022	0.999995	7	0	-0.3355
CTRL	10	0.55295	0.83001	0.999995	8	4	-0.27741	0.89781	0.8985	0.999995	8	0	-0.27741
CCR5	10	0.47163	0.77557	0.999995	7	5	-0.48122	0.98322	0.98378	0.999995	9	0	-0.48122
SOX9	6	1.4365e-07	4.999e-06	5e-05	1	6	-1.9176	1.0	1.0	0.999995	10	0	-1.9176
