id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	1.0	1.0	0.999995	10	0	2.3138	0.03883	0.038527	0.385273	1	1	2.3138
SOX9	6	0.99999	1.0	0.999995	9	0	1.1966	0.41517	0.41486	0.999995	2	0	1.1966
ROSA26	10	0.29911	0.62272	0.999995	4	6	-0.018763	0.83419	0.83493	0.999995	3	0	-0.018763
LRIG1	6	0.18102	0.40726	0.999995	3	4	-0.06019	0.84834	0.84736	0.999995	4	0	-0.06019
CTRL	10	0.32944	0.65699	0.999995	6	6	-0.12516	0.85853	0.8583	0.999995	5	0	-0.12516
AAVS1	10	0.3054	0.62975	0.999995	5	4	0.015354	0.8796	0.88022	0.999995	6	0	0.015354
PROM1	6	0.64383	0.83433	0.999995	7	3	-0.099298	0.92366	0.92391	0.999995	7	0	-0.099298
CCR5	10	0.67456	0.89485	0.999995	8	3	0.0062395	0.96404	0.96469	0.999995	8	0	0.0062395
KRT20	6	7.1963e-05	0.00032494	0.001625	2	6	-0.84202	0.99993	0.99997	0.999995	9	0	-0.84202
mKate2	6	1.9796e-05	6.4987e-05	0.00065	1	6	-1.0155	0.99998	1.0	0.999995	10	0	-1.0155
